time,lyrics,size
0.00 ,,
33.92 ,時は戻らない　向き合うだけ,
37.52 ,過去の栄光は　遠ざかるもの,
40.40 ,粘って行こう Never give up Again,
44.63 ,敗北に価値を与えるため,
47.72 ,立ち上がって　振りかざせ　傷ついた腕を,
51.07 ,苦汁飲んで Could you stand up？Again,
55.07 ,引き際とか　弁えなんて,
58.62 ,弱音が　遺言じゃ　終われない,
62.42 ,再起に賭けろ　七転びしても,
65.72 ,途切れた　溜め込んだ　願いを吐き出せ,
72.88 ,,
75.94 ,例え勝ち目のない戦いでも　夢も覚悟も変わらない,
83.54 ,贖罪の　降伏の　撤退の　撤回を　革命の　作戦の　団結の　続行を,
90.63 ,失望を　屈辱を　失敗を　後悔を　炎にくべて　高く狼煙を,
99.07 ,いつか世界中が見放しても　命の限り挑もう,
106.65 ,決断を　執念を　挽回を　復活を遂げて　眩しい　魂,
112.66 ,突きつけろ,
119.12 ,,
