0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.6999299999999999,MOT_mc_bg_black_00,b80-65,,
1.6664999999999999,3,1-2,,
1.6664999999999999,4,1-2,,
1.6664999999999999,5,1-2,,
1.6664999999999999,3,,,b-1
1.6664999999999999,4,,,b-1
1.6664999999999999,5,,,b-1
1.6664999999999999,2,j1-2,,
1.6664999999999999,1,1-2,,
1.96647,MOT_mc_light_center_00,l1,,
1.96647,MOT_mc_light_up_00,l1,,
1.96647,MOT_mc_light_under_00,l2,,
1.96647,MOT_mc_speaker_00,temp4,,
1.96647,MOT_mc_bg_black_00,b65-45,,
2.03313,1,lp2,,
2.03313,2,lp2,,
2.03313,3,lp2,,
2.03313,4,lp2,,
2.03313,5,lp2,,
2.03313,2,2-3,,
2.03313,1,w2,,
2.3997599999999997,2,lp3,,
3.73296,MOT_mc_light_under_00,l2,,
3.73296,MOT_mc_speaker_00,temp4,,
3.7662899999999997,2,3-4,,
4.1329199999999995,2,lp4,,
5.2994699999999995,2,4-1,,
5.6661,2,w1,,
5.79942,1,j2-3,,
5.86608,3,2-3,,
5.86608,4,2-3,,
5.86608,5,2-3,,
6.23271,3,lp3,,
6.23271,4,lp3,,
6.23271,5,lp3,,
6.23271,1,lp3,,
7.89921,1,3-4,,
8.265839999999999,1,lp4,,
9.49905,1,4-1,,
9.86568,1,w1,,
10.03233,3,3-4,,
10.03233,4,3-4,,
10.03233,5,3-4,,
10.03233,2,1-2,,
10.398959999999999,3,lp4,,
10.398959999999999,4,lp4,,
10.398959999999999,5,lp4,,
10.398959999999999,2,lp2,,
12.06546,2,2-4,,
12.432089999999999,2,lp4,,
13.09869,2,j4-1,,
13.132019999999999,1,1-2,,
13.49865,2,w1,,
13.56531,1,sj2,,
14.03193,1,sj2,,
14.13192,3,4-2,,
14.13192,4,4-2,,
14.13192,5,4-2,,
14.465219999999999,1,lp2,,
14.49855,3,lp2,,
14.49855,4,lp2,,
14.49855,5,lp2,,
15.165149999999999,2,1-3,,
15.165149999999999,1,2-1,,
15.53178,2,lp3,,
15.53178,1,lp1,,
16.16505,2,j3-2,,
16.16505,1,j1-2,,
16.29837,3,2-4,,
16.29837,4,2-4,,
16.29837,5,2-4,,
16.665,3,lp4,,
16.665,4,lp4,,
16.665,5,lp4,,
17.83155,2,2-3,,
17.83155,1,2-3,,
18.23151,2,j3-1,,
18.23151,1,j3-1,,
18.29817,3,4-1,,
18.29817,4,4-1,,
18.29817,5,4-1,,
18.6648,3,lp1,,
18.6648,4,lp1,,
18.6648,5,lp1,,
18.6648,2,lp1,,
18.6648,1,lp1,,
20.397959999999998,3,1-2,,
20.397959999999998,4,1-2,,
20.397959999999998,5,1-2,,
20.397959999999998,2,1-2,,
