time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,1,1,1,,,,0,0
0,2,2,1,,,,0,0
0,3,3,1,,,,0,0.81
0,4,4,1,,,,0,0
0,5,5,1,,,,0,0
37.93,,3,,MasterOut,0.05,0,,
37.93,,3,,BUS_0007,0.2,0,,
38.13,,1,,MasterOut,0,1,,
38.13,,1,,BUS_0007,0,0.1,,
38.13,1,1,,,,,0,0.81
40.916,,1,,MasterOut,0.05,0,,
40.916,,1,,BUS_0007,0.2,0,,
41.05,,1,,MasterOut,0,1,,
41.05,,1,,BUS_0007,0,0.1,,
41.05,,2,,MasterOut,0,1,,
41.05,,2,,BUS_0007,0,0.1,,
41.05,,3,,MasterOut,0,1,,
41.05,,3,,BUS_0007,0,0.1,,
41.05,,4,,MasterOut,0,1,,
41.05,,4,,BUS_0007,0,0.1,,
41.05,,5,,MasterOut,0,1,,
41.05,,5,,BUS_0007,0,0.1,,
41.05,1,1,,,,,0,0.51
41.05,2,2,,,,,-9,0.36
41.05,3,3,,,,,9,0.36
41.05,4,4,,,,,-18,0.28
41.05,5,5,,,,,18,0.28
44.138,,1,,MasterOut,0.05,0,,
44.138,,1,,BUS_0007,0.2,0,,
44.138,,2,,MasterOut,0.05,0,,
44.138,,2,,BUS_0007,0.2,0,,
44.138,,3,,MasterOut,0.05,0,,
44.138,,3,,BUS_0007,0.2,0,,
44.138,,4,,MasterOut,0.05,0,,
44.138,,4,,BUS_0007,0.2,0,,
44.138,,5,,MasterOut,0.05,0,,
44.138,,5,,BUS_0007,0.2,0,,
44.714,,2,,MasterOut,0,1,,
44.714,,2,,BUS_0007,0,0.05,,
44.714,2,2,,,,,0,0.81
49.752,,2,,MasterOut,0.05,0,,
49.752,,2,,BUS_0007,0.2,0,,
49.952,,1,,MasterOut,0,1,,
49.952,,1,,BUS_0007,0,0.1,,
49.952,,2,,MasterOut,0,1,,
49.952,,2,,BUS_0007,0,0.1,,
49.952,,3,,MasterOut,0,1,,
49.952,,3,,BUS_0007,0,0.1,,
49.952,,4,,MasterOut,0,1,,
49.952,,4,,BUS_0007,0,0.1,,
49.952,,5,,MasterOut,0,1,,
49.952,,5,,BUS_0007,0,0.1,,
49.952,1,1,,,,,0,0.51
49.952,2,2,,,,,-9,0.36
49.952,3,3,,,,,9,0.36
49.952,4,4,,,,,-18,0.28
49.952,5,5,,,,,18,0.28
55.188,,1,,MasterOut,0.05,0,,
55.188,,1,,BUS_0007,0.2,0,,
55.188,,2,,MasterOut,0.05,0,,
55.188,,2,,BUS_0007,0.2,0,,
55.188,,3,,MasterOut,0.05,0,,
55.188,,3,,BUS_0007,0.2,0,,
55.188,,4,,MasterOut,0.05,0,,
55.188,,4,,BUS_0007,0.2,0,,
55.188,,5,,MasterOut,0.05,0,,
55.188,,5,,BUS_0007,0.2,0,,
55.925,,4,,MasterOut,0,1,,
55.925,,4,,BUS_0007,0,0.1,,
55.925,4,4,,,,,0,0.81
58.888,,4,,MasterOut,0.05,0,,
58.888,,4,,BUS_0007,0.2,0,,
59.567,,5,,MasterOut,0,1,,
59.567,,5,,BUS_0007,0,0.1,,
59.567,5,5,,,,,0,0.81
61.851,,5,,MasterOut,0.05,0,,
61.851,,5,,BUS_0007,0.2,0,,
62.505,,1,,MasterOut,0,1,,
62.505,,1,,BUS_0007,0,0.1,,
62.505,,2,,MasterOut,0,1,,
62.505,,2,,BUS_0007,0,0.1,,
62.505,,3,,MasterOut,0,1,,
62.505,,3,,BUS_0007,0,0.1,,
62.505,1,1,,,,,0,0.51
62.505,2,2,,,,,-18,0.36
62.505,3,3,,,,,18,0.36
67.777,,1,,MasterOut,0.05,0,,
67.777,,1,,BUS_0007,0.2,0,,
67.777,,2,,MasterOut,0.05,0,,
67.777,,2,,BUS_0007,0.2,0,,
67.777,,3,,MasterOut,0.05,0,,
67.777,,3,,BUS_0007,0.2,0,,
68.389,,1,,MasterOut,0,1,,
68.389,,1,,BUS_0007,0,0.1,,
68.389,1,1,,,,,0,0.81
70.74,,1,,MasterOut,0.05,0,,
70.74,,1,,BUS_0007,0.2,0,,
71.402,,3,,MasterOut,0,1,,
71.402,,3,,BUS_0007,0,0.1,,
71.402,3,3,,,,,0,0.81
73.467,,3,,MasterOut,0.05,0,,
73.467,,3,,BUS_0007,0.2,0,,
73.667,,1,,MasterOut,0,1,,
73.667,,1,,BUS_0007,0,0.1,,
73.667,,2,,MasterOut,0,1,,
73.667,,2,,BUS_0007,0,0.1,,
73.667,,3,,MasterOut,0,1,,
73.667,,3,,BUS_0007,0,0.1,,
73.667,,4,,MasterOut,0,1,,
73.667,,4,,BUS_0007,0,0.1,,
73.667,,5,,MasterOut,0,1,,
73.667,,5,,BUS_0007,0,0.1,,
73.667,1,1,,,,,0,0.51
