0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_back_00,l0,,
0.03333,MOT_all,cut1,,
2.83305,1,1-2,,
2.83305,2,1-2,,
2.83305,3,1-2,,
2.83305,4,1-2,,
2.83305,5,1-2,,
2.96637,MOT_mc_bg_black_00,l1,,
2.96637,MOT_mc_back_00,l1,,
3.1330199999999997,1,2-3,,
3.1330199999999997,2,2-3,,
3.1330199999999997,3,2-3,,
3.1330199999999997,4,2-3,,
3.1330199999999997,5,2-3,,
3.4329899999999998,1,j3-1,,
3.4329899999999998,2,j3-1,,
3.4329899999999998,3,j3-1,,
3.4329899999999998,4,j3-1,,
3.4329899999999998,5,j3-1,,
3.73296,MOT_mc_light_under_00,l1,,
4.26624,1,1-2,,
4.26624,2,1-2,,
4.26624,3,1-2,,
4.26624,4,1-2,,
4.26624,5,1-2,,
4.49955,MOT_mc_bg_black_00,l1,,
4.49955,MOT_mc_back_00,l1,,
4.56621,1,2-3,,
4.56621,2,2-3,,
4.56621,3,2-3,,
4.56621,4,2-3,,
4.56621,5,2-3,,
4.86618,1,j3-1,,
4.86618,2,j3-1,,
4.86618,3,j3-1,,
4.86618,4,j3-1,,
4.86618,5,j3-1,,
5.26614,MOT_mc_light_under_00,l1,,
5.83275,1,1-2,,
5.83275,2,1-2,,
5.83275,3,1-2,,
5.83275,4,1-2,,
5.83275,5,1-2,,
6.066059999999999,MOT_mc_bg_black_00,l1,,
6.066059999999999,MOT_mc_back_00,l1,,
6.13272,1,2-3,,
6.13272,2,2-3,,
6.13272,3,2-3,,
6.13272,4,2-3,,
6.13272,5,2-3,,
6.43269,1,j3-1,,
6.43269,2,j3-1,,
6.43269,3,j3-1,,
6.43269,4,j3-1,,
6.43269,5,j3-1,,
6.79932,MOT_mc_light_under_00,l1,,
7.29927,1,1-2,,
7.29927,2,1-2,,
7.29927,3,1-2,,
7.29927,4,1-2,,
7.29927,5,1-2,,
7.56591,MOT_mc_bg_black_00,l1,,
7.56591,MOT_mc_back_00,l1,,
7.59924,1,2-3,,
7.59924,2,2-3,,
7.59924,3,2-3,,
7.59924,4,2-3,,
7.59924,5,2-3,,
