time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,,4,,MasterOut,0,1,,
0,,4,,BUS_0007,0,0.1,,
0,,5,,MasterOut,0,1,,
0,,5,,BUS_0007,0,0.1,,
0,4,1,1,,,,-18,0.27
0,2,2,1,,,,-9,0.35
0,1,3,1,,,,0,0.5
0,3,4,1,,,,9,0.35
0,5,5,1,,,,18,0.27
23.312,,1,,MasterOut,0.05,0,,
23.312,,1,,BUS_0007,0.2,0,,
23.312,,2,,MasterOut,0.05,0,,
23.312,,2,,BUS_0007,0.2,0,,
23.312,,3,,MasterOut,0.05,0,,
23.312,,3,,BUS_0007,0.2,0,,
23.312,,4,,MasterOut,0.05,0,,
23.312,,4,,BUS_0007,0.2,0,,
23.312,,5,,MasterOut,0.05,0,,
23.312,,5,,BUS_0007,0.2,0,,
28.28,,1,,MasterOut,0,1,,
28.28,,1,,BUS_0007,0,0.1,,
28.28,4,,,,,,0,0.78
34.203,,1,,MasterOut,0.05,0,,
34.203,,1,,BUS_0007,0.2,0,,
34.548,,2,,MasterOut,0,1,,
34.548,,2,,BUS_0007,0,0.1,,
34.548,2,,,,,,0,0.78
40.509,,2,,MasterOut,0.05,0,,
40.509,,2,,BUS_0007,0.2,0,,
41.245,,5,,MasterOut,0,1,,
41.245,,5,,BUS_0007,0,0.1,,
41.245,5,,,,,,0,0.78
46.571,,5,,MasterOut,0.05,0,,
46.571,,5,,BUS_0007,0.2,0,,
46.79,,3,,MasterOut,0,1,,
46.79,,3,,BUS_0007,0,0.1,,
46.79,1,,,,,,0,0.78
52.416,,3,,MasterOut,0.05,0,,
52.416,,3,,BUS_0007,0.2,0,,
52.731,,4,,MasterOut,0,1,,
52.731,,4,,BUS_0007,0,0.1,,
52.731,3,,,,,,0,0.78
58.438,,4,,MasterOut,0.05,0,,
58.438,,4,,BUS_0007,0.2,0,,
58.832,,2,,MasterOut,0,1,,
58.832,,2,,BUS_0007,0,0.1,,
64.653,,2,,MasterOut,0.05,0,,
64.653,,2,,BUS_0007,0.2,0,,
64.957,,3,,MasterOut,0,1,,
64.957,,3,,BUS_0007,0,0.1,,
70.743,,3,,MasterOut,0.05,0,,
70.743,,3,,BUS_0007,0.2,0,,
71.074,,1,,MasterOut,0,1,,
71.074,,1,,BUS_0007,0,0.1,,
71.074,,2,,MasterOut,0,1,,
71.074,,2,,BUS_0007,0,0.1,,
71.074,,3,,MasterOut,0,1,,
71.074,,3,,BUS_0007,0,0.1,,
71.074,,4,,MasterOut,0,1,,
71.074,,4,,BUS_0007,0,0.1,,
71.074,,5,,MasterOut,0,1,,
71.074,,5,,BUS_0007,0,0.1,,
71.074,4,,,,,,-18,0.27
71.074,2,,,,,,-9,0.35
71.074,1,,,,,,0,0.5
71.074,3,,,,,,9,0.35
71.074,5,,,,,,18,0.27
