time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,1,1,1,,,,5,0.74
0,2,2,1,,,,0,0
0,3,3,1,,,,0,0.74
37.633,2,2,1,,,,-5,0.74
37.633,1,1,1,,,,0,0
44.636,2,2,1,,,,0,0
44.636,1,1,1,,,,5,0.74
51.194,2,2,1,,,,-27,0.64
51.194,1,1,1,,,,0,0
52.659,2,2,1,,,,0,0
52.659,1,1,1,,,,27,0.64
54.224,2,2,1,,,,-5,0.74
54.224,1,1,1,,,,0,0
56.065,2,2,1,,,,-5,0.54
56.065,1,1,1,,,,5,0.54
62.798,2,2,1,,,,0,0
62.798,1,1,1,,,,5,0.76
70.902,2,2,1,,,,-5,0.54
70.902,1,1,1,,,,5,0.54
97.74,2,2,1,,,,-5,0.73
97.74,1,1,1,,,,0,0
103.793,2,2,1,,,,-5,0.54
103.793,1,1,1,,,,5,0.54
