0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,1,,,,D100
0.03333,2,,,,D100
0.03333,3,,,,D100
0.03333,4,,,,D100
0.03333,5,,,,D100
3.0330299999999997,4,j1-2,,,
3.06636,2,j1-2,,,
3.09969,1,j1-2,,,
3.1330199999999997,3,j1-2,,,
3.16635,5,j1-2,,,
3.2330099999999997,MOT_mc_bg_black_00,b80-65,,
3.2330099999999997,MOT_mc_light_center_00,on,,
3.4329899999999998,MOT_mc_stage_color_00,r-flash,,
3.4329899999999998,MOT_mc_light_under_00,on,,
3.49965,MOT_mc_speaker_00,flash_long,,
3.49965,1,,,,D60
3.49965,2,,,,D60
3.49965,3,,,,D60
3.49965,4,,,,D60
3.49965,5,,,,D60
3.5663099999999996,1,lp2,,,
3.5663099999999996,2,lp2,,,
3.5663099999999996,3,lp2,,,
3.5663099999999996,4,lp2,,,
3.5663099999999996,5,lp2,,,
3.63297,1,,,,D80
3.63297,2,,,,D80
3.63297,3,,,,D80
3.63297,4,,,,D80
3.63297,5,,,,D80
3.7662899999999997,1,,,,D100
3.7662899999999997,2,,,,D100
3.7662899999999997,3,,,,D100
3.7662899999999997,4,,,,D100
3.7662899999999997,5,,,,D100
6.53268,4,j2-3,,,
6.5660099999999995,2,j2-3,,,
6.59934,1,j2-3,,,
6.63267,3,j2-3,,,
6.6659999999999995,5,j2-3,,,
7.032629999999999,MOT_mc_speaker_00,flash_long,,
7.032629999999999,1,,,,D60
7.032629999999999,2,,,,D60
7.032629999999999,3,,,,D60
7.032629999999999,4,,,,D60
7.032629999999999,5,,,,D60
7.06596,1,lp3,,,
7.06596,2,lp3,,,
7.06596,3,lp3,,,
7.06596,4,lp3,,,
7.06596,5,lp3,,,
7.16595,1,,,,D80
7.16595,2,,,,D80
7.16595,3,,,,D80
7.16595,4,,,,D80
7.16595,5,,,,D80
7.29927,1,,,,D100
7.29927,2,,,,D100
7.29927,3,,,,D100
7.29927,4,,,,D100
7.29927,5,,,,D100
10.23231,1,j3-4,,,
10.23231,2,j3-4,,,
10.23231,3,j3-4,,,
10.23231,4,j3-4,,,
10.23231,5,j3-4,,,
10.598939999999999,MOT_mc_speaker_00,flash_long,,
10.598939999999999,1,,,,D60
10.598939999999999,2,,,,D60
10.598939999999999,3,,,,D60
10.598939999999999,4,,,,D60
10.598939999999999,5,,,,D60
10.73226,1,,,,D80
10.73226,2,,,,D80
10.73226,3,,,,D80
10.73226,4,,,,D80
10.73226,5,,,,D80
10.73226,1,j4-1,,,
10.73226,4,j4-1,,,
10.73226,5,j4-1,,,
10.86558,1,,,,D100
10.86558,2,,,,D100
10.86558,3,,,,D100
10.86558,4,,,,D100
10.86558,5,,,,D100
11.16555,2,j4-1,,,
11.16555,3,j4-1,,,
11.63217,1,j1-2,,,
11.63217,4,j1-2,,,
11.63217,5,j1-2,,,
12.06546,2,j1-2,,,
12.06546,3,j1-2,,,
12.532079999999999,1,j2-3,,,
12.532079999999999,4,j2-3,,,
12.532079999999999,5,j2-3,,,
12.96537,2,j2-3,,,
12.96537,3,j2-3,,,
13.36533,1,j3-4,,,
13.36533,4,j3-4,,,
13.36533,5,j3-4,,,
13.79862,2,j3-4,,,
13.79862,3,j3-4,,,
14.13192,MOT_mc_speaker_00,flash_long,,
14.13192,1,,,,D60
14.13192,2,,,,D60
14.13192,3,,,,D60
14.13192,4,,,,D60
14.13192,5,,,,D60
14.265239999999999,1,,,,D80
14.265239999999999,2,,,,D80
14.265239999999999,3,,,,D80
14.265239999999999,4,,,,D80
14.265239999999999,5,,,,D80
14.265239999999999,1,j4-1,,,
14.265239999999999,4,j4-1,,,
14.265239999999999,5,j4-1,,,
14.39856,1,,,,D100
14.39856,2,,,,D100
14.39856,3,,,,D100
14.39856,4,,,,D100
14.39856,5,,,,D100
14.69853,2,j4-1,,,
14.69853,3,j4-1,,,
15.065159999999999,1,1-2,,,
15.065159999999999,2,1-2,,,
15.065159999999999,3,1-2,,,
15.065159999999999,4,1-2,,,
15.065159999999999,5,1-2,,,
15.49845,1,hj2,,,
15.49845,2,hj2,,,
15.49845,3,hj2,,,
15.49845,4,hj2,,,
15.49845,5,hj2,,,
15.965069999999999,MOT_mc_speaker_00,f_loop,,
15.965069999999999,1,,,,D60
15.965069999999999,2,,,,D60
15.965069999999999,3,,,,D60
15.965069999999999,4,,,,D60
15.965069999999999,5,,,,D60
16.09839,1,,,,D80
16.09839,2,,,,D80
16.09839,3,,,,D80
16.09839,4,,,,D80
16.09839,5,,,,D80
16.16505,1,2-3,,,
16.16505,2,2-3,,,
16.16505,3,2-3,,,
16.16505,4,2-3,,,
16.16505,5,2-3,,,
16.23171,1,,,,D100
16.23171,2,,,,D100
16.23171,3,,,,D100
16.23171,4,,,,D100
16.23171,5,,,,D100
16.43169,MOT_mc_speaker_00,f_loop,,
16.43169,1,,,,D60
16.43169,2,,,,D60
16.43169,3,,,,D60
16.43169,4,,,,D60
16.43169,5,,,,D60
16.56501,1,,,,D80
16.56501,2,,,,D80
16.56501,3,,,,D80
16.56501,4,,,,D80
16.56501,5,,,,D80
16.56501,1,j3-4,,,
16.56501,2,j3-4,,,
16.56501,3,j3-4,,,
16.56501,4,j3-4,,,
16.56501,5,j3-4,,,
