0.03333,MOT_mc_bg_black_00,seat100-0,,
2.7997199999999998,MOT_mc_stage_color_00,b-flash,,
2.7997199999999998,MOT_mc_light_under_00,l1,,
2.7997199999999998,MOT_mc_light_center_00,l1,,
2.7997199999999998,MOT_mc_light_up_00,l1,,
2.7997199999999998,MOT_mc_speaker_00,temp1,,
2.7997199999999998,MOT_mc_bg_black_00,b80-65,,
2.7997199999999998,1,j1-2,,
2.7997199999999998,2,1-2,,b-1
2.7997199999999998,3,1-2,,b-1
2.7997199999999998,4,1-2,,b-1
2.7997199999999998,5,1-2,,b-1
3.16635,1,sp2-3,,
3.16635,2,sp2-3,,
3.16635,3,sp2-3,,
3.16635,4,sp2-3,,
3.16635,5,sp2-3,,
4.2329099999999995,1,hj3,,
4.39956,2,hj3,,
4.39956,3,hj3,,
4.39956,4,hj3,,
4.39956,5,hj3,,
5.099489999999999,1,j3-4,,
5.199479999999999,2,j3-4,,
5.199479999999999,3,j3-4,,
5.2994699999999995,MOT_mc_stage_color_00,y-flash,,
5.2994699999999995,4,j3-4,,
5.2994699999999995,5,j3-4,,
5.6661,1,4-1,,
5.89941,2,4-1,l1,
6.13272,3,4-1,r1,
6.366029999999999,5,w4,,
6.366029999999999,4,4-1,l1,
6.59934,1,w1,,
6.63267,5,4-1,r1,
6.83265,2,w1,,
6.9993,1,1-2,,
7.06596,3,w1,,
7.232609999999999,2,1-2,l2,
7.29927,4,w1,,
7.46592,3,1-2,r2,
7.56591,5,w1,,
7.69923,4,1-2,l2,
7.9325399999999995,1,w2,,
7.96587,5,1-2,r2,
8.165849999999999,2,w2,,
8.39916,3,w2,,
8.53248,1,lp2,l1,
8.53248,2,lp2,l3,
8.53248,3,lp2,rb1,
8.53248,4,lp2,l3,
8.53248,5,lp2,rb1,
8.96577,1,2-3,l2,
9.19908,2,2-3,l4,
9.19908,3,2-3,rb0,
9.43239,4,2-3,l4,
9.43239,5,2-3,rb0,
9.86568,1,,lb1,
9.86568,2,,lb3,
9.86568,3,,r1,
9.86568,4,,lb3,
9.86568,5,,r1,
9.899009999999999,1,w3,,
10.13232,3,w3,,
10.13232,2,w3,,
10.26564,1,3-4,lb0,
10.36563,5,w3,,
10.36563,4,w3,,
10.498949999999999,2,3-4,lb2,
10.498949999999999,3,3-4,r2,
10.73226,4,3-4,lb2,
10.73226,5,3-4,r2,
11.198879999999999,1,w4,,
11.36553,1,4-1,,
11.43219,3,w4,,
11.43219,2,w4,,
11.59884,2,4-1,lb1,
11.6655,5,w4,,
11.6655,4,w4,,
11.832149999999999,3,4-1,rb1,
12.06546,4,4-1,lb1,
12.29877,1,w1,,
12.332099999999999,5,4-1,rb1,
12.532079999999999,2,w1,,
12.69873,1,1-2,,
12.76539,3,w1,,
12.932039999999999,2,1-2,lb0,
12.9987,4,w1,,
13.16535,3,1-2,rb0,
13.26534,5,w1,,
13.39866,4,1-2,lb0,
13.631969999999999,1,w2,,
13.6653,5,1-2,rb0,
13.865279999999998,2,w2,,
14.09859,3,w2,,
14.13192,1,j2-3,,
14.3319,4,w2,,
14.53188,2,j2-3,,
14.53188,3,j2-3,,
14.59854,5,w2,,
14.865179999999999,4,j2-3,,
14.865179999999999,5,j2-3,,
15.19848,1,w3,,
15.3318,1,3-4,,
15.465119999999999,2,3-4,,
15.465119999999999,3,3-4,,
15.59844,4,3-4,,
15.59844,5,3-4,,
15.73176,1,4-1,,
15.865079999999999,2,4-1,,
15.865079999999999,3,4-1,,
15.9984,4,4-1,,
15.9984,5,4-1,,
16.23171,1,j1-2,,
16.29837,2,j1-2,,
16.29837,3,j1-2,,
16.36503,4,j1-2,,
16.36503,5,j1-2,,
16.731659999999998,1,lp2,,
16.731659999999998,2,lp2,,
16.731659999999998,3,lp2,,
16.731659999999998,4,lp2,,
16.731659999999998,5,lp2,,
17.331599999999998,1,2-3,,f1
17.331599999999998,2,2-3,,
17.331599999999998,3,2-3,,
17.331599999999998,4,2-3,,
17.331599999999998,5,2-3,,
17.364929999999998,MOT_mc_stage_color_00,r-flash,,
17.364929999999998,MOT_mc_bg_black_00,b65-45,,
17.364929999999998,MOT_mc_light_up_00,l2,,
17.9982,1,lp3,,
18.26484,5,w3,,
18.26484,4,w3,,
18.26484,3,w3,,
18.26484,2,w3,,
18.3315,1,j3-4,,
18.79812,1,4-1,r1,
19.29807,1,sj1,,
19.73136,1,lp1,,
20.06466,2,3-4,,
20.06466,3,3-4,,
20.06466,4,3-4,,
20.06466,5,3-4,,
20.06466,1,1-2,rb0,
20.56461,1,2-3,l1,
20.997899999999998,5,w4,,
20.997899999999998,4,w4,,
20.997899999999998,3,w4,,
20.997899999999998,2,w4,,
21.09789,1,sp3-4,,
21.96447,1,sj4,,
22.06446,2,4-1,,
22.06446,3,4-1,,
22.231109999999997,4,4-1,,
22.231109999999997,5,4-1,,
22.36443,1,4-1,,
22.53108,2,1-2,,
22.53108,3,1-2,,
22.69773,4,1-2,,
22.69773,5,1-2,,
22.76439,1,lp1,,
23.13102,1,1-2,lb0,
23.46432,3,w2,,
23.46432,2,w2,,
23.56431,1,2-3,l1,
23.630969999999998,5,w2,,
23.630969999999998,4,w2,,
23.9976,1,j3-4,,
24.56421,1,lp4,,
24.9975,1,4-1,,
25.464119999999998,2,2-3,,
25.464119999999998,3,2-3,,
25.464119999999998,4,2-3,,
25.464119999999998,5,2-3,,
25.464119999999998,1,j1-2,,
26.03073,1,lp2,,
26.36403,1,j2-3,,
26.39736,5,w3,,
26.39736,4,w3,,
26.39736,3,w3,,
26.39736,2,w3,,
26.93064,1,lp3,,
27.23061,1,hj3,,
27.36393,2,j3-4,,
27.36393,3,j3-4,,
27.36393,4,j3-4,,
27.36393,5,j3-4,,
28.130519999999997,1,3-4,,
28.43049,5,w4,,
28.43049,4,w4,,
28.43049,3,w4,,
28.43049,2,w4,,
28.697129999999998,2,4-1,,
28.697129999999998,3,4-1,,
28.697129999999998,4,4-1,,
28.697129999999998,5,4-1,,
28.697129999999998,1,4-1,lb0,
29.16375,1,lp1,,
29.63037,5,w1,,
29.63037,4,w1,,
29.63037,3,w1,,
29.63037,2,w1,,
29.930339999999998,1,j1-2,,
30.63027,2,1-2,,
30.63027,3,1-2,,
30.63027,4,1-2,,
30.63027,5,1-2,,
30.63027,1,2-3,r1,
31.19688,1,lp3,,
31.530179999999998,1,3-4,rb0,
31.563509999999997,5,w2,,
31.563509999999997,4,w2,,
