time,lyrics,size
0,,
2.3195,もっとね　もっとね　トキメキたいの\n（もっとね）,
7.567,恋に焦がれるお年頃なんです\n（もっとね）,
13.3,きっとね　きっとね　とびきりきらめいて\n（まぶしいくらい）,
18.367,夢見てるステキなDESTINY\n（まぶしいくらい）,
23.75,形から入ってみる？　映画のヒロインみたいに\n（まずは、ね）,
29.15,ヘアアレンジ試したら　なんだかイイ感じかも !\n（チャレンジです）,
37.4,あこがれの未来へ進めGIRL !,
40.13,あたらしい私に出会いたくて,
43.292,恋する準備は万端　ばっちりね,
48.23,可能性は無限大です,
50.874,心おどる予感のする方へと　駆けだして,
58.517,ひとつ　ふたつ　期待重ねて,
64.177,オトメゴコロ更新中,
70.11236,,
72.5,足取り軽くスキップして,
75.2,トキメキの欠片を探しに行こう,
78.346,無敵なオトメ　GO ! GO ! まっすぐに,
83.3,可能性は無限大です,
85.983,心おどる予感のする方へと　駆けだして,
93.514,ひとつ　ふたつ　期待重ねて,
99.3,オトメゴコロ更新中,
106.333,見ていてね？,
113.258427,,
