0.03333,MOT_all,cut1,,
2.4997499999999997,MOT_control_all,zoom1,,
2.53308,1,,,,L0
2.53308,2,,,,D20
2.53308,1,1-2,,f1,
2.53308,2,sort,-500,
2.5997399999999997,MOT_mc_stage_color_00,b-flash,,
3.09969,1,2-3,,,
3.7662899999999997,1,j3-4,,,
4.46622,1,4-1,,,
5.16615,1,hj1,,,
5.16615,2,1-2,,,
5.26614,MOT_mc_stage_color_00,b-flash,,
5.79942,1,1-2,,,
6.09939,2,w2,,,
6.466019999999999,2,j2-3,,,
6.59934,MOT_mc_stage_color_00,r-flash,,
6.73266,1,w2,,,
6.9659699999999996,2,3-4,,,
7.56591,1,j2-3,,,
7.59924,MOT_mc_stage_color_00,b-flash,,
7.89921,2,w4,,,
8.165849999999999,1,sp3-4,,,
8.93244,1,hj4,,,
9.56571,1,4-1,l1,,
9.93234,1,1-2,,,
10.498949999999999,1,j2-3,,,
10.498949999999999,2,4-1,,,
10.998899999999999,1,3-4,,,
11.43219,2,w1,,,
11.53218,1,,lb0,,
11.832149999999999,1,j4-1,,,
11.832149999999999,2,1-2,,,
11.932139999999999,MOT_mc_stage_color_00,b-flash,,
12.632069999999999,MOT_control_all,zoom2,,
12.6654,1,,,,D20
12.6654,MOT_mc_stage_color_00,b-flash,,
12.6654,1,1-2,,b0,
12.6654,2,2-3,,,
12.932039999999999,MOT_mc_stage_color_00,r-flash,,
13.16535,MOT_mc_stage_color_00,y-flash,,
13.331999999999999,MOT_control_all,zoom3,,
13.36533,2,,,,L0
13.36533,2,3-4,,f1,
13.36533,1,sort,-500,
13.39866,MOT_mc_stage_color_00,b-flash,,
13.59864,1,w2,,,
13.865279999999998,2,4-1,,,
14.49855,2,1-2,,,
14.83185,2,2-3,,,
15.23181,2,hj3,,,
15.865079999999999,1,2-3,,,
15.865079999999999,2,j3-4,,,
15.9984,MOT_mc_stage_color_00,b-flash,,
16.43169,2,4-1,,,
16.731659999999998,2,lp1,,,
16.79832,1,w3,,,
17.23161,1,3-4,,,
17.23161,2,j1-2,,,
17.331599999999998,MOT_mc_stage_color_00,r-flash,,
17.86488,1,j4-1,,,
18.23151,2,2-3,,,
18.43149,MOT_mc_stage_color_00,b-flash,,
18.564809999999998,1,j1-2,,,
18.564809999999998,2,hj3,,,
19.13142,1,2-3,,,
19.23141,MOT_mc_stage_color_00,r-flash,,
19.23141,2,3-4,r1,,
19.46472,1,lp3,,,
19.964669999999998,2,4-1,,,
19.997999999999998,MOT_mc_stage_color_00,b-flash,,
20.26464,2,1-2,rb0,,
20.597939999999998,1,3-4,,,
20.597939999999998,2,j2-3,,,
21.23121,MOT_control_all,zoom4,,
21.26454,1,,,,L0
21.26454,1,sp4-1,,f1,
21.26454,2,sp3-4,,,
21.36453,MOT_mc_stage_color_00,y-flash,,
22.397759999999998,1,hj1,,,
22.397759999999998,2,hj4,,,
22.431089999999998,MOT_mc_stage_color_00,y-flash,,
23.630969999999998,2,w4,,,
23.630969999999998,1,w1,,,
23.630969999999998,MOT_control_all,zoom5,,
23.664299999999997,2,,,,D20
23.664299999999997,MOT_mc_stage_color_00,b-flash,,
23.664299999999997,1,1-2,,,
23.664299999999997,2,4-1,,b0,
23.664299999999997,2,sort,-500,
23.9976,1,j2-3,,,
24.13092,MOT_mc_stage_color_00,b-flash,,
24.56421,1,3-4,,,
24.59754,2,w1,,,
24.9975,2,1-2,,,
25.13082,MOT_mc_stage_color_00,r-flash,,
25.230809999999998,1,sp4-1,,,
25.39746,2,2-3,,,
25.83075,1,j1-2,,,
25.897409999999997,MOT_mc_stage_color_00,b-flash,,
26.3307,2,w3,,,
26.36403,1,2-3,,,
26.36403,2,3-4,,,
26.39736,MOT_mc_stage_color_00,r-flash,,
26.697329999999997,1,j3-4,,,
26.697329999999997,2,j4-1,,,
26.83065,MOT_mc_stage_color_00,b-flash,,
27.297269999999997,1,4-1,,,
27.59724,1,1-2,,,
27.76389,2,w1,,,
27.9972,MOT_control_all,zoom6,,
28.03053,2,,,,L0
28.03053,1,j2-3,,,
28.03053,2,1-2,,f1,
28.097189999999998,MOT_mc_stage_color_00,b-flash,,
28.59714,1,3-4,r1,,
28.59714,2,2-3,l1,,
28.6638,MOT_mc_stage_color_00,y-flash,,
29.06376,MOT_control_all,zoom7,,
29.097089999999998,1,,,,D20
29.097089999999998,1,4-1,,b0,
29.097089999999998,2,3-4,,,
29.097089999999998,1,sort,-500,
29.16375,MOT_mc_stage_color_00,b-flash,,
29.43039,2,j4-1,,,
29.497049999999998,MOT_mc_stage_color_00,b-flash,,
29.963669999999997,2,j1-2,,,
30.03033,1,w1,,,
30.46362,MOT_mc_stage_color_00,r-flash,,
30.46362,1,1-2,,,
30.6636,2,2-3,l2,,
30.83025,1,j2-3,,,
30.89691,MOT_mc_stage_color_00,b-flash,,
31.29687,2,3-4,lb1,,
31.363529999999997,1,3-4,,,
31.49685,MOT_mc_stage_color_00,r-flash,,
31.6635,1,lp4,,,
31.79682,2,4-1,,,
31.89681,MOT_mc_stage_color_00,b-flash,,
32.09679,2,j1-2,,,
32.19678,1,4-1,,,
32.73006,2,2-3,lb0,,
33.063359999999996,2,3-4,,,
33.13002,1,w1,,,
33.36333,MOT_control_all,zoom8,,
33.42999,1,,,,L0
