id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,986,0,0
2,0,91,,,,0,0
3,3.931204,1,3,2,0,1,0
4,3.931204,1,4,5,0,1,0
5,4.176904,1,3,2,0,1,0
6,4.176904,1,4,5,0,1,0
7,4.545455,1,3,2,0,1,0
8,4.545455,1,4,5,0,1,0
9,4.914005,1,3,2,0,1,0
10,4.914005,1,4,5,0,1,0
11,5.159705,1,3,2,0,1,0
12,5.159705,1,4,5,0,1,0
13,5.405405,2,2,3,0,0,0
14,5.528256,2,2,3,0,0,0
15,5.651106,1,3,4,0,0,0
16,5.896806,1,3,2,0,1,0
17,5.896806,3,5,5,0,1,112
18,6.142506,1,3,2,0,0,0
19,6.388206,3,4,2,0,0,112
20,6.879607,1,2,1,0,1,0
21,6.879607,3,4,4,0,1,113
22,7.125307,1,2,1,0,0,0
23,7.371007,3,3,1,0,0,113
24,7.616708,1,2,3,0,1,0
25,7.616708,1,2,1,0,1,0
26,7.862408,1,3,4,0,1,0
27,7.862408,2,1,2,0,1,0
28,8.108108,1,3,4,0,0,0
29,8.353808,2,2,3,0,0,0
30,8.476658,2,2,3,0,0,0
31,8.599509,1,3,4,0,0,0
32,8.845209,1,3,4,0,1,0
33,8.845209,2,1,2,0,1,0
34,9.090909,1,1,2,0,1,0
35,9.090909,1,3,4,0,1,0
36,9.336609,2,2,3,0,0,0
37,9.459459,2,2,3,0,0,0
38,9.58231,1,3,4,0,1,0
39,9.58231,3,1,2,0,1,114
40,9.70516,3,2,1,0,0,114
41,9.82801,1,3,4,0,1,0
42,9.82801,3,1,2,0,1,114
43,10.07371,1,3,4,0,1,0
44,10.07371,3,2,1,0,1,114
45,10.31941,3,1,2,0,1,114
46,10.31941,2,3,4,0,1,0
47,10.44226,2,3,4,0,0,0
48,10.565111,3,3,1,0,1,114
49,10.565111,1,4,5,0,1,0
50,10.810811,1,4,5,0,1,0
51,10.810811,3,1,3,0,1,114
52,11.056511,1,4,5,0,1,0
53,11.056511,3,3,1,0,1,114
54,11.302211,3,1,2,0,1,114
55,11.302211,2,3,4,0,1,0
56,11.425061,2,3,4,0,0,0
57,11.547912,3,2,1,0,1,114
58,11.547912,1,2,3,0,1,0
59,11.793612,1,4,5,0,1,0
60,11.793612,3,1,2,0,1,114
61,12.039312,1,3,2,0,1,0
62,12.039312,1,4,5,0,1,0
63,12.407862,1,3,2,0,1,0
64,12.407862,1,4,5,0,1,0
65,12.776413,1,3,2,0,1,0
66,12.776413,1,4,5,0,1,0
67,13.022113,1,3,2,0,1,0
68,13.022113,1,4,5,0,1,0
69,13.267813,2,2,3,0,0,0
70,13.390663,2,2,3,0,0,0
71,13.513514,1,3,4,0,0,0
72,13.759214,1,3,2,0,1,0
73,13.759214,3,5,5,0,1,115
74,14.004914,1,3,2,0,0,0
75,14.250614,3,4,2,0,0,115
76,14.742015,1,2,1,0,1,0
77,14.742015,3,4,4,0,1,116
78,14.987715,1,2,1,0,0,0
79,15.233415,3,3,1,0,0,116
80,15.479115,1,2,3,0,1,0
81,15.479115,1,2,1,0,1,0
82,15.724816,1,3,4,0,1,0
83,15.724816,2,1,2,0,1,0
84,15.970516,1,4,5,0,0,0
85,16.216216,2,3,4,0,0,0
86,16.339066,2,3,4,0,0,0
87,16.461916,1,4,5,0,0,0
88,16.707617,1,4,5,0,1,0
89,16.707617,2,1,2,0,1,0
90,16.953317,1,3,2,0,1,0
91,16.953317,1,4,5,0,1,0
92,17.199017,2,2,3,0,0,0
93,17.321867,2,2,3,0,0,0
94,17.444717,1,3,4,0,1,0
95,17.444717,3,2,2,0,1,117
96,17.690418,1,4,5,0,1,0
97,17.690418,3,2,1,0,1,117
98,17.936118,1,4,5,0,0,0
99,18.181818,2,2,3,0,0,0
100,18.304668,2,2,3,0,0,0
101,18.427518,1,3,4,0,0,0
102,18.673219,1,4,5,0,1,0
103,18.673219,3,1,3,0,1,117
104,18.918919,1,3,4,0,0,0
105,19.164619,3,2,1,0,1,117
106,19.164619,2,2,3,0,1,0
107,19.287469,2,2,3,0,0,0
108,19.410319,1,3,4,0,0,0
109,19.65602,1,4,5,0,1,0
110,19.65602,3,1,2,0,1,117
111,19.90172,1,3,2,0,1,0
112,19.90172,1,4,5,0,1,0
113,20.27027,1,3,2,0,1,0
114,20.27027,1,4,5,0,1,0
115,20.638821,1,3,2,0,1,0
116,20.638821,1,4,5,0,1,0
117,20.884521,1,3,2,0,1,0
118,20.884521,1,4,5,0,1,0
119,21.130221,2,2,3,0,0,0
120,21.253071,2,2,3,0,0,0
121,21.375921,1,3,4,0,0,0
122,21.621622,1,3,2,0,1,0
123,21.621622,3,5,5,0,1,118
124,21.867322,1,3,2,0,0,0
125,22.113022,3,4,2,0,0,118
126,22.604423,1,3,1,0,1,0
127,22.604423,3,4,4,0,1,119
128,22.850123,1,3,1,0,0,0
129,23.095823,3,3,1,0,0,119
130,23.341523,1,2,3,0,1,0
131,23.341523,1,2,1,0,1,0
132,23.587224,1,3,4,0,1,0
133,23.587224,2,1,2,0,1,0
134,23.832924,1,3,4,0,0,0
135,24.078624,2,2,3,0,0,0
136,24.201474,2,2,3,0,0,0
137,24.324324,1,3,4,0,0,0
138,24.570025,1,3,4,0,1,0
139,24.570025,2,1,2,0,1,0
140,24.815725,1,1,2,0,1,0
141,24.815725,1,3,4,0,1,0
142,25.061425,2,2,3,0,0,0
143,25.184275,2,2,3,0,0,0
144,25.307125,1,3,4,0,1,0
145,25.307125,3,1,2,0,1,120
146,25.429975,3,2,1,0,0,120
147,25.552826,1,3,4,0,1,0
148,25.552826,3,1,2,0,1,120
149,25.798526,1,3,4,0,1,0
150,25.798526,3,2,1,0,1,120
151,26.044226,3,1,2,0,1,120
152,26.044226,2,3,4,0,1,0
153,26.167076,2,3,4,0,0,0
154,26.289926,3,3,1,0,1,120
155,26.289926,1,4,5,0,1,0
156,26.535627,1,4,5,0,1,0
157,26.535627,3,1,3,0,1,120
158,26.781327,1,4,5,0,1,0
159,26.781327,3,3,1,0,1,120
160,27.027027,3,1,2,0,1,120
161,27.027027,2,3,4,0,1,0
162,27.149877,2,3,4,0,0,0
163,27.272727,3,2,1,0,1,120
164,27.272727,1,2,3,0,1,0
165,27.518428,1,4,5,0,1,0
166,27.518428,3,1,2,0,1,120
167,27.764128,1,3,2,0,1,0
168,27.764128,1,4,5,0,1,0
169,28.132678,1,3,2,0,1,0
170,28.132678,1,4,5,0,1,0
171,28.501229,1,3,2,0,1,0
172,28.501229,1,4,5,0,1,0
173,28.746929,1,3,2,0,1,0
174,28.746929,1,4,5,0,1,0
175,28.992629,2,2,3,0,0,0
176,29.115479,2,2,3,0,0,0
177,29.238329,1,3,4,0,0,0
178,29.484029,1,3,2,0,1,0
179,29.484029,3,5,5,0,1,121
180,29.97543,3,4,2,0,0,121
181,30.46683,1,3,1,0,1,0
182,30.46683,3,4,4,0,1,122
183,30.958231,3,3,1,0,0,122
184,31.203931,1,3,2,0,0,0
185,31.285831,1,2,3,0,0,0
186,31.367731,1,3,2,0,0,0
187,31.449631,1,3,1,0,1,0
