0.03333,MOT_control_all,over1,,
0.03333,MOT_mc_speaker_00,l1,,
0.03333,MOT_all,cut1,,
3.5663099999999996,MOT_control_all,over2,,
3.59964,MOT_all,cut1,,
3.59964,MOT_mc_stage_color_00,y-flash,,
3.59964,MOT_mc_light_up_00,l3,,
3.59964,MOT_mc_light_center_00,l3,,
3.59964,MOT_mc_light_under_00,l2,,
3.59964,1,hj1,,
3.59964,2,hj1,,
3.59964,3,hj1,,
3.59964,4,hj1,,
3.59964,5,hj1,,
4.83285,5,w1,,
4.83285,4,w1,,
4.83285,3,w1,,
4.83285,2,w1,,
4.83285,1,w1,,
5.6994299999999996,MOT_mc_stage_color_00,b-flash,,
5.6994299999999996,1,j1-2,,
5.6994299999999996,2,j1-2,,
5.6994299999999996,3,j1-2,,
5.6994299999999996,4,j1-2,,
5.6994299999999996,5,j1-2,,
6.7659899999999995,5,w2,,
6.7659899999999995,4,w2,,
6.7659899999999995,3,w2,,
6.7659899999999995,2,w2,,
6.7659899999999995,1,w2,,
7.732559999999999,1,2-3,,
7.732559999999999,2,2-3,,
7.732559999999999,3,2-3,,
7.732559999999999,4,2-3,,
7.732559999999999,5,2-3,,
8.365829999999999,MOT_control_all,over3,,
8.365829999999999,1,3-4,,
8.365829999999999,2,3-4,,
8.365829999999999,3,3-4,,
8.365829999999999,4,3-4,,
8.365829999999999,5,3-4,,
8.89911,1,4-1,,
8.89911,2,4-1,,
8.89911,3,4-1,,
8.89911,4,4-1,,
8.89911,5,4-1,,
9.63237,1,sp1-2,,
9.63237,2,sp1-2,,
9.63237,3,sp1-2,,
9.63237,4,sp1-2,,
9.63237,5,sp1-2,,
11.6655,MOT_mc_stage_color_00,y-flash,,
11.6655,1,j2-3,,
11.6655,2,j2-3,,
11.6655,3,j2-3,,
11.6655,4,j2-3,,
11.6655,5,j2-3,,
12.732059999999999,5,w3,,
12.732059999999999,4,w3,,
12.732059999999999,3,w3,,
12.732059999999999,2,w3,,
12.732059999999999,1,w3,,
13.69863,MOT_mc_stage_color_00,r-flash,,
13.69863,1,hj3,,
13.69863,2,hj3,,
13.69863,3,hj3,,
13.69863,4,hj3,,
13.69863,5,hj3,,
14.13192,MOT_control_all,over4,,
14.3319,1,sp3-4,,
14.3319,2,sp3-4,,
14.3319,3,sp3-4,,
14.3319,4,sp3-4,,
14.3319,5,sp3-4,,
17.39826,1,4-1,,
17.39826,2,4-1,,
17.39826,3,4-1,,
17.39826,4,4-1,,
17.39826,5,4-1,,
18.3315,5,w1,,
18.3315,4,w1,,
18.3315,3,w1,,
18.3315,2,w1,,
18.3315,1,w1,,
18.39816,MOT_mc_stage_color_00,r-flash,,
18.39816,1,1-2,,
18.39816,2,1-2,,
18.39816,3,1-2,,
18.39816,4,1-2,,
18.39816,5,1-2,,
18.89811,1,sj2,,
18.89811,2,sj2,,
18.89811,3,sj2,,
18.89811,4,sj2,,
18.89811,5,sj2,,
19.398059999999997,5,w2,,
19.398059999999997,4,w2,,
19.398059999999997,3,w2,,
19.398059999999997,2,w2,,
19.398059999999997,1,w2,,
19.798019999999998,MOT_mc_stage_color_00,y-flash,,
19.798019999999998,1,j2-3,,
19.798019999999998,2,j2-3,,
19.798019999999998,3,j2-3,,
19.798019999999998,4,j2-3,,
19.798019999999998,5,j2-3,,
20.56461,1,3-4,,
20.56461,2,3-4,,
20.56461,3,3-4,,
20.56461,4,3-4,,
20.56461,5,3-4,,
21.49785,5,w4,,
21.49785,4,w4,,
21.49785,3,w4,,
21.49785,2,w4,,
21.49785,1,w4,,
21.69783,MOT_mc_stage_color_00,r-flash,,
21.69783,1,4-1,,
21.69783,2,4-1,,
21.69783,3,4-1,,
21.69783,4,4-1,,
21.69783,5,4-1,,
22.36443,1,1-2,,
22.36443,2,1-2,,
22.36443,3,1-2,,
22.36443,4,1-2,,
22.36443,5,1-2,,
22.831049999999998,1,2-3,,
22.831049999999998,2,2-3,,
22.831049999999998,3,2-3,,
22.831049999999998,4,2-3,,
22.831049999999998,5,2-3,,
23.36433,1,j3-4,,
23.36433,2,j3-4,,
23.36433,3,j3-4,,
23.36433,4,j3-4,,
23.36433,5,j3-4,,
24.36423,1,lp4,,
