0.03333,MOT_mc_bg_black_00,stay,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
2.29977,MOT_control_all,zoom00,,
2.46642,1,j1-2,,,
2.46642,2,j1-2,,,
2.46642,3,j1-2,,,
2.46642,4,j1-2,,,
2.46642,5,j1-2,,,
2.73306,MOT_mc_special_01,open,,
2.73306,MOT_mc_light_under_00,l1,,
3.53298,5,w2,,,
3.53298,4,w2,,,
3.53298,3,w2,,,
3.53298,2,w2,,,
3.53298,1,w2,,,
3.79962,1,2-3,,f1,
3.79962,2,2-3,,b-1,
3.79962,3,2-3,,b-1,
3.79962,4,2-3,,f1,
3.79962,5,2-3,,f1,
4.1329199999999995,1,lp3,,,
4.1329199999999995,2,lp3,,,
4.1329199999999995,3,lp3,,,
4.1329199999999995,4,lp3,,,
4.1329199999999995,5,lp3,,,
6.5660099999999995,1,3-4,,b0,
6.5660099999999995,2,3-4,,f0,
6.5660099999999995,3,3-4,,f0,
6.5660099999999995,4,3-4,,b0,
6.5660099999999995,5,3-4,,b0,
6.89931,1,lp4,,,
6.89931,2,lp4,,,
6.89931,3,lp4,,,
6.89931,4,lp4,,,
6.89931,5,lp4,,,
9.3324,1,4-1,,b-1,
9.3324,2,4-1,,f1,
9.3324,3,4-1,,f1,
9.3324,4,4-1,,b-1,
9.3324,5,4-1,,b-1,
9.6657,1,lp1,,,
9.6657,2,lp1,,,
9.6657,3,lp1,,,
9.6657,4,lp1,,,
9.6657,5,lp1,,,
12.09879,1,1-2,,f0,
12.09879,2,1-2,,b0,
12.09879,3,1-2,,b0,
12.09879,4,1-2,,f0,
12.09879,5,1-2,,f0,
12.432089999999999,1,lp2,,,
12.432089999999999,2,lp2,,,
12.432089999999999,3,lp2,,,
12.432089999999999,4,lp2,,,
12.432089999999999,5,lp2,,,
14.53188,MOT_control_all,zoom01,,
14.865179999999999,MOT_mc_bg_black_00,b80-65,,
14.865179999999999,MOT_mc_light_up_00,l1,,
14.865179999999999,MOT_mc_light_center_00,l1,,
14.865179999999999,1,2-3,,b-1,
14.865179999999999,2,2-3,,b-1,
14.865179999999999,3,2-3,,f1,L0
14.865179999999999,4,2-3,,b-1,
14.865179999999999,5,2-3,,b-1,
15.19848,1,lp3,,,
15.19848,2,lp3,,,
15.19848,4,lp3,,,
15.19848,5,lp3,,,
15.23181,MOT_mc_stage_color_00,y-flash,,
15.79842,3,w3,,,
16.23171,3,sj3,,,
16.731659999999998,3,w3,,,
17.63157,3,j3-4,r1,,
18.69813,3,w4,,,
18.9981,3,4-1,rb0,,
19.93134,3,w1,,,
20.397959999999998,1,3-4,,,
20.397959999999998,2,3-4,,,
20.397959999999998,3,1-2,l1,,
20.397959999999998,4,3-4,,,
20.397959999999998,5,3-4,,,
20.73126,1,lp4,,,
20.73126,2,lp4,,,
20.73126,4,lp4,,,
20.73126,5,lp4,,,
21.3312,3,w2,,,
21.76449,3,j2-3,,,
22.831049999999998,3,w3,,,
23.16435,3,3-4,lb0,,
24.09759,3,w4,,,
24.53088,3,4-1,,b0,
24.53088,2,,,f0,
24.53088,4,,,f0,
24.53088,5,,,f0,
24.53088,1,,,f0,
24.864179999999998,3,lp1,,,
25.064159999999998,MOT_control_all,zoom02,,
25.93074,1,4-1,,b-1,
25.93074,2,4-1,,f1,L40
25.93074,3,1-2,,b-1,D20
25.93074,4,4-1,,b-1,
