0.03333,MOT_mc_bg_black_00,seat100-0,,
2.0664599999999997,MOT_mc_speaker_00,temp2,,
2.36643,MOT_mc_stage_color_00,y-flash,,
2.36643,MOT_mc_bg_black_00,b65-45,,
2.36643,MOT_mc_light_up_00,l1,,
2.36643,MOT_mc_light_center_00,l1,,
2.36643,MOT_mc_light_under_00,l1,,
2.36643,2,,,,D20
2.36643,3,,,,D20
2.36643,4,,,,D20
2.36643,5,,,,D20
2.36643,1,1-2,,,
3.29967,1,w2,,,
3.36633,MOT_mc_stage_color_00,b-flash,,
3.36633,1,2-3,,f1,
3.73296,1,3-4,,,
4.29957,1,4-1,,,
4.6662,1,1-2,,,
4.999499999999999,1,2-3,,,
5.93274,1,w3,,,
6.066059999999999,MOT_mc_stage_color_00,y-flash,,
6.066059999999999,1,j3-4,,,
6.5660099999999995,1,4-1,,,
6.9993,1,1-2,l1,,
7.46592,1,2-3,lb0,,
8.39916,1,w3,,,
8.63247,MOT_mc_stage_color_00,r-flash,,
8.63247,1,3-4,r1,,
8.9991,1,4-1,rb0,,
9.3324,1,1-2,,,
9.699029999999999,1,2-3,,,
10.098989999999999,1,j3-4,,,
10.93224,MOT_mc_stage_color_00,y-flash,,
10.93224,1,4-1,l1,,
11.3322,1,1-2,lb0,,
11.73216,1,2-3,,,
12.132119999999999,1,j3-4,,,
13.132019999999999,MOT_mc_stage_color_00,b-flash,,
13.132019999999999,1,4-1,l1,,
13.49865,MOT_mc_stage_color_00,y-flash,,
13.49865,1,1-2,lb0,,
14.13192,MOT_mc_stage_color_00,r-flash,,
14.13192,MOT_mc_light_up_00,l2,,
14.13192,MOT_mc_light_center_00,l2,,
14.13192,MOT_mc_light_under_00,l3,,
14.13192,1,2-3,,,
14.465219999999999,2,1-2,,,
14.465219999999999,3,1-2,,,
14.83185,4,1-2,,,
14.83185,5,1-2,,,
15.065159999999999,1,w3,,,
15.165149999999999,MOT_mc_stage_color_00,y-flash,,
15.165149999999999,1,j3-4,,,
15.39846,3,w2,,,
15.39846,2,w2,,,
15.465119999999999,2,2-3,,,
15.465119999999999,3,2-3,,,
15.765089999999999,5,w2,,,
15.765089999999999,4,w2,,,
15.89841,4,2-3,,,
15.89841,5,2-3,,,
16.23171,1,w4,,,
16.29837,MOT_mc_stage_color_00,b-flash,,
16.29837,1,j4-1,,,
16.39836,3,w3,,,
16.39836,2,w3,,,
16.76499,2,3-4,,,
16.76499,3,3-4,,,
16.83165,5,w3,,,
16.83165,4,w3,,,
17.23161,4,3-4,,,
17.23161,5,3-4,,,
17.364929999999998,1,w1,,,
17.564909999999998,1,1-2,,,
17.69823,3,w4,,,
17.69823,2,w4,,,
17.89821,2,4-1,,,
17.89821,3,4-1,,,
18.164849999999998,5,w4,,,
18.164849999999998,4,w4,,,
18.29817,4,4-1,,,
18.29817,5,4-1,,,
18.49815,1,w2,,,
18.59814,MOT_mc_stage_color_00,r-flash,,
18.59814,1,2-3,,,
18.79812,2,1-2,,,
18.79812,3,1-2,,,
19.13142,4,1-2,,,
19.13142,5,1-2,,,
19.398059999999997,1,j3-4,,,
19.6647,2,2-3,,,
19.6647,3,2-3,,,
20.06466,5,w2,,,
20.06466,4,w2,,,
20.09799,4,2-3,,,
20.09799,5,2-3,,,
20.46462,1,w4,,,
20.597939999999998,3,w3,,,
20.597939999999998,2,w3,,,
20.63127,1,j4-1,,,
20.86458,4,3-4,,,
20.86458,5,3-4,,,
21.36453,2,3-4,,,
21.36453,3,3-4,,,
21.69783,1,w1,,,
21.73116,1,hj1,,,
21.797819999999998,5,w4,,,
21.797819999999998,4,w4,,,
22.13112,4,4-1,,,
22.13112,5,4-1,,,
22.29777,3,w4,,,
22.29777,2,w4,,,
22.46442,2,4-1,,,
22.46442,3,4-1,,,
22.797719999999998,2,1-2,,,
22.797719999999998,3,1-2,,,
22.797719999999998,4,1-2,,,
22.797719999999998,5,1-2,,,
22.96437,1,w1,,,
23.46432,1,1-2,,,
23.73096,5,w2,,,
23.73096,4,w2,,,
23.73096,3,w2,,,
23.73096,2,w2,,,
24.19758,2,j2-3,,,
24.19758,3,j2-3,,,
24.19758,4,j2-3,,,
24.19758,5,j2-3,,,
24.39756,1,w2,,,
24.76419,MOT_mc_stage_color_00,b-flash,,
24.76419,MOT_mc_bg_black_00,b45-65,,
24.76419,MOT_mc_light_center_00,l1,,
24.76419,MOT_mc_light_up_00,l3,,
24.76419,2,lp3,,,
24.76419,3,lp3,,,
24.76419,4,lp3,,,
24.76419,5,lp3,,,
24.76419,1,2-3,l1,,
25.13082,1,3-4,lb0,,
25.49745,1,4-1,,,
25.83075,1,1-2,,,
26.19738,1,2-3,l1,,
26.53068,1,3-4,l2,,
26.96397,1,4-1,lb1,,
27.463919999999998,MOT_mc_stage_color_00,y-flash,,
27.463919999999998,1,1-2,lb0,,
27.83055,1,2-3,,,
28.16385,1,3-4,,,
28.697129999999998,1,j4-1,,,
29.530379999999997,MOT_mc_stage_color_00,b-flash,,
29.530379999999997,2,3-4,,,
29.530379999999997,3,3-4,,,
29.530379999999997,4,3-4,,,
29.530379999999997,5,3-4,,,
29.530379999999997,1,1-2,r1,,
29.930339999999998,2,lp4,,,
29.930339999999998,3,lp4,,,
29.930339999999998,4,lp4,,,
29.930339999999998,5,lp4,,,
29.930339999999998,1,2-3,rb0,,
30.330299999999998,1,3-4,,,
30.730259999999998,1,4-1,,,
31.09689,1,1-2,l1,,
31.46352,1,2-3,lb0,,
31.963469999999997,MOT_mc_stage_color_00,y-flash,,
31.963469999999997,1,j3-4,,,
32.696729999999995,1,j4-1,,,
33.33,1,1-2,,,
33.76329,1,2-3,,,
34.16325,1,j3-4,,,
34.86318,1,4-1,,,
35.22981,1,1-2,r1,,
35.56311,1,2-3,rb0,,
35.929739999999995,1,3-4,,,
36.296369999999996,1,4-1,,,
36.729659999999996,1,j1-2,,,
37.529579999999996,1,2-3,r1,,
37.9962,1,3-4,rb0,,
38.42949,1,4-1,,,
38.796119999999995,1,1-2,,,
39.3294,1,j2-3,,,
39.86268,MOT_mc_stage_color_00,r-flash,,
39.86268,2,4-1,,,
39.86268,3,4-1,,,
39.86268,4,4-1,,,
39.86268,5,4-1,,,
39.86268,1,3-4,,,
40.395959999999995,MOT_mc_stage_color_00,y-flash,,
40.395959999999995,2,1-2,,,
40.395959999999995,3,1-2,,,
40.395959999999995,4,1-2,,,
40.395959999999995,5,1-2,,,
40.395959999999995,1,4-1,,,
41.02923,2,2-3,,,
41.02923,3,2-3,,,
41.02923,4,2-3,,,
41.02923,5,2-3,,,
41.02923,1,1-2,l1,,
41.69583,MOT_mc_stage_color_00,r-flash,,
41.69583,2,j3-4,,,
41.69583,3,j3-4,,,
41.69583,4,j3-4,,,
41.69583,5,j3-4,,,
41.69583,1,2-3,lb0,,
42.429089999999995,1,3-4,,,
42.762389999999996,5,w4,,,
42.762389999999996,4,w4,,,
42.762389999999996,3,w4,,,
42.762389999999996,2,w4,,,
42.862379999999995,1,sj4,,,
43.29567,1,4-1,,,
43.72896,1,1-2,l1,,
44.19558,1,2-3,lb0,,
44.6622,2,4-1,,,
44.6622,3,4-1,,,
44.6622,4,4-1,,,
44.6622,5,4-1,,,
44.6622,1,j3-4,,,
45.228809999999996,MOT_mc_stage_color_00,r-flash,,
45.228809999999996,2,lp1,,,
45.228809999999996,3,lp1,,,
45.228809999999996,4,lp1,,,
45.228809999999996,5,lp1,,,
45.228809999999996,1,4-1,l1,,
45.76209,1,1-2,lb0,,
46.29537,1,2-3,,,
46.9953,1,sj3,,,
47.49525,1,w3,,,
47.52858,1,3-4,l1,,
48.19518,MOT_mc_stage_color_00,y-flash,,
48.19518,1,4-1,lb0,,
48.928439999999995,1,j1-2,,,
49.92834,1,2-3,,,
50.39496,MOT_mc_stage_color_00,y-flash,,
50.39496,1,sj3,,,
50.894909999999996,1,w3,,,
51.26154,1,3-4,,,
52.02813,1,4-1,l1,,
52.6614,1,1-2,lb0,,
53.02803,1,2-3,,,
53.52798,1,3-4,,,
54.06126,1,j4-1,,,
54.994499999999995,MOT_mc_stage_color_00,r-flash,,
54.994499999999995,2,1-2,,,
54.994499999999995,3,1-2,,,
54.994499999999995,4,1-2,,,
54.994499999999995,5,1-2,,,
54.994499999999995,1,1-2,,,
55.361129999999996,1,sp2-3,,,
55.52778,2,lp2,,,
55.52778,3,lp2,,,
55.52778,4,lp2,,,
55.52778,5,lp2,,,
56.42769,1,3-4,,,
56.86098,1,4-1,,,
57.760889999999996,MOT_mc_stage_color_00,y-flash,,
57.760889999999996,1,1-2,,,
58.12752,1,hj2,,,
58.82745,1,2-3,,,
59.494049999999994,1,sp3-4,,,
60.327299999999994,MOT_mc_stage_color_00,b-flash,,
60.327299999999994,1,4-1,,,
60.693929999999995,1,1-2,,,
61.56051,1,2-3,r1,,
61.9938,1,sj3,,,
62.49375,1,w3,,,
62.59374,1,3-4,rb0,,
63.29367,1,sp4-1,,,
63.79362,2,2-3,,,
63.79362,3,2-3,,,
64.26024,4,2-3,,,
64.26024,5,2-3,,,
64.72686,3,w3,,,
64.72686,2,w3,,,
64.72686,MOT_mc_stage_color_00,y-flash,,
64.72686,2,lp3,,,
64.72686,3,lp3,,,
64.72686,4,lp3,,,
64.72686,5,lp3,,,
64.72686,1,j1-2,,,
65.39345999999999,1,2-3,,,
65.72676,MOT_mc_stage_color_00,b-flash,,
65.72676,1,3-4,,,
66.12671999999999,1,j4-1,,,
66.79332,2,hj3,,,
66.79332,3,hj3,,,
66.79332,4,hj3,,,
66.79332,5,hj3,,,
66.79332,1,1-2,,,
67.19328,MOT_mc_stage_color_00,b-flash,,
67.19328,MOT_mc_bg_black_00,b45-20,,
67.19328,MOT_mc_light_center_00,l3,,
67.19328,MOT_mc_light_up_00,l4,,
67.19328,1,2-3,,,
67.55991,1,sj3,,,
67.92654,2,lp3,,,
67.92654,3,lp3,,,
67.92654,4,lp3,,,
67.92654,5,lp3,,,
67.92654,1,3-4,,,
68.29317,1,4-1,,,
68.65979999999999,1,1-2,,,
69.02642999999999,1,j2-3,,,
69.75968999999999,2,3-4,,,
69.75968999999999,3,3-4,,,
69.75968999999999,4,3-4,,,
69.75968999999999,5,3-4,,,
69.75968999999999,1,3-4,r1,,
70.19297999999999,2,lp4,,,
70.19297999999999,3,lp4,,,
70.19297999999999,4,lp4,,,
70.19297999999999,5,lp4,,,
70.19297999999999,1,4-1,rb0,,
70.62626999999999,1,1-2,,,
71.12622,1,sp2-3,,,
72.15944999999999,1,3-4,,,
72.62607,1,sj4,,,
73.02602999999999,1,4-1,,,
73.39265999999999,1,1-2,,,
73.75929,1,2-3,,,
74.19257999999999,1,j3-4,,,
74.92584,1,4-1,r1,,
75.29247,1,1-2,rb0,,
75.6591,1,2-3,,,
76.25904,1,sp3-4,,,
76.59234,2,4-1,,,
76.59234,3,4-1,,,
77.02562999999999,4,4-1,,,
77.02562999999999,5,4-1,,,
77.12562,1,sj4,,,
77.52557999999999,3,w1,,,
77.52557999999999,2,w1,,,
77.59223999999999,1,4-1,r1,,
77.95886999999999,5,w1,,,
77.95886999999999,4,w1,,,
78.15885,1,1-2,rb0,,
78.49215,2,1-2,,,
78.49215,3,1-2,,,
78.49215,4,1-2,,,
78.49215,5,1-2,,,
78.79212,1,j2-3,,,
79.42539,5,w2,,,
79.42539,4,w2,,,
79.42539,3,w2,,,
79.42539,2,w2,,,
79.42539,1,3-4,,,
80.12532,1,sp4-1,,,
80.72525999999999,1,1-2,,,
81.49185,1,sp2-3,,,
81.79182,MOT_mc_stage_color_00,b-flash,,
81.79182,2,2-3,,,
82.05846,MOT_mc_stage_color_00,y-flash,,
82.05846,3,2-3,,,
82.32509999999999,MOT_mc_stage_color_00,r-flash,,
82.32509999999999,4,2-3,,,
82.32509999999999,5,2-3,,,
82.6584,1,3-4,l1,,
82.72506,2,w3,,,
82.9917,3,w3,,,
83.15835,1,4-1,lb0,,
83.25833999999999,5,w3,,,
83.25833999999999,4,w3,,,
83.52498,2,3-4,,,
83.52498,3,3-4,,,
83.52498,4,3-4,,,
83.52498,5,3-4,,,
83.89161,1,1-2,l1,,
84.35822999999999,1,2-3,lb0,,
84.45822,5,w4,,,
84.45822,4,w4,,,
84.45822,3,w4,,,
84.45822,2,w4,,,
84.72485999999999,1,3-4,,,
85.3248,1,sp4-1,,,
86.89130999999999,1,1-2,,,
87.25793999999999,1,2-3,r1,,
87.6579,1,3-4,rb0,,
88.02453,2,4-1,,,
88.35782999999999,3,4-1,,,
88.59114,1,w4,,,
88.69113,4,4-1,,,
88.95777,2,w1,,,
88.9911,5,4-1,,,
89.29106999999999,3,w1,,,
89.35772999999999,1,4-1,,,
89.62437,4,w1,,,
89.72435999999999,2,1-2,,,
89.72435999999999,3,1-2,,,
89.72435999999999,4,1-2,,,
89.72435999999999,5,1-2,,,
90.29097,1,w1,,,
90.52427999999999,1,1-2,l1,,
90.6576,5,w2,,,
90.6576,4,w2,,,
90.6576,3,w2,,,
90.6576,2,w2,,,
90.95756999999999,1,2-3,lb0,,
91.39085999999999,1,3-4,,,
91.82414999999999,1,4-1,,,
92.35743,1,1-2,,,
92.79072,1,j2-3,,,
93.324,MOT_mc_bg_black_00,b80-65,,
93.324,1,3-4,,,
93.72395999999999,2,2-3,,,
93.72395999999999,3,2-3,,,
94.22390999999999,4,2-3,,,
94.22390999999999,5,2-3,,,
94.25724,1,w4,,,
94.65719999999999,3,w3,,,
94.65719999999999,2,w3,,,
94.95716999999999,1,4-1,,,
95.15715,5,w3,,,
95.15715,4,w3,,,
95.59044,1,1-2,,,
96.05705999999999,1,lp2,,,
96.39036,2,3-4,,,
96.39036,3,3-4,,,
97.12362,4,3-4,,,
97.12362,5,3-4,,,
97.3236,3,w4,,,
97.3236,2,w4,,,
98.02353,1,2-3,,,
98.05686,5,w4,,,
98.05686,4,w4,,,
98.49015,2,4-1,,,
98.49015,3,4-1,,,
98.95676999999999,1,w3,,,
99.02342999999999,4,4-1,,,
99.02342999999999,5,4-1,,,
99.42339,3,w1,,,
99.42339,2,w1,,,
99.95667,5,w1,,,
99.95667,4,w1,,,
99.95667,1,j3-4,,,
100.42329,2,1-2,,,
100.42329,3,1-2,,,
100.95657,4,1-2,,,
100.95657,5,1-2,,,
101.02323,1,w4,,,
101.35652999999999,3,w2,,,
101.35652999999999,2,w2,,,
101.88981,5,w2,,,
101.88981,4,w2,,,
102.02313,2,j2-3,,,
102.02313,3,j2-3,,,
102.02313,4,j2-3,,,
102.02313,5,j2-3,,,
102.02313,1,j4-1,,,
103.08968999999999,5,w3,,,
103.08968999999999,4,w3,,,
103.08968999999999,3,w3,,,
103.08968999999999,2,w3,,,
