0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
2.3997599999999997,1,1-4,,
2.3997599999999997,2,1-4,,
2.3997599999999997,3,1-4,,
2.83305,1,w4,,
2.83305,2,w4,,
2.83305,3,w4,,
5.23281,1,4-3,,
5.23281,2,4-3,,
5.23281,3,4-3,,
5.63277,1,lp3,,
5.63277,2,lp3,,
5.63277,3,lp3,,
7.232609999999999,1,3-2,,
7.232609999999999,2,3-2,,
7.232609999999999,3,3-2,,
7.632569999999999,1,lp2,,
7.632569999999999,2,lp2,,
7.632569999999999,3,lp2,,
9.09909,1,j2-4,,
9.09909,2,j2-4,,
9.09909,3,j2-4,,
9.43239,MOT_mc_stage_color_00,b-flash,,
9.53238,1,4-2,,
9.53238,2,4-2,,
9.53238,3,4-2,,
9.899009999999999,2,2-3,,
10.06566,1,2-3,,
10.198979999999999,3,2-3,,
10.298969999999999,2,w3,,
10.43229,1,w3,,
10.6656,1,sj3,,
10.6656,2,sj3,,
10.6656,3,sj3,,
11.06556,1,sj3,,
11.06556,2,sj3,,
11.06556,3,sj3,,
11.46552,1,lp3,,
11.46552,2,lp3,,
11.46552,3,lp3,,
13.232009999999999,1,3-4,,
13.36533,2,3-4,l1,
13.531979999999999,3,3-4,r1,
13.59864,1,w4,,
13.76529,2,w4,,
13.89861,3,w4,,
14.03193,1,sj4,,
14.23191,2,sj4,,
14.43189,3,sj4,,
14.79852,1,sj4,,
14.79852,2,sj4,,
14.79852,3,sj4,,
15.23181,1,lp4,,
15.23181,2,lp4,,
15.23181,3,lp4,,
16.23171,1,4-1,,
16.23171,2,4-1,,
16.23171,3,4-1,,
16.531679999999998,1,1-3,,
16.531679999999998,2,1-3,,
16.531679999999998,3,1-3,,
16.9983,1,3-2,,
16.9983,2,3-2,l2,
16.9983,3,3-2,r2,
17.43159,1,2-4,,
17.43159,2,2-4,,
17.43159,3,2-4,,
17.79822,1,4-2,,
17.79822,2,4-2,,
