time,lyrics,size
0,,
19.881,窓を開けたら Ah Bright light,
24.24,優しい　陽ざし　いっぱいに浴びて,
28.507,素敵な予感は　そう Day by day,
32.978,Bit by bit 胸に　あふれていく,
36.882,変わらない日々のトビラを開け,
41.38,光の向こうまで,
45.141,Right now はじまりの一歩,
52.224,SHINY DAYS!! あたらしい風,
56.417,はずむようなステップ踏んでGo my way,
61.043,Can you feel？ 透き通る空,
65.156,胸騒ぎが連れていくBrand-new world,
69.999,Listen to the melody,
72.257,遠く口笛　響かせたら,
76.604,飛び出そう　未来へ,
80.616,SHINY DAYS!! あたらしい風,
84.789,はずむようなステップ踏んでGo my way,
89.438,Can you feel？ 透き通る空,
93.519,胸騒ぎが連れていくBrand-new world,
98.403,Listen to the melody,
100.622,遠く口笛　響かせたら,
104.941,飛び出そう　未来へ,
112.896,,
