0.03333,MOT_mc_bg_black_00,seat100-0,,
1.86648,MOT_mc_bg_black_00,b80-45,,
1.86648,MOT_mc_light_under_00,l1,,
1.86648,MOT_mc_light_center_00,l1,,
1.86648,MOT_mc_light_up_00,l1,,
2.26644,1,j1-2,,
2.3331,2,j1-2,,
2.3331,3,j1-2,,
2.3997599999999997,4,j1-2,,
2.3997599999999997,5,j1-2,,
2.89971,1,lp2,,
2.89971,2,lp2,,
2.89971,3,lp2,,
2.89971,4,lp2,,
2.89971,5,lp2,,
4.39956,4,2-3,l1,
4.39956,5,2-3,r1,
4.6662,2,2-3,l1,
4.6662,3,2-3,r1,
4.93284,1,2-3,,
5.3328,5,w3,,
5.3328,4,w3,,
5.43279,1,j3-4,,
5.43279,2,j3-4,,
5.43279,3,j3-4,,
5.43279,4,j3-4,,
5.43279,5,j3-4,,
5.9994,1,lp4,,
5.9994,2,lp4,,
5.9994,3,lp4,,
5.9994,4,lp4,,
5.9994,5,lp4,,
6.9659699999999996,1,4-1,,
6.9659699999999996,2,4-1,,
6.9659699999999996,3,4-1,,
6.9659699999999996,4,4-1,,
6.9659699999999996,5,4-1,,
7.46592,1,lp1,,
7.46592,2,lp1,,
7.46592,3,lp1,,
7.46592,4,lp1,,
7.46592,5,lp1,,
7.6659,4,1-2,l2,
7.6659,5,1-2,r2,
7.9325399999999995,2,1-2,l2,
7.9325399999999995,3,1-2,r2,
8.19918,1,1-2,,
8.59914,5,w2,,
8.59914,4,w2,,
8.665799999999999,1,lp2,,
8.665799999999999,2,lp2,,
8.665799999999999,3,lp2,,
8.665799999999999,4,lp2,,
8.665799999999999,5,lp2,,
9.36573,1,2-3,,
9.36573,2,2-3,,
9.36573,3,2-3,,
9.36573,4,2-3,,
9.36573,5,2-3,,
9.899009999999999,1,j3-4,,
9.899009999999999,2,j3-4,,
9.899009999999999,3,j3-4,,
9.899009999999999,4,j3-4,,
9.899009999999999,5,j3-4,,
10.53228,1,sp4-1,,
10.53228,2,sp4-1,,
10.53228,3,sp4-1,,
10.53228,4,sp4-1,,
10.53228,5,sp4-1,,
11.89881,MOT_mc_light_center_00,l2,,
11.89881,MOT_mc_light_up_00,l2,,
11.89881,MOT_mc_stage_color_00,b-flash,,
11.89881,4,1-2,,
11.89881,5,1-2,,
11.89881,2,1-2,,
11.89881,3,1-2,,
11.89881,1,1-2,,f1
12.39876,4,lp2,,
12.39876,3,lp2,,
12.39876,2,lp2,,
12.39876,5,lp2,,
12.632069999999999,1,2-3,r1,
13.132019999999999,1,lp3,,
13.232009999999999,4,2-3,lb1,
13.232009999999999,3,2-3,r3,
13.232009999999999,2,2-3,lb1,
13.232009999999999,5,2-3,r3,
13.232009999999999,1,3-4,r2,
13.631969999999999,4,lp3,,
13.631969999999999,3,lp3,,
13.631969999999999,2,lp3,,
13.631969999999999,5,lp3,,
13.76529,1,j4-1,,
14.43189,1,lp1,,
14.565209999999999,4,3-4,lb0,
14.565209999999999,3,3-4,r4,
14.565209999999999,2,3-4,lb0,
14.565209999999999,5,3-4,r4,
14.565209999999999,1,j1-2,,
14.93184,4,lp4,,
14.93184,3,lp4,,
14.93184,2,lp4,,
14.93184,5,lp4,,
15.265139999999999,1,lp2,,
15.665099999999999,1,2-3,rb1,
