id,sec,type,startPos,finishPos,status,sync,groupId,visible,size,distance
1,0,100,0,0,804,0,0,31,,
2,0,91,,,,0,0,,,0
3,0,93,,,100,0,0,,,
4,0.523256,93,,,0,0,0,,,
5,2.093023,93,,,100,0,0,,,
6,2.172965,9,1,1,1,0,132,,,0.603198
7,2.172965,9,5,5,1,0,133,,,0.603198
8,2.180233,8,1,1,0,0,0,,120,0.610465
9,2.180233,8,5,5,0,0,0,,120,0.610465
10,2.24564,8,1,1,0,0,0,,120,0.675872
11,2.24564,8,5,5,0,0,0,,120,0.675872
12,2.311047,8,1,1,0,0,0,,120,0.741279
13,2.311047,8,5,5,0,0,0,,120,0.741279
14,2.369186,9,1,1,1,0,134,,,0.799419
15,2.369186,9,5,5,1,0,134,,,0.799419
16,2.376453,8,1,1,0,0,0,,120,0.806686
17,2.376453,8,2,2,0,0,0,,120,0.806686
18,2.376453,8,3,3,0,0,0,,120,0.806686
19,2.376453,8,4,4,0,0,0,,120,0.806686
20,2.376453,8,5,5,0,0,0,,120,0.806686
21,2.44186,8,1,1,0,0,0,,120,0.872093
22,2.44186,8,5,5,0,0,0,,120,0.872093
23,2.507267,8,1,1,0,0,0,,120,0.9375
24,2.507267,8,5,5,0,0,0,,120,0.9375
25,2.572674,8,1,1,0,0,0,,120,1.002907
26,2.572674,8,5,5,0,0,0,,120,1.002907
27,2.579942,9,1,1,1,0,132,,,1.010174
28,2.579942,9,5,5,1,0,133,,,1.010174
29,2.790698,3,2,2,0,1,29,,,1.22093
30,2.790698,3,4,4,0,1,30,,,1.22093
31,2.965116,93,,,95,0,0,,,
32,3.139535,93,,,90,0,0,,,
33,3.313953,93,,,85,0,0,,,
34,3.488372,93,,,80,0,0,,,
35,3.662791,93,,,75,0,0,,,
36,3.837209,93,,,70,0,0,,,
37,4.011628,93,,,65,0,0,,,
38,4.186047,3,2,2,0,0,29,,,2.372093
39,4.186047,93,,,65,0,0,,,
40,4.229651,3,1,1,0,0,29,,,2.400436
41,4.273256,3,4,4,0,0,30,,,2.428779
42,4.31686,3,5,5,0,0,30,,,2.457122
43,4.360465,3,1,1,0,0,29,,,2.485465
44,4.360465,93,,,65,0,0,,,
45,4.40407,3,2,2,0,0,29,,,2.513808
46,4.447674,3,5,5,0,0,30,,,2.542151
47,4.491279,3,4,4,0,0,30,,,2.570494
48,4.534884,3,2,2,0,0,29,,,2.598837
49,4.534884,93,,,70,0,0,,,
50,4.578488,3,1,1,0,0,29,,,2.62936
51,4.622093,3,4,4,0,0,30,,,2.659884
52,4.665698,3,5,5,0,0,30,,,2.690407
53,4.709302,3,1,1,0,0,29,,,2.72093
54,4.709302,93,,,75,0,0,,,
55,4.752907,3,2,2,0,0,29,,,2.753634
56,4.796512,3,5,5,0,0,30,,,2.786337
57,4.840116,3,4,4,0,0,30,,,2.819041
58,4.883721,3,2,2,0,0,29,,,2.851744
59,4.883721,93,,,80,0,0,,,
60,4.927326,3,1,1,0,0,29,,,2.886628
61,4.97093,3,4,4,0,0,30,,,2.921512
62,5.014535,3,5,5,0,0,30,,,2.956395
63,5.05814,3,1,1,0,0,29,,,2.991279
64,5.05814,93,,,85,0,0,,,
65,5.101744,3,2,2,0,0,29,,,3.028343
66,5.145349,3,5,5,0,0,30,,,3.065407
67,5.188953,3,4,4,0,0,30,,,3.102471
68,5.232558,3,2,2,0,1,29,,,3.139535
69,5.232558,3,5,5,0,1,30,,,3.139535
70,5.232558,93,,,90,0,0,,,
71,5.276163,3,1,1,0,1,29,,,3.178779
72,5.276163,3,5,5,0,1,30,,,3.178779
73,5.406977,3,2,2,0,1,29,,,3.296512
74,5.406977,3,4,4,0,1,30,,,3.296512
75,5.406977,93,,,95,0,0,,,
76,5.581395,3,2,2,0,1,13,,,3.462209
77,5.581395,3,4,4,0,1,14,,,3.462209
78,5.581395,93,,,100,0,0,,,
79,5.625,3,3,1,0,1,13,,,3.505814
80,5.625,3,3,5,0,1,14,,,3.505814
81,5.668605,93,,,97,0,0,,,
