time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,,4,,MasterOut,0,0,,
0,,4,,BUS_0007,0,0,,
0,,5,,MasterOut,0,1,,
0,,5,,BUS_0007,0,0.1,,
0,,6,,MasterOut,0,0,,
0,,6,,BUS_0007,0,0,,
0,1,1,1,,,,0,0.58
0,2,2,1,,,,-18,0.44
0,3,3,1,,,,18,0.44
0,4,4,1,,,,0,0.78
0,5,5,1,,,,0,0.78
0,6,6,1,,,,0,0.78
8.173,1,1,1,,,,0,0.54
8.173,2,2,1,,,,-18,0.4
8.173,3,3,1,,,,18,0.4
11.935,,4,,MasterOut,0,1,,
11.935,,4,,BUS_0007,0,0.1,,
11.935,,6,,MasterOut,0,1,,
11.935,,6,,BUS_0007,0,0.1,,
11.935,4,4,1,,,,0,0.54
11.935,5,5,1,,,,-20,0.46
11.935,6,6,1,,,,20,0.46
16.3,,1,,MasterOut,0.05,0,,
16.3,,1,,BUS_0007,0.2,0,,
16.3,,2,,MasterOut,0.05,0,,
16.3,,2,,BUS_0007,0.2,0,,
16.3,,3,,MasterOut,0.05,0,,
16.3,,3,,BUS_0007,0.2,0,,
17.641,1,1,1,,,,0,0.78
17.641,,1,,MasterOut,0,1,,
17.641,,1,,BUS_0007,0,0.1,,
20.015,4,4,1,,,,0,0
23.513,,1,,MasterOut,0.05,0,,
23.513,,1,,BUS_0007,0.2,0,,
23.741,2,2,1,,,,0,0.78
23.741,,2,,MasterOut,0,1,,
23.741,,2,,BUS_0007,0,0.1,,
26.145,4,4,1,,,,-20,0.46
26.145,5,5,1,,,,0,0
26.145,6,6,1,,,,20,0.46
29.555,1,1,1,,,,0,0.54
29.555,2,2,1,,,,18,0.4
29.555,3,3,1,,,,-18,0.4
29.555,,1,,MasterOut,0,1,,
29.555,,1,,BUS_0007,0,0.1,,
29.555,,3,,MasterOut,0,1,,
29.555,,3,,BUS_0007,0,0.1,,
30.284,,1,,MasterOut,0.05,0,,
30.284,,1,,BUS_0007,0.2,0,,
30.284,,2,,MasterOut,0.05,0,,
30.284,,2,,BUS_0007,0.2,0,,
30.284,,3,,MasterOut,0.05,0,,
30.284,,3,,BUS_0007,0.2,0,,
30.535,3,3,1,,,,0,0.78
30.535,,3,,MasterOut,0,1,,
30.535,,3,,BUS_0007,0,0.1,,
38.441,2,2,1,,,,0,0.78
38.441,3,3,1,,,,0,0
38.441,,2,,MasterOut,0,1,,
38.441,,2,,BUS_0007,0,0.1,,
38.972,2,2,1,,,,0,0
38.972,3,3,1,,,,0,0.78
39.54,,1,,MasterOut,0,1,,
39.54,,1,,BUS_0007,0,0.1,,
39.54,1,1,1,,,,0,0.78
39.54,3,3,1,,,,0,0
40.105,1,1,1,,,,0,0.54
40.105,2,2,1,,,,-18,0.4
40.105,3,3,1,,,,18,0.4
41.384,,2,,MasterOut,0.05,0,,
41.384,,2,,BUS_0007,0.2,0,,
41.384,,3,,MasterOut,0.05,0,,
41.384,,3,,BUS_0007,0.2,0,,
41.462,1,1,1,,,,0,0.78
41.462,4,4,1,,,,0,0
41.462,5,5,1,,,,-20,0.46
41.462,6,6,1,,,,20,0.46
43.659,,1,,MasterOut,0.05,0,,
43.659,,1,,BUS_0007,0.2,0,,
44.384,2,2,1,,,,0,0.78
44.384,,2,,MasterOut,0,1,,
44.384,,2,,BUS_0007,0,0.1,,
45.888,4,4,1,,,,-20,0.46
45.888,5,5,1,,,,0,0
45.888,6,6,1,,,,20,0.46
46.48,,2,,MasterOut,0.05,0,,
46.48,,2,,BUS_0007,0.2,0,,
47.246,3,3,1,,,,0,0.78
47.246,,3,,MasterOut,0,1,,
47.246,,3,,BUS_0007,0,0.1,,
48.924,4,4,1,,,,-20,0.46
48.924,5,5,1,,,,20,0.46
48.924,6,6,1,,,,0,0
49.493,,3,,MasterOut,0.05,0,,
49.493,,3,,BUS_0007,0.2,0,,
50.172,,1,,MasterOut,0,1,,
50.172,,1,,BUS_0007,0,0.1,,
52.95,,2,,MasterOut,0,1,,
52.95,,2,,BUS_0007,0,0.1,,
52.95,,3,,MasterOut,0,1,,
52.95,,3,,BUS_0007,0,0.1,,
52.95,1,1,1,,,,0,0.54
52.95,2,2,1,,,,-18,0.4
52.95,3,3,1,,,,18,0.4
56.226,1,1,1,,,,0,0
56.226,2,2,1,,,,0,0.78
56.226,3,3,1,,,,0,0
56.226,4,4,1,,,,0,0.78
56.226,5,5,1,,,,0,0
62.415,1,1,1,,,,0,0.54
62.415,2,2,1,,,,-18,0.4
62.415,3,3,1,,,,18,0.4
89.974,1,1,1,,,,0,0
89.974,2,2,1,,,,0,0.78
89.974,3,3,1,,,,0,0
89.974,4,4,1,,,,0,0.54
89.974,5,5,1,,,,-18,0.4
89.974,6,6,1,,,,18,0.4
90.829,2,2,1,,,,0,0
90.829,3,3,1,,,,0,0.78
91.393,1,1,1,,,,0,0.78
91.393,3,3,1,,,,0,0
91.959,1,1,1,,,,0,0.54
91.959,2,2,1,,,,-18,0.4
91.959,3,3,1,,,,18,0.4
