0.03333,MOT_mc_bg_black_00,seat100-0,,
3.3329999999999997,MOT_speaker_00,temp4,,
3.3329999999999997,MOT_mc_light_up_00,l1,,
3.3329999999999997,1,1-2,,
3.3329999999999997,2,1-2,,
3.3329999999999997,3,1-2,,
3.3329999999999997,4,1-2,,
3.3329999999999997,5,1-2,,
3.69963,MOT_mc_stage_color_00,r,,
3.69963,MOT_mc_light_center_00,l1,,
3.69963,MOT_mc_light_under_00,l3,,
3.69963,1,lp2,,
3.69963,2,lp2,,
3.69963,3,lp2,,
3.69963,4,lp2,,
3.69963,5,lp2,,
6.89931,1,2-1,,
6.89931,2,2-1,,
6.89931,3,2-1,,
6.89931,4,2-1,,
6.89931,5,2-1,,
7.26594,1,lp1,,
7.26594,2,lp1,,
7.26594,3,lp1,,
7.26594,4,lp1,,
7.26594,5,lp1,,
10.46562,4,1-3,,
10.46562,2,1-3,,
10.798919999999999,4,lp3,,
10.798919999999999,2,lp3,,
11.098889999999999,MOT_mc_light_center_00,l3,,
11.3322,3,1-3,,
11.3322,5,1-3,,
11.6655,3,lp3,,
11.6655,5,lp3,,
12.86538,5,,r1,
12.86538,4,,l1,
12.86538,3,,r1,
12.86538,2,,l1,
13.232009999999999,5,,r2,
13.232009999999999,4,,l2,
13.232009999999999,3,,r2,
13.232009999999999,2,,l2,
13.6653,5,3-4,,
13.6653,4,3-4,,
13.9986,3,3-4,,
13.9986,2,3-4,,
14.29857,1,1-4,,
14.565209999999999,5,lp4,,
14.565209999999999,4,lp4,,
14.565209999999999,3,lp4,,
14.565209999999999,2,lp4,,
14.565209999999999,1,lp4,,
15.065159999999999,MOT_mc_light_center_00,l1,,
16.531679999999998,5,4-1,,
16.531679999999998,4,4-1,,
16.531679999999998,3,4-1,,
16.531679999999998,2,4-1,,
16.531679999999998,1,4-1,,
16.83165,5,lp1,,
16.83165,4,lp1,,
16.83165,3,lp1,,
16.83165,2,lp1,,
16.83165,1,lp1,,
17.23161,5,j1-3,,
17.23161,4,j1-3,,
17.23161,3,j1-3,,
17.23161,2,j1-3,,
17.23161,1,j1-3,,
17.6649,5,lp3,,
17.6649,4,lp3,,
17.6649,3,lp3,,
17.6649,2,lp3,,
17.6649,1,lp3,,
20.06466,1,3-1,r1,
20.397959999999998,1,sj1,,
20.397959999999998,3,3-4,r3,
20.397959999999998,2,3-4,l3,
20.6646,1,lp1,,
20.6646,5,3-4,r3,
20.6646,4,3-4,l3,
20.6646,2,lp4,,
20.6646,3,lp4,,
20.93124,4,lp4,,
20.93124,5,lp4,,
22.56441,5,4-2,rb2,
22.56441,4,4-2,lb2,
22.56441,3,4-2,rb2,
22.56441,2,4-2,lb2,
22.56441,1,1-2,rb0,
22.93104,5,lp2,,
22.93104,4,lp2,,
22.93104,3,lp2,,
22.93104,2,lp2,,
22.93104,1,lp2,,
25.83075,5,j2-4,,
25.83075,4,j2-4,,
25.83075,3,j2-4,,
25.83075,2,j2-4,,
25.83075,1,j2-4,,
26.097389999999997,MOT_mc_bg_black_00,b65-45,,
26.097389999999997,MOT_mc_light_up_00,l3,,
26.297369999999997,5,w4,,b-1
26.297369999999997,4,w4,,b-1
26.297369999999997,3,w4,,b-1
26.297369999999997,2,w4,,b-1
26.297369999999997,1,lp4,,f1
26.697329999999997,1,,l1,
27.03063,1,,l2,
27.663899999999998,1,4-3,,
27.9972,1,lp3,,
28.6638,5,2-3,,
28.6638,4,2-3,,
28.6638,3,2-3,,
28.6638,2,2-3,,
28.6638,1,3-1,lb1,
28.9971,5,lp3,,
28.9971,4,lp3,,
28.9971,3,lp3,,
28.9971,2,lp3,,
28.9971,1,lp1,,
30.03033,1,1-3,lb0,
30.363629999999997,1,hj3,,
31.163549999999997,1,lp3,,
31.49685,1,3-4,,
31.83015,1,lp4,,
33.13002,4,3-1,,
33.496649999999995,4,w1,,
33.6633,2,3-1,,
33.9966,2,w1,,
34.22991,1,4-1,,
34.56321,1,w1,,
34.76319,3,3-1,,
35.063159999999996,3,w1,,
35.29647,5,3-1,,
35.56311,5,w1,,
35.69643,1,1-2,,
36.02973,1,2-3,,
36.363029999999995,1,lp3,,
37.42959,1,sp3-4,,
37.42959,2,sp3-4,,
37.42959,3,sp3-4,,
37.42959,4,sp3-4,,
37.42959,5,sp3-4,,
37.62957,MOT_mc_stage_color_00,r-flash,,
38.02953,MOT_mc_stage_color_00,r-flash,,
38.12952,1,sj4,,
38.12952,2,sj4,,
38.12952,3,sj4,,
38.12952,4,sj4,,
38.12952,5,sj4,,
38.52948,1,lp4,,
38.52948,2,lp4,,
38.52948,3,lp4,,
38.52948,4,lp4,,
38.52948,5,lp4,,
39.929339999999996,MOT_mc_stage_color_00,r-y,,
40.09599,5,,rb1,
40.09599,4,,lb1,
40.09599,1,4-1,r1,
40.6626,3,,rb1,
40.6626,2,,lb1,
40.6626,1,lp1,,
41.595839999999995,1,1-3,r2,
41.962469999999996,1,lp3,,
42.22911,5,4-2,rb0,
42.22911,4,4-2,lb0,
42.22911,1,3-2,,
42.59574,3,4-2,rb0,
42.59574,2,4-2,lb0,
42.59574,1,lp2,,
42.92904,5,w2,,
42.92904,4,w2,,
42.92904,3,w2,,
42.92904,2,w2,,
43.72896,1,2-4,rb1,
44.062259999999995,1,lp4,,
45.195479999999996,2,2-4,,
45.195479999999996,3,2-4,,
45.52878,2,w4,,
45.52878,3,w4,,
46.12872,4,2-4,,
46.12872,5,2-4,,
46.462019999999995,4,w4,,
46.462019999999995,5,w4,,
46.9953,1,4-1,rb0,
47.02863,MOT_mc_stage_color_00,r-flash,,
47.02863,MOT_mc_light_under_00,l1,,
47.02863,MOT_mc_light_center_00,l2,,
47.02863,MOT_mc_light_up_00,l2,,
47.261939999999996,2,4-1,,
47.261939999999996,3,4-1,,
47.39526,1,lp1,,
47.52858,4,4-1,,
47.52858,5,4-1,,
47.89521,2,w1,,
47.89521,3,w1,,
47.89521,4,w1,,
47.89521,5,w1,,
48.6618,1,1-2,,
48.6618,2,1-2,,
48.6618,3,1-2,,
48.6618,4,1-2,,
48.6618,5,1-2,,
49.02843,1,2-3,,
49.02843,2,2-3,,
49.02843,3,2-3,,
49.02843,4,2-3,,
49.02843,5,2-3,,
49.39506,2,w3,,
49.39506,3,w3,,
49.39506,4,w3,,
49.39506,5,w3,,
49.39506,1,lp3,,
50.22831,MOT_mc_stage_color_00,r-flash,,
50.22831,1,j3-4,,
50.22831,2,j3-4,,
50.22831,3,j3-4,,
50.22831,4,j3-4,,
50.22831,5,j3-4,,
50.561609999999995,2,w4,,
50.561609999999995,3,w4,,
50.561609999999995,4,w4,,
50.561609999999995,5,w4,,
50.561609999999995,1,lp4,,
51.56151,4,j4-1,,
51.56151,1,j4-1,,
51.728159999999995,2,j4-1,,
51.728159999999995,3,j4-1,,
51.9948,5,j4-1,,
51.9948,1,lp1,,
52.29477,2,w1,,
52.29477,3,w1,,
52.29477,4,w1,,
52.29477,5,w1,,
53.16135,4,1-3,,
53.427989999999994,2,1-3,,
53.46132,MOT_mc_stage_color_00,r-b,,
53.69463,1,1-3,,
53.92794,MOT_mc_stage_color_00,b-flash,,
53.96127,3,1-3,,
53.96127,1,lp3,,
54.227909999999994,5,1-3,,
54.527879999999996,2,w3,,
54.527879999999996,3,w3,,
54.527879999999996,4,w3,,
54.527879999999996,5,w3,,
54.89451,1,,l1,
54.89451,2,,l1,
54.89451,3,,l1,
54.89451,4,,l1,
54.89451,5,,l1,
55.89441,1,3-2,l2,
55.89441,2,,l2,
55.89441,3,,l2,
55.89441,4,,l2,
55.89441,5,,l2,
56.39436,1,lp2,,
56.86098,1,,lb1,
56.86098,2,,lb1,
56.86098,3,,lb1,
56.86098,4,,lb1,
56.86098,5,,lb1,
57.827549999999995,1,,lb0,
57.827549999999995,2,,lb0,
57.827549999999995,3,,lb0,
57.827549999999995,4,,lb0,
