0.03333,MOT_mc_bg_black_00,seat100-0,,
1.0332299999999999,1,1-2,,f1
1.2998699999999999,MOT_mc_stage_color_00,b-flash,,
1.3332,MOT_mc_light_up_00,l1,,
1.3332,MOT_mc_light_center_00,l1,,
1.3332,MOT_speaker_00,temp1,,
1.3332,MOT_mc_light_under_00,l2,,
1.36653,1,lp2,,
1.3998599999999999,MOT_speaker_00,temp4,,
1.3998599999999999,MOT_mc_bg_black_00,b80-65,,
3.83295,1,2-4,,
4.1329199999999995,1,lp4,,
4.86618,1,4-1,,
5.16615,1,lp1,,
6.09939,1,j1-3,,
6.5660099999999995,1,lp3,,
6.83265,2,1-3,,
6.83265,3,1-3,,
7.132619999999999,2,w3,,
7.132619999999999,3,w3,,
7.39926,4,1-3,,
7.39926,5,1-3,,
7.69923,4,w3,,
7.69923,5,w3,,
9.3324,1,3-4,,
9.6657,1,lp4,,
10.83225,1,4-1,r1,
11.16555,1,lp1,,
11.69883,1,1-3,,
12.032129999999999,1,lp3,,
14.23191,1,3-2,rb0,
14.59854,1,lp2,,
17.131619999999998,1,2-4,r1,
17.131619999999998,2,3-4,,
17.131619999999998,3,3-4,,
17.131619999999998,4,3-4,,
17.131619999999998,5,3-4,,
17.564909999999998,1,lp4,,
17.564909999999998,2,w4,,
17.564909999999998,3,w4,,
17.564909999999998,4,w4,,
17.564909999999998,5,w4,,
19.03143,1,4-2,rb0,
19.03143,2,4-2,rb0,
19.03143,3,4-2,rb0,
19.03143,4,4-2,rb0,
19.03143,5,4-2,rb0,
19.3314,1,lp2,,
19.3314,2,w2,,
19.3314,3,w2,,
19.3314,4,w2,,
19.3314,5,w2,,
20.56461,1,j2-1,,
21.09789,1,lp1,,
22.9977,1,1-3,l1,
22.9977,2,2-3,l1,
22.9977,3,2-3,l1,
22.9977,4,2-3,l1,
22.9977,5,2-3,l1,
23.331,1,lp3,,
23.331,2,w3,,
23.331,3,w3,,
23.331,4,w3,,
23.331,5,w3,,
24.664199999999997,1,3-1,lb0,
24.664199999999997,2,3-1,lb0,
24.664199999999997,3,3-1,lb0,
24.664199999999997,4,3-1,lb0,
24.664199999999997,5,3-1,lb0,
24.9975,1,lp1,,
24.9975,2,w1,,
24.9975,3,w1,,
24.9975,4,w1,,
24.9975,5,w1,,
25.664099999999998,1,1-4,,
25.9974,1,lp4,,
26.663999999999998,2,1-2,l1,
26.663999999999998,4,1-2,l1,
27.097289999999997,3,1-2,l1,
27.097289999999997,5,1-2,l1,
27.097289999999997,2,w2,,
27.097289999999997,4,w2,,
27.497249999999998,3,w2,,
27.497249999999998,5,w2,,
28.46382,2,,lb0,
28.46382,3,,lb0,
28.46382,4,,lb0,
28.46382,5,,lb0,
28.46382,1,4-1,,
28.86378,1,lp1,,
29.963669999999997,3,2-1,,
29.963669999999997,5,2-1,,
30.163649999999997,2,2-1,,
30.163649999999997,4,2-1,,
30.563609999999997,1,1-4,r1,
30.563609999999997,2,w1,,
30.563609999999997,3,w1,,
30.563609999999997,4,w1,,
30.563609999999997,5,w1,,
30.930239999999998,1,lp4,,
32.36343,1,4-3,rb0,
32.73006,1,lp3,,
34.729859999999995,1,3-2,l1,
35.02983,1,lp2,,
35.72976,2,1-3,,
35.72976,3,1-3,,
36.06306,2,w3,,
36.06306,3,w3,,
36.26304,4,1-3,,
36.26304,5,1-3,,
36.56301,4,w3,,
36.56301,5,w3,,
37.02963,1,2-3,,
37.36293,1,lp3,,
38.02953,1,3-1,,
38.02953,2,3-1,,
38.02953,3,3-1,,
38.02953,4,3-1,,
38.02953,5,3-1,,
38.42949,1,lp1,,
38.42949,2,w1,,
38.42949,3,w1,,
38.42949,4,w1,,
38.42949,5,w1,,
39.29607,1,1-4,lb0,
39.29607,2,1-4,lb0,
39.29607,3,1-4,lb0,
39.29607,4,1-4,lb0,
39.29607,5,1-4,lb0,
39.6627,1,lp4,,
39.6627,2,w4,,
39.6627,3,w4,,
39.6627,4,w4,,
39.6627,5,w4,,
41.52918,MOT_mc_stage_color_00,y-flash,,
41.52918,MOT_mc_light_up_00,l1,,
41.52918,MOT_mc_light_center_00,l1,,
41.52918,MOT_mc_light_under_00,l3,,
41.562509999999996,1,4-2,,b0
41.562509999999996,2,4-2,l1,
41.562509999999996,3,4-2,r1,
41.562509999999996,4,4-2,l1,
41.562509999999996,5,4-2,r1,
41.82915,MOT_mc_stage_color_00,y-flash,,
41.89581,1,lp2,,
41.89581,2,w2,l2,
41.89581,3,w2,r2,
42.12912,MOT_mc_stage_color_00,y-flash,,
42.12912,4,w2,l2,
42.12912,5,w2,r2,
42.362429999999996,MOT_mc_stage_color_00,y-flash,,
42.395759999999996,2,2-3,,
42.395759999999996,4,2-3,,
42.69573,3,2-3,,
42.69573,5,2-3,,
42.69573,2,w3,,
42.69573,4,w3,,
42.762389999999996,MOT_mc_stage_color_00,y-flash,,
42.9957,3,w3,,
42.9957,5,w3,,
43.76229,1,2-3,l1,
43.76229,2,w2,l3,
43.76229,3,w2,rb1,
43.76229,4,w2,l3,
43.76229,5,w2,rb1,
44.56221,1,w3,lb0,
44.56221,2,,lb2,
44.56221,3,,r2,
44.56221,4,,lb2,
44.56221,5,,r2,
45.76209,1,3-4,r1,
45.76209,2,3-4,lb1,
45.76209,3,3-4,r3,
45.76209,4,3-4,lb1,
45.76209,5,3-4,r3,
46.16205,1,w4,,
46.16205,2,w4,,
46.16205,3,w4,,
46.16205,4,w4,,
46.16205,5,w4,,
47.16195,1,4-2,,
47.52858,1,w2,,
47.728559999999995,2,4-2,,
47.728559999999995,3,4-2,,
48.028529999999996,2,w2,,
48.028529999999996,3,w2,,
48.22851,4,4-2,,
48.22851,5,4-2,,
48.528479999999995,4,w2,,
48.528479999999995,5,w2,,
48.6618,1,sp2-3,,
48.6618,2,sp2-3,,
48.6618,3,sp2-3,,
48.6618,4,sp2-3,,
48.6618,5,sp2-3,,
49.59504,1,3-1,rb0,
49.59504,2,3-1,l2,
49.59504,3,3-1,rb2,
49.59504,4,3-1,l2,
49.59504,5,3-1,rb2,
49.96167,1,w1,,
49.96167,2,w1,,
49.96167,3,w1,,
49.96167,4,w1,,
49.96167,5,w1,,
51.56151,1,j1-4,,
51.56151,2,1-4,lb1,
51.56151,3,1-4,rb1,
51.56151,4,1-4,lb1,
51.56151,5,1-4,rb1,
51.9948,1,lp4,,
51.9948,2,w4,,
51.9948,3,w4,,
51.9948,4,w4,,
51.9948,5,w4,,
52.76139,1,j4-3,,f1
52.76139,2,4-3,lb0,
52.76139,3,4-3,rb0,
52.76139,4,4-3,lb0,
52.76139,5,4-3,rb0,
52.928039999999996,MOT_mc_stage_color_00,b-r,,
52.928039999999996,MOT_mc_bg_black_00,b45-20,,
52.928039999999996,MOT_mc_light_up_00,l2,,
52.928039999999996,MOT_mc_light_center_00,l2,,
52.928039999999996,MOT_mc_light_under_00,l1,,
53.19468,1,lp3,,
53.19468,2,lp3,,
53.19468,3,lp3,,
53.19468,4,lp3,,
53.19468,5,lp3,,
