time,lyrics,size
0.00 ,,
3.617 ,時は来た !,
5.050 ,オタクたちよ ! 今こそ、立ち上がるっス !,
9.967 ,アニメもOK !,
11.283 ,漫画もOK !,
12.70 ,アイドルもOK !,
14.083 ,何でもOK !,
15.35 ,"Ah, オタク is LOVE !",
19.417 ,いくっスよー !,
21.283 ,（オイ ! オイ ! オイ ! オイ ! ）,
24.057 ,（オイ ! オイ ! ジャンジャーン ! ）,
26.55 ,（あーだ ! こーだ ! そーだ ! どーだ ! ）,
29.20 ,（なんでもいいんだ ! ジャンジャーン ! ）,
32.033 ,ウサミン星から、ナナ登場～☆,
34.813,「世界は愛でできている ! 」,
37.10,何かを大切にしたり,
39.80,誰かを好きになったり\n（オイ ! オイ ! ジャンジャーン ! ）,
45.70,オタクはいつも愛でている,
48.20,年中、何かを愛してる,
50.60,つまり「世界はオタクでできている ! 」\n（それは言い過ぎじゃね…？）（そうっスか？）,
56.600,「キュンキュン ! これって、神じゃない？」,
59.333,「いやいや、こっちも、尊くない？」,
61.733,そう、推しを語り出すと止まらない（止められない ! ）,
67.383,「でもでも、これって、変なこと？」,
70.30,「やっぱり、ちょっと、恥ずかしい？」,
72.50,No No !　好きのキモチに上も下もない,
75.567,だから、胸張って言ってみよう !,
79.900,（やってみよう ! ）,
81.10,好きだ ! 好きだ ! 好きだ ! 大好きだ ! （大好きだ ! ）,
86.95,いつも愛が溢れてるだけなのです（はい ! はい ! はい ! はい ! ）,
92.083,オタクですが何か問題でも？（問題ない ! ）,
97.933,もう隠さなくていいよ　胸の鼓動（はい ! はい ! はい ! はい ! ）,
103.217,アニメもOK !,
104.483,漫画もOK !,
105.933,アイドルもOK !,
107.333,何でもOK !,
108.700,"Ah, オタク is LOVE !",
112.65,いくっスよー !,
114.433,（オイ ! オイ ! オイ ! オイ ! ）,
117.05,（オイ ! オイ ! ジャンジャーン ! ）,
119.683,（あーだ ! こーだ ! そーだ ! どーだ ! ）,
122.533,（なんでもいいんだ ! ジャンジャーン ! ）,
125.333,ふぅ…オタ活は、終わらないっス,
129.667,,
