time,lyrics,size
0,,
9.03,今日もお天気だ　私のためだけ地球はグルグル回ります,
12.11,よっこらわっしょい　勉強なんてね　見て見ぬ行為が得意です,
15.15,それより海とか行きたいサマーだ !　愛愛愛して I want you,
18.18,恋してココイチ　感じて灼熱　ラブミーテンダーかき氷,
21.23,あっけらかん（そうとも言う）,
22.73,天才とは（紙一重）,
24.28,海行きたい !（だがしかし）,
25.77,日焼けは恐ろしや..,
32.00,かっとばせ夏が来た　期待のルーキー　夏休み？!,
37.87,恋い焦がれたら　全力アピール,
44.15,何様？　おつかれサマー,
47.17,カッコつけない魅惑のラブストーリー　ダーリン I love you♡,
57.06,酸いも甘いもかぎ分けず　甘いだけです青二才,
64.11,それよいよい　あれよいよい　天の川　カラの頭,
77.52,かっとばせ夏が来た　期待のルーキー　夏休み？!,
83.38,恋い焦がれたら　全力アピール,
89.67,何様？　おつかれサマー,
92.70,カッコつけない魅惑のラブストーリー　ダーリン I love you♡（ホアホア）,
101.81,そろそろこの曲終わりになるから　空前絶後のよろしくね,
104.84,おセンチメンタル　鋼（はがね）のメンタル　それでも明日は筋肉痛,
107.89,順風満帆（じゅんぷうまんぱん） 貫いていくわ　私をしっかり信じてね,
110.91,世界で一番　こんなに楽しい夏の1日をありがとね,
113.97,おつかれサマー,
122.87,,
