time,lyrics,size
0,,
33.983,昨日　交わしたあの言葉を　考えてる,
41.283,不意に　立ち上がるこの思い,
46.617,\n今まで自分が気付かない　うちに,
52.0717,（いつからかな　期待する事背を向けてたかな）\n今まで自分が気付かない　うちに,
54.8682,（いつからかな　期待する事背を向けてたかな）\nずっと　気持ちを閉じ込め抑えてた,
55.8017,\nずっと　気持ちを閉じ込め抑えてた,
59.2392,（飛び込まなきゃ分からない事沢山あるよね）\nずっと　気持ちを閉じ込め抑えてた,
62.867,ゆっくり焦らず心の声を聞こう,
69.7749,自分のペースで走り出す　大事なもの大切にして,
76.517,信じてる　この道を行こう,
80.567,やりたい事を　まっすぐ前に進もう,
87.8236,,
98.7376,一緒の未来を創りたい　素直な自分でいたい,
105.283,そうだ !　大事な気持ち伝えて,
109.333,これから沢山　楽しい時間を過ごそう　ずっと,
116.983,"Keep driving on my way, fu-",
130.263158,,
