0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.03333,6,sort,-500,
0.03333,8,sort,-500,
2.4997499999999997,1,1-2,,
2.4997499999999997,2,1-2,,
2.4997499999999997,3,1-2,,
2.4997499999999997,4,1-2,,
2.4997499999999997,5,1-2,,
2.4997499999999997,6,1-2,,
2.4997499999999997,7,1-2,,
2.4997499999999997,8,1-2,,
2.4997499999999997,9,1-2,,
2.86638,1,lp2,,
2.86638,2,lp2,,
2.86638,3,lp2,,
2.86638,4,lp2,,
2.86638,5,lp2,,
2.86638,6,lp2,,
2.86638,7,lp2,,
2.86638,8,lp2,,
2.86638,9,lp2,,
4.83285,1,2-3,,
5.16615,1,w3,,
5.3994599999999995,2,2-3,,
5.3994599999999995,3,2-3,,
5.73276,2,w3,,
5.73276,3,w3,,
5.966069999999999,4,2-3,,
5.966069999999999,5,2-3,,
6.266039999999999,4,w3,,
6.266039999999999,5,w3,,
6.49935,1,3-4,,
6.49935,2,3-4,,
6.49935,3,3-4,,
6.49935,4,3-4,,
6.49935,5,3-4,,
6.49935,6,3-4,,
6.49935,7,3-4,,
6.49935,8,3-4,,
6.49935,9,3-4,,
6.49935,6,2-4,,
6.49935,7,2-4,,
6.49935,8,2-4,,
6.49935,9,2-4,,
6.8659799999999995,1,lp4,,
6.8659799999999995,2,lp4,,
6.8659799999999995,3,lp4,,
6.8659799999999995,4,lp4,,
6.8659799999999995,5,lp4,,
6.8659799999999995,6,lp4,,
6.8659799999999995,7,lp4,,
6.8659799999999995,8,lp4,,
6.8659799999999995,9,lp4,,
8.53248,1,j4-3,,
8.53248,2,j4-3,,
8.53248,3,j4-3,,
8.53248,4,j4-3,,
8.53248,5,j4-3,,
8.53248,6,j4-3,,
8.53248,7,j4-3,,
8.53248,8,j4-3,,
8.53248,9,j4-3,,
8.89911,1,lp3,,
8.89911,2,lp3,,
8.89911,3,lp3,,
8.89911,4,lp3,,
8.89911,5,lp3,,
8.89911,6,lp3,,
8.89911,7,lp3,,
8.89911,8,lp3,,
8.89911,9,lp3,,
9.96567,1,3-4,,
9.96567,2,3-4,,
9.96567,3,3-4,,
9.96567,4,3-4,,
9.96567,5,3-4,,
9.96567,6,3-4,,
9.96567,7,3-4,,
9.96567,8,3-4,,
9.96567,9,3-4,,
10.3323,1,lp4,,
10.3323,2,lp4,,
10.3323,3,lp4,,
10.3323,4,lp4,,
10.3323,5,lp4,,
10.3323,6,lp4,,
10.3323,7,lp4,,
10.3323,8,lp4,,
10.3323,9,lp4,,
10.76559,1,j4-2,,
10.76559,2,j4-2,,
10.76559,3,j4-2,,
10.76559,4,j4-2,,
10.76559,5,j4-2,,
10.76559,6,j4-2,,
10.76559,7,j4-2,,
10.76559,8,j4-2,,
10.76559,9,j4-2,,
11.49885,1,2-1,,
11.49885,2,2-1,,
11.49885,3,2-1,,
11.49885,4,2-1,,
11.49885,5,2-1,,
11.49885,6,2-1,,
11.49885,7,2-1,,
11.49885,8,2-1,,
11.49885,9,2-1,,
11.86548,1,lp1,,
11.86548,2,lp1,,
11.86548,3,lp1,,
11.86548,4,lp1,,
11.86548,5,lp1,,
11.86548,6,lp1,,
11.86548,7,lp1,,
11.86548,8,lp1,,
11.86548,9,lp1,,
12.432089999999999,4,1-2,,
12.432089999999999,5,1-2,,
12.432089999999999,8,1-2,,
12.432089999999999,9,1-2,,
12.79872,2,1-2,,
12.79872,3,1-2,,
12.79872,6,1-2,,
12.79872,7,1-2,,
13.19868,1,1-2,,
13.531979999999999,1,2-3,,
13.531979999999999,2,2-3,,
13.531979999999999,3,2-3,,
13.531979999999999,4,2-3,,
13.531979999999999,5,2-3,,
13.865279999999998,1,j3-4,,
13.865279999999998,2,j3-4,,
13.865279999999998,3,j3-4,,
13.865279999999998,4,j3-4,,
13.865279999999998,5,j3-4,,
13.865279999999998,6,j2-4,,
13.865279999999998,7,j2-4,,
13.865279999999998,8,j2-4,,
13.865279999999998,9,j2-4,,
14.59854,1,4-1,l1,
14.59854,2,4-1,l1,
14.59854,3,4-1,l1,
14.59854,4,4-1,l1,
14.59854,5,4-1,l1,
14.59854,6,4-1,l1,
14.59854,7,4-1,l1,
14.59854,8,4-1,l1,
14.59854,9,4-1,l1,
15.09849,1,1-2,lb0,
15.09849,2,1-2,lb0,
15.09849,3,1-2,lb0,
15.09849,4,1-2,lb0,
15.09849,5,1-2,lb0,
15.09849,6,1-2,lb0,
15.09849,7,1-2,lb0,
15.09849,8,1-2,lb0,
15.09849,9,1-2,lb0,
15.59844,1,2-3,r1,
15.59844,2,2-3,r1,
15.59844,3,2-3,r1,
15.59844,4,2-3,r1,
15.59844,5,2-3,r1,
15.59844,6,2-3,r1,
15.59844,7,2-3,r1,
15.59844,8,2-3,r1,
15.59844,9,2-3,r1,
16.09839,1,3-4,rb0,
16.09839,2,3-4,rb0,
16.09839,3,3-4,rb0,
16.09839,4,3-4,rb0,
16.09839,5,3-4,rb0,
16.09839,6,3-4,rb0,
16.09839,7,3-4,rb0,
16.09839,8,3-4,rb0,
16.09839,9,3-4,rb0,
16.665,1,4-1,,
16.665,2,4-1,,
16.665,3,4-1,,
16.665,4,4-1,,
16.665,5,4-1,,
16.665,6,4-1,,
16.665,7,4-1,,
16.665,8,4-1,,
16.665,9,4-1,,
17.09829,1,lp1,,
17.09829,2,lp1,,
17.09829,3,lp1,,
17.09829,4,lp1,,
17.09829,5,lp1,,
