time,lyrics,size
0.00 ,,
24.59 ,星空見上げ　私だけのヒカリ教えて,
34.18 ,あなたはいまどこで　誰といるのでしょう？,
43.78 ,楽しくしてるコト思うと　さみしくなって,
53.37 ,一緒に観たシネマひとりきりで流す,
61.77 ,大好きなひとが遠い,
66.59 ,遠すぎて泣きたくなるの,
71.38 ,あした目が覚めたら,
75.25 ,ほら希望が生まれるかも Good night!,
80.96 ,大好きなひとが遠い,
85.79 ,遠すぎて泣きたくなるの,
90.57 ,きっと目が覚めても,
94.49 ,まだ幻を感じたい Morning,
100.77 ,I still I still I love you!,
102.88 ,I'm waiting waiting forever,
105.56 ,I still I still I love you!,
107.68 ,とまらないのよ, 
110.37 ,I still I still I love you!,
112.49 ,I'm waiting waiting forever,
115.16 ,I still I still I love you!,
117.27 ,また逢えるよね？　ね!!,
122.08 ,,
