time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,0,,
0,,1,,BUS_0007,0,0,,
0,,2,,MasterOut,0,0,,
0,,2,,BUS_0007,0,0,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,,4,,MasterOut,0,0,,
0,,4,,BUS_0007,0,0,,
0,,5,,MasterOut,0,0,,
0,,5,,BUS_0007,0,0,,
0,1,1,1,,,,0,0.78
0,2,2,1,,,,0,0.78
0,3,3,1,,,,0,0.78
0,4,4,1,,,,-18,0.28
0,5,5,1,,,,18,0.28
18.287,,3,,MasterOut,0.05,0,,
18.287,,3,,BUS_0007,0.2,0,,
18.644,,2,,MasterOut,0,1,,
18.644,,2,,BUS_0007,0,0.1,,
30.512,,2,,MasterOut,0.05,0,,
30.512,,2,,BUS_0007,0.2,0,,
31.032,,1,,MasterOut,0,1,,
31.032,,1,,BUS_0007,0,0.1,,
45.911,,2,,MasterOut,0,1,,
45.911,,2,,BUS_0007,0,0.1,,
45.911,,3,,MasterOut,0,1,,
45.911,,3,,BUS_0007,0,0.1,,
45.911,,4,,MasterOut,0,1,,
45.911,,4,,BUS_0007,0,0.1,,
45.911,,5,,MasterOut,0,1,,
45.911,,5,,BUS_0007,0,0.1,,
45.911,1,1,1,,,,0,0.51
45.911,2,2,1,,,,-9,0.36
45.911,3,3,1,,,,9,0.36
52.584,,1,,MasterOut,0.05,0,,
52.584,,1,,BUS_0007,0.2,0,,
52.584,,2,,MasterOut,0.05,0,,
52.584,,2,,BUS_0007,0.2,0,,
52.584,,3,,MasterOut,0.05,0,,
52.584,,3,,BUS_0007,0.2,0,,
52.584,,4,,MasterOut,0.05,0,,
52.584,,4,,BUS_0007,0.2,0,,
52.584,,5,,MasterOut,0.05,0,,
52.584,,5,,BUS_0007,0.2,0,,
52.877,,4,,MasterOut,0,1,,
52.877,,4,,BUS_0007,0,0.1,,
52.877,4,4,,,,,0,0.78
58.79,,4,,MasterOut,0.05,0,,
58.79,,4,,BUS_0007,0.2,0,,
59.152,,1,,MasterOut,0,1,,
59.152,,1,,BUS_0007,0,0.1,,
59.152,,2,,MasterOut,0,1,,
59.152,,2,,BUS_0007,0,0.1,,
