time,lyrics,size
0.00 ,,
4.183,LA LA LA LA LA LA LA LA LN LA,
13.733,,
16.900,形あるもの,
19.817,命あるもの,
22.733,いつか終わる日が来る,
28.567,だけど貴方と,
31.450,育てた夢は,
34.367,永遠に生き続ける,
40.183,メロディに乗せて　誰かの心へ,
46.000,伝われば、また新しい花が咲く,
50.733,Shine forever,
51.817,Shine forever,
52.900,Ah Ah,
53.683,Shine forever,
54.733,Shine forever Ah Ah,
57.133,変わらない愛を,
60.050,伝えたいもっと　Shine forever,
63.450,Shine forever,
64.550,Ah Ah,
65.317,Shine forever,
66.417,Shine forever Ah Ah,
68.733,この気持ちはずっと,
72.417,Athanasia,
82.000,,
85.633,LA LA LA LA LA LA LA LA LA LA,
95.500,,
97.317,Shine forever,
98.367,Shine forever,
99.450,Ah Ah,
100.183,Shine forever,
101.267,Shine forever Ah Ah,
103.633,育んだ愛を,
106.550,残したいもっと　Shine forever,
110.000,Shine forever,
111.133,Ah Ah,
111.867,Shine forever,
112.900,Shine forever Ah Ah,
115.317,この気持ちはずっと,
118.950,Athanasia,
126.500,,
