time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,1,1,1,,,,0,0.81
0,2,2,1,,,,0,0
0,3,3,1,,,,0,0
26.037,,1,,MasterOut,0.05,0,,
26.037,,1,,BUS_0007,0.2,0,,
28.301,,2,,MasterOut,0,1,,
28.301,,2,,BUS_0007,0,0.1,,
28.301,2,2,,,,,0,0.81
34.586,,1,,MasterOut,0,1,,
34.586,,1,,BUS_0007,0,0.1,,
34.586,,3,,MasterOut,0,1,,
34.586,,3,,BUS_0007,0,0.1,,
34.586,1,1,,,,,0,0.55
34.586,2,2,,,,,-18,0.41
34.586,3,3,,,,,18,0.41
37.749,,1,,MasterOut,0.05,0,,
37.749,,1,,BUS_0007,0.2,0,,
37.749,,2,,MasterOut,0.05,0,,
37.749,,2,,BUS_0007,0.2,0,,
37.749,,3,,MasterOut,0.05,0,,
37.749,,3,,BUS_0007,0.2,0,,
38.382,,3,,MasterOut,0,1,,
38.382,,3,,BUS_0007,0,0.1,,
38.382,3,3,,,,,0,0.81
44.15,,3,,MasterOut,0.05,0,,
44.15,,3,,BUS_0007,0.2,0,,
44.585,,1,,MasterOut,0,1,,
44.585,,1,,BUS_0007,0,0.1,,
44.585,1,1,,,,,0,0.81
48.348,,1,,MasterOut,0.05,0,,
48.348,,1,,BUS_0007,0.2,0,,
48.624,,2,,MasterOut,0,1,,
48.624,,2,,BUS_0007,0,0.1,,
48.624,,3,,MasterOut,0,1,,
48.624,,3,,BUS_0007,0,0.1,,
48.624,2,2,,,,,-18,0.56
48.624,3,3,,,,,18,0.56
51.995,,1,,MasterOut,0,1,,
51.995,,1,,BUS_0007,0,0.1,,
51.995,1,1,,,,,0,0.55
51.995,2,2,,,,,-18,0.41
51.995,3,3,,,,,18,0.41
61.975,,1,,MasterOut,0.05,0,,
61.975,,1,,BUS_0007,0.2,0,,
61.975,,2,,MasterOut,0.05,0,,
61.975,,2,,BUS_0007,0.2,0,,
61.975,,3,,MasterOut,0.05,0,,
61.975,,3,,BUS_0007,0.2,0,,
62.175,,2,,MasterOut,0,1,,
62.175,,2,,BUS_0007,0,0.1,,
62.175,2,2,,,,,0,0.81
66.682,,1,,MasterOut,0,1,,
66.682,,1,,BUS_0007,0,0.1,,
66.682,,3,,MasterOut,0,1,,
66.682,,3,,BUS_0007,0,0.1,,
66.682,1,1,,,,,0,0.55
66.682,2,2,,,,,-18,0.41
66.682,3,3,,,,,18,0.41
71.031,,1,,MasterOut,0.05,0,,
71.031,,1,,BUS_0007,0.2,0,,
71.031,,2,,MasterOut,0.05,0,,
71.031,,2,,BUS_0007,0.2,0,,
71.031,,3,,MasterOut,0.05,0,,
71.031,,3,,BUS_0007,0.2,0,,
71.288,,3,,MasterOut,0,1,,
71.288,,3,,BUS_0007,0,0.1,,
71.288,3,3,,,,,0,0.81
75.755,,1,,MasterOut,0,1,,
75.755,,1,,BUS_0007,0,0.1,,
75.755,,2,,MasterOut,0,1,,
75.755,,2,,BUS_0007,0,0.1,,
75.755,1,1,,,,,0,0.55
75.755,2,2,,,,,-18,0.41
75.755,3,3,,,,,18,0.41
83.49,,1,,MasterOut,0.05,0,,
83.49,,1,,BUS_0007,0.2,0,,
83.49,,2,,MasterOut,0.05,0,,
83.49,,2,,BUS_0007,0.2,0,,
83.49,,3,,MasterOut,0.05,0,,
83.49,,3,,BUS_0007,0.2,0,,
84.339,,1,,MasterOut,0,1,,
84.339,,1,,BUS_0007,0,0.1,,
84.339,1,1,,,,,0,0.81
89.34,,2,,MasterOut,0,1,,
89.34,,2,,BUS_0007,0,0.1,,
89.34,,3,,MasterOut,0,1,,
89.34,,3,,BUS_0007,0,0.1,,
89.34,1,1,,,,,0,0.55
89.34,2,2,,,,,-18,0.41
89.34,3,3,,,,,18,0.41
