time,lyrics,size
0.00 ,,
18.740 ,明日になれば世界は変わる,
22.833 ,わくわくとまらないな,
24.40 ,キラキラなフライト,
26.95 ,「まもなく未来です」,
28.45 ,チケットが呼んでる,
31.033 ,準備しなきゃ　ね,
32.583 ,照らしてリングライト,
34.70 ,それじゃパッキングはじめ !（いえー）,
36.983 ,ピカピカでマイカラーのスーツケース,
39.433 ,つまり自分専用（やったー）,
40.95 ,かなりお気に入りでーす,
43.25 ,東京だし負けられないし,
45.55 ,まーけっこう顔可愛いし？（へへー）,
47.150 ,思いっきり肩出しワンピ,
49.04 ,ママウケ賛否？　でも着たい !\n（もってきまーす）,
52.05 ,あれもこれもって　つめこんで,
56.15,もうちょっとで　はじけそうで,
60.00,たったひとりの特別な女の子が,
67.517,行くよ !,
68.500,キラキラの世界のワタシ,
72.790,今すぐ追いついてあげる,
76.05,一番キラキラしたワタシ,
80.916,好きになってね,
84.333,期待しかない　今のワタシ,
87.68,パッキング,
89.400,あえて空けた,
91.300,からっぽのかたすみ,
93.483,お土産を入れるんだ,
96.35,絶対　あげるね　笑って,
99.500,月曜日に会えるから,
104.850,あのね,
105.885,キラキラの世界のワタシ,
110.033,ホントは未発見　だけど,
113.633,ねぇ　約束するよ,
117.000,見つけるよ　見せてあげるよ,
121.650,あの子も好きな　今のワタシ,
124.967,パッキング,
128.243,,
