0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
3.09969,1,1-2,,
3.09969,2,1-2,,
3.09969,3,1-2,,
3.53298,1,w2,,
3.53298,2,w2,,
3.53298,3,w2,,
5.3994599999999995,2,2-3,,
5.56611,1,2-3,,
5.6994299999999996,3,2-3,,
5.79942,2,w3,,
5.93274,1,w3,,
6.09939,1,sj3,,
6.09939,2,sj3,,
6.09939,3,sj3,,
6.466019999999999,1,sj3,,
6.466019999999999,2,sj3,,
6.466019999999999,3,sj3,,
6.83265,1,lp3,,
6.83265,2,lp3,,
6.83265,3,lp3,,
9.06576,1,3-4,,
9.19908,2,3-4,l1,
9.36573,3,3-4,r1,
9.43239,1,w4,,
9.599039999999999,2,w4,,
9.73236,3,w4,,
9.86568,1,sj4,,
10.06566,2,sj4,,
10.26564,3,sj4,,
10.53228,1,lp4,,
10.53228,2,lp4,,
10.53228,3,lp4,,
12.532079999999999,1,4-2,,
12.532079999999999,2,4-2,l2,
12.532079999999999,3,4-2,r2,
12.932039999999999,1,2-4,,
12.932039999999999,2,2-4,,
12.932039999999999,3,2-4,,
13.331999999999999,1,4-2,,
13.331999999999999,2,4-2,,
13.331999999999999,3,4-2,,
13.76529,1,hj2,,
13.76529,2,hj2,,
13.76529,3,hj2,,
14.565209999999999,1,2-1,,
14.565209999999999,2,2-1,,
14.565209999999999,3,2-1,,
15.065159999999999,1,lp1,,
15.065159999999999,2,lp1,,
15.065159999999999,3,lp1,,
16.09839,1,1-3,,
16.09839,2,1-3,lb1,
16.09839,3,1-3,rb1,
16.39836,2,,lb0,
16.39836,3,,rb0,
16.39836,1,lp3,,
16.39836,2,lp3,,
16.39836,3,lp3,,
18.69813,2,3-3,,
18.69813,1,3-1,,f1
18.69813,3,3-3,,
19.03143,2,w3,,
19.03143,3,w3,,
19.06476,1,lp1,,
19.69803,1,1-4,,
20.06466,1,lp4,,
21.46452,1,4-3,,
21.89781,1,j3-1,,
22.36443,1,1-2,,
22.797719999999998,1,lp2,,
