0.03333,MOT_mc_bg_black_00,seat100-0,,
0.16665,MOT_mc_bg_black_00,b80-65,,
3.29967,1,1-3,,
3.29967,2,1-3,,
3.29967,3,1-3,,
3.29967,4,1-3,,
3.29967,5,1-3,,
3.3329999999999997,MOT_mc_light_center_00,l1,,
3.3329999999999997,MOT_mc_bg_black_00,b65-45,,
3.5663099999999996,MOT_mc_light_under_00,l2,,
3.5663099999999996,MOT_mc_speaker_00,temp4,,
3.6662999999999997,1,3-2,,
3.6662999999999997,2,3-2,,
3.6662999999999997,3,3-2,,
3.6662999999999997,4,3-2,,
3.6662999999999997,5,3-2,,
4.06626,1,sj2,,
4.06626,2,sj2,,
4.06626,3,sj2,,
4.06626,4,sj2,,
4.06626,5,sj2,,
4.4328899999999996,1,lp2,,
4.4328899999999996,2,lp2,,
4.4328899999999996,3,lp2,,
4.4328899999999996,4,lp2,,
4.4328899999999996,5,lp2,,
6.53268,1,2-4,,
6.53268,2,2-4,,
6.53268,3,2-4,,
6.53268,4,2-4,,
6.53268,5,2-4,,
6.89931,1,sj4,,
6.89931,2,sj4,,
6.89931,3,sj4,,
6.89931,4,sj4,,
6.89931,5,sj4,,
7.26594,1,lp4,,
7.26594,2,lp4,,
7.26594,3,lp4,,
7.26594,4,lp4,,
7.26594,5,lp4,,
10.53228,1,j4-3,,
10.53228,2,j4-3,,
10.53228,3,j4-3,,
10.53228,4,j4-3,,
10.53228,5,j4-3,,
10.698929999999999,MOT_mc_bg_black_00,b45-20,,
10.83225,MOT_mc_light_center_00,l3,,
10.83225,MOT_mc_light_up_00,l4,,
10.83225,MOT_mc_light_under_00,l1,,
10.898909999999999,MOT_mc_stage_color_00,b-flash,,
10.96557,1,sj3,,
10.96557,2,sj3,,
10.96557,3,sj3,,
10.96557,4,sj3,,
10.96557,5,sj3,,
11.3322,1,3-1,,f1
11.3322,2,w3,,b-1
11.3322,3,w3,,b-1
11.3322,4,w3,,b-1
11.3322,5,w3,,b-1
11.73216,1,lp1,,
11.73216,2,lp3,,
11.73216,3,lp3,,
11.73216,4,lp3,,
11.73216,5,lp3,,
12.36543,1,1-2,,
12.36543,2,3-1,,
12.36543,3,3-1,,
12.36543,4,3-1,,
12.36543,5,3-1,,
12.76539,1,lp2,,
12.76539,2,lp1,,
12.76539,3,lp1,,
12.76539,4,lp1,,
12.76539,5,lp1,,
13.16535,1,2-1,,
13.16535,2,1-3,,
13.16535,3,1-3,,
13.16535,4,1-3,,
13.16535,5,1-3,,
13.56531,2,w3,,
13.56531,3,w3,,
13.56531,4,w3,,
13.56531,5,w3,,
13.56531,1,w1,,
13.9986,MOT_mc_stage_color_00,b-flash,,
14.03193,1,1-4,,
14.465219999999999,1,4-3,,
14.89851,1,3-2,,
15.39846,1,j2-4,,
15.39846,2,j2-4,,
15.39846,3,j2-4,,
15.39846,4,j2-4,,
15.39846,5,j2-4,,
15.39846,2,3-4,,
15.39846,3,3-4,,
15.39846,4,3-4,,
15.39846,5,3-4,,
15.79842,1,j4-2,,
