time,lyrics,size
0.00 ,,
13.667 ,Make some noise!  Yeah!,
18.333 ,,
30.067 ,逆さまを　選んだ影が駆ける,
35.967 ,悪くないさ　危険は承知でNaughty,
41.783 ,強行突破 We got 儚い美学,
45.833 ,リアルにさあ　果たせKick back,
48.867 ,Bigger badass 鳴らす警告,
51.983 ,自覚ならしてんだGood luck,
55.250 ,"Keeping the beat, She is up to mischief",
57.517 ,Like an evil one 爆破まで３・２・１ Boom!,
61.400 ,意地と矜持に　信じる己持ち,
64.483 ,此処に集まれ,
66.500 ,誰もがそう　不可侵なZone,
69.667 ,仕掛けは多重奏ゲーム　王様だあれ？,
73.717 ,Shock 研ぎ澄ませ,
75.833 ,危うしに逃走本能 Turn around and runaway,
79.867 ,Smash 糧となるか　意味はあるか,
83.333 ,御託は放っといてTake off,
86.017 ,Crash 何を尽くし　何を背負い,
89.300 ,限りない道を行く,
95.533 ,,
107.000,All I want!  Sick!,
111.750,Freak out!  Rock out!,
120.700,,
