time,lyrics,size
0.00 ,,
1.97 ,きっと毎日が新しい !,
5.38 ,どんな明日も　Brand New Page,
8.30 ,好きなストーリー　めくってはじめよう,
19.92 ,,
25.31 ,みんなが持っているよ　自分のストーリー,
30.96 ,憧れのセリフを 「　」に入れてみよう,
36.53 ,失敗は成功の伏線になるから,
42.28 ,アクティブなルートが　ドラマを作るよ,
47.89 ,準備はパパっとね,
50.72 ,フライングありじゃない？,
53.82 ,前のめりの姿勢,
56.14 ,さぁ位置について,
61.44 ,どんどん行こう !,
64.11 ,はじめの1歩で　ジャンプしちゃえ,
67.47 ,飛び出したなら　Brand New Stage,
70.46 ,Swingしたら1・2・3で　胸も弾む,
75.391,きっと毎日が新しい !,
78.758,どんな明日も　Brand New Page,
81.753,昇る太陽　スタートの合図,
87.453,スターダッシュ☆彡　前ススメ,
93.154,,
100.794,きっと毎日が新しい !,
104.195,どんな明日も　Brand New Page,
107.121,なんでもできる　真っ白なミライだから,
113.077,大きな夢を　カラフルに描くよ,
118.534,スターダッシュ☆彡　前ススメ,
122.609,,
