time,lyrics,size
0,,
4.444444,あとどれくらい会ったら　ふたり Lovey-Dovey？,
11.817,実は好きなのに Cry 微笑みで隠した…,
21.111,,
34.583,そろそろスリルへナビしてよ\nほっとする凪からエスケープ,
43.367,足首で踊る金のアンクレット\n目ざとい視線を待ちながら乱反射,
52.283,愛情が友情追い越したこと\n世界一の秘密　でも気づかれたい,
61.250,掟破りなの？　アダムとイブ\n悲劇じゃない New Story 進みましょう,
69.033,いつか Babe Please be my Babe & Never end,
75.417,星よ、願いを乗せて回れ,
78.933,,
79.900,あとどれくらい想えば　ふたり Lovey-Dovey？,
87.483,こんな好きなのに Why 近すぎてなんだかな\nうぅん…もう ! 照れくさいけれど,
99.800,プロローグなら　疾うに過ぎた季節,
107.789841,次の展開は　ねえ、Wonder Love Story 期待させて,
121.50,,
