id,sec,type,startPos,finishPos,status,sync,groupId,visible,size,distance
1,0,100,0,0,803,0,0,0,,
2,0,91,,,,0,0,,,0
3,0,93,,,100,0,0,,,
4,0.337079,93,,,50,0,0,,,
5,2.41573,9,2,3,1,0,40,-80,30,1.376404
6,2.41573,9,2,3,1,0,41,-80,30,1.376404
7,2.422753,9,2,1,1,0,39,-80,30,1.379916
8,2.422753,9,2,1,1,0,42,-80,30,1.379916
9,2.696629,1,2,2,0,0,0,,,1.516854
10,2.752809,9,2,3,1,0,42,-80,30,1.544944
11,2.752809,9,2,3,1,0,43,-80,30,1.544944
12,2.759831,9,2,1,1,0,41,-80,30,1.548455
13,2.759831,9,2,1,1,0,43,-80,30,1.548455
14,2.970506,9,2,2,1,0,39,-80,30,1.653792
15,2.970506,9,2,2,1,0,40,-80,30,1.653792
16,3.117978,9,3,2,1,0,75,,10,1.727528
17,3.595506,9,4,5,1,0,76,-80,30,1.966292
18,3.595506,9,4,5,1,0,77,-80,30,1.966292
19,3.602528,9,4,3,1,0,78,-80,30,1.969803
20,3.602528,9,4,3,1,0,79,-80,30,1.969803
21,3.876404,1,4,4,0,0,0,,,2.106742
22,3.932584,9,4,5,1,0,79,-80,30,2.134831
23,3.932584,9,4,5,1,0,80,-80,30,2.134831
24,3.939607,9,4,3,1,0,77,-80,30,2.138343
25,3.939607,9,4,3,1,0,80,-80,30,2.138343
26,4.150281,9,4,4,1,0,78,-80,30,2.24368
27,4.150281,9,4,4,1,0,76,-80,30,2.24368
28,4.297753,9,3,4,1,0,81,,10,2.317416
29,5.11236,9,3,4,1,0,82,-80,30,2.724719
30,5.11236,9,3,4,1,0,83,-80,30,2.724719
31,5.119382,9,3,2,1,0,84,-80,30,2.72823
32,5.119382,9,3,2,1,0,85,-80,30,2.72823
33,5.393258,1,3,3,0,0,0,,,2.865169
34,5.449438,9,3,4,1,0,85,-80,30,2.893258
35,5.449438,9,3,4,1,0,86,-80,30,2.893258
36,5.456461,9,3,2,1,0,83,-80,30,2.89677
37,5.456461,9,3,2,1,0,86,-80,30,2.89677
38,5.667135,9,3,3,1,0,84,-80,30,3.002107
39,5.667135,9,3,3,1,0,82,-80,30,3.002107
