0.03333,MOT_mc_bg_black_00,b65,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.06666,MOT_all,remix_cut1,,
3.4329899999999998,MOT_mc_stage_color_00,b-flash,,
3.4329899999999998,MOT_mc_bg_black_00,b65-45,,
3.4329899999999998,1,j1-2,,,
3.4329899999999998,2,j1-2,,,
3.4329899999999998,3,j1-2,,,
3.4329899999999998,4,j1-2,,,
3.4329899999999998,1,,,,L40
3.4329899999999998,2,,,,L40
3.4329899999999998,3,,,,L40
3.4329899999999998,4,,,,L40
3.8662799999999997,1,2-3,,,
3.8662799999999997,2,2-3,,,
3.8662799999999997,3,2-3,,,
3.8662799999999997,4,2-3,,,
4.49955,1,j3-4,,,
4.49955,2,j3-4,,,
4.76619,3,j3-4,,,
4.76619,4,j3-4,,,
5.13282,1,sp4-1,,,
5.13282,2,sp4-1,,,
5.4994499999999995,3,sp4-1,,,
5.4994499999999995,4,sp4-1,,,
5.89941,4,j1-2,,,
6.066059999999999,2,j1-2,,,
6.266039999999999,1,j1-2,,,
6.466019999999999,3,j1-2,,,
6.83265,1,2-3,,,
6.83265,2,2-3,,,
6.83265,3,2-3,,,
6.83265,4,2-3,,,
6.932639999999999,MOT_mc_stage_color_00,b-flash,,
7.332599999999999,3,j3-4,,,
7.332599999999999,4,j3-4,,,
7.46592,1,j3-4,,,
7.46592,2,j3-4,,,
7.96587,1,4-1,,,
7.96587,4,4-1,,,
8.29917,2,4-1,,,
8.29917,3,4-1,,,
8.63247,3,j1-2,,,
8.765789999999999,1,j1-2,,,
8.765789999999999,2,j1-2,,,
8.89911,4,j1-2,,,
9.23241,1,2-3,,,
9.23241,2,2-3,,,
9.23241,3,2-3,,,
9.23241,4,2-3,,,
9.599039999999999,1,3-4,,,
9.599039999999999,2,3-4,,,
9.899009999999999,1,4-1,,,
9.899009999999999,2,4-1,,,
9.899009999999999,3,j3-4,,,
9.899009999999999,4,j3-4,,,
10.36563,1,1-2,r1,,
10.36563,2,1-2,l1,,
10.36563,3,4-1,r1,,
10.36563,4,4-1,l1,,
10.46562,MOT_mc_stage_color_00,b-flash,,
10.73226,1,2-3,,,
10.73226,2,2-3,,,
10.73226,3,1-2,,,
10.73226,4,1-2,,,
11.03223,1,lp3,,,
11.03223,2,lp3,,,
11.03223,3,lp2,,,
11.03223,4,lp2,,,
11.43219,1,j3-4,,,
11.43219,2,j3-4,,,
11.79882,3,j2-3,,,
11.79882,4,j2-3,,,
12.16545,1,4-1,,,
12.16545,2,4-1,,,
12.46542,3,3-4,,,
12.46542,4,3-4,,,
13.032029999999999,2,j1-2,,,
13.09869,1,w1,,,
13.16535,3,j4-1,,,
13.29867,1,j1-2,,,
13.39866,4,w4,,,
13.431989999999999,4,j4-1,,,
13.965269999999999,1,,rb0,,
13.965269999999999,2,,lb0,,
13.965269999999999,3,,rb0,,
13.965269999999999,4,,lb0,,
14.065259999999999,MOT_mc_stage_color_00,b-flash,,
14.09859,2,w2,,,
14.23191,3,w1,,,
14.365229999999999,1,w2,,,
14.39856,1,2-3,,,
14.39856,2,2-3,,,
14.39856,3,1-2,,,
14.39856,4,1-2,,,
14.89851,1,sp3-4,,,
14.89851,2,sp3-4,,,
14.89851,3,sp2-3,,,
14.89851,4,sp2-3,,,
15.63177,MOT_mc_stage_color_00,r-flash,,
15.63177,3,j3-4,,,
15.79842,1,j4-1,,,
15.965069999999999,2,j4-1,,,
16.131719999999998,4,j3-4,,,
16.36503,1,1-2,,,
16.36503,2,1-2,,,
16.39836,MOT_mc_stage_color_00,b-flash,,
16.63167,3,sp4-1,,,
