time,lyrics,size
0,,
2.35,助けて　助けて　と　誰かが　呼んでる,
12.333,霧深い森の中　館の奥から　悲しげな声で,
26,（助けて……助けて……）,
28.867,「私を呼ぶのは……誰？」,
32.35,「ようこそ、私はこの呪われし館の管理人。\n貴方をご案内いたしましょう」,
37.983,「あなたもここに迷いこんだんだ。私はアカリ。よろしくね ! 」,
42.467,「巫女のカリンと申します。よろしくお願いしますっ ! 」,
46.067,呪いの霧に閉ざされ　館から出られない,
56.233,それでも家に帰るの　家族の待つ家に,
66.467,呪いを解いて帰ろう\n「ほんと ! ？」,
71.867,私にできることなら\n「頑張ろうね ! 」,
76.867,ふたりできっと\n「いいえ ! 」,
79,絶対,
81.167,呪いさえ　乗り越え,
85,「コウメお嬢様、マユ様。お客様をお連れしました」,
89.2,かならず帰りたい,
94.233,帰る理由はない,
99.367,私のいる場所は,
104.567,愛おしい我が家,
109.717,あたたかいおうち,
114,「ようこそ　愛でいっぱいのこの家に」,
117.4,「今日から貴方も私たちの家族だよ」,
121.25,「いや ! 私は自分のお家に帰りたいの ! 」,
124.833,「言うこと聞かない悪い子は……おしおき」,
129,「アカリちゃん、逃げましょう ! 」,
132.7,「逃がさないよ…」,
136.7,,
