0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom_1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,1,sort,-8000,
0.03333,2,sort,-8000,
0.03333,3,sort,-8000,
0.03333,MOT_mc_back_00,lt_1,,
2.19978,1,,,,L0
2.19978,2,,,,L0
2.19978,3,,,,L0
2.19978,MOT_mc_stage_color_00,b-flash,,
2.19978,2,j1-2,,,
2.73306,3,j1-2,,,
3.16635,1,j1-2,,,
3.26634,2,w2,,,
3.6662999999999997,1,2-3,,,
3.6662999999999997,2,2-3,,,
3.6662999999999997,3,2-3,,,
4.06626,1,3-4,,,
4.19958,2,3-4,l1,,
4.36623,3,3-4,r1,,
4.69953,1,4-1,,,
4.69953,2,4-1,,,
4.69953,3,4-1,,,
5.03283,2,j1-2,,,
5.03283,3,j1-2,,,
5.099489999999999,1,j1-2,,,
6.09939,3,w2,,,
6.09939,2,w2,,,
6.166049999999999,1,w2,,,
6.23271,MOT_control_all,zoom_2,,
6.466019999999999,1,,,,D40
6.466019999999999,3,,,,D40
6.466019999999999,MOT_mc_stage_color_00,y-flash,,
6.466019999999999,2,,,f1,
6.466019999999999,2,sort,-8000,
6.79932,2,j2-3,,,
7.19928,3,,,,L0
7.19928,2,,,,D40
7.19928,MOT_mc_stage_color_00,r-flash,,
7.19928,3,2-3,,f1,
7.19928,3,sort,-8000,
7.532579999999999,3,j3-4,,,
7.86588,2,w3,,,
8.23251,1,,,,L0
8.23251,3,,,,D40
8.23251,MOT_mc_stage_color_00,b-flash,,
8.23251,1,2-3,,f1,
8.23251,1,sort,-8000,
8.565809999999999,1,j3-4,,,
8.59914,3,w4,,,
8.93244,1,,,b0,
8.93244,2,,,b0,
8.93244,3,,,b0,
8.93244,1,sort,-8000,
8.93244,2,sort,-8000,
8.93244,3,sort,-8000,
8.9991,MOT_control_all,zoom_3,,
9.09909,2,,,,L0
9.09909,3,,,,L0
9.09909,MOT_mc_stage_color_00,y-flash,,
9.09909,2,3-4,,,
9.26574,3,4-1,,,
9.43239,1,4-1,,,
9.76569,1,1-2,,,
9.76569,2,4-1,,,
9.76569,3,1-2,,,
9.998999999999999,MOT_mc_stage_color_00,r-flash,,
10.098989999999999,3,2-3,,,
10.26564,2,1-2,,,
10.43229,2,2-3,,,
10.698929999999999,1,w2,,,
10.76559,1,2-3,,,
10.76559,2,3-4,,,
10.76559,3,3-4,,,
11.03223,MOT_mc_stage_color_00,b-flash,,
11.098889999999999,1,j3-4,,,
11.098889999999999,2,j4-1,,,
11.098889999999999,3,j4-1,,,
11.298869999999999,MOT_control_all,zoom_4,,
11.398859999999999,2,,,,D40
11.398859999999999,3,,,,D40
11.398859999999999,1,4-1,,f1,
11.398859999999999,1,sort,-8000,
11.73216,1,,l1,,
12.16545,3,w1,,,
12.16545,2,w1,,,
12.232109999999999,1,1-2,lb0,,
12.56541,1,2-3,,,
12.932039999999999,MOT_control_all,zoom_5,,
13.132019999999999,1,,,,D40
13.132019999999999,3,,,,L0
13.132019999999999,3,1-2,,f1,
13.132019999999999,3,sort,-8000,
13.46532,3,,r2,,
13.49865,1,w3,,,
13.79862,3,2-3,,,
14.19858,3,3-4,,,
14.53188,3,j4-1,,,
15.19848,MOT_control_all,zoom_6,,
15.365129999999999,3,,,,D40
15.365129999999999,2,,,,L0
15.365129999999999,2,1-2,,f1,
15.365129999999999,2,sort,-8000,
15.365129999999999,3,,rb1,,
15.59844,3,w1,,,
15.69843,2,j2-3,,,
16.23171,2,,l2,,
16.56501,2,3-4,,,
16.89831,2,4-1,,,
17.164949999999997,MOT_control_all,zoom_7,,
17.164949999999997,1,,,,L0
17.164949999999997,3,,,,L0
17.164949999999997,MOT_mc_stage_color_00,y-flash,,
17.164949999999997,3,j1-2,,,
17.331599999999998,1,j3-4,,,
17.46492,2,j1-2,,,
17.9982,MOT_mc_stage_color_00,r-flash,,
17.9982,2,j2-3,,,
18.164849999999998,1,j4-1,,,
18.23151,3,w2,,,
18.29817,3,j2-3,,,
18.46482,2,3-4,l3,,
18.63147,1,1-2,,,
18.764789999999998,3,3-4,r2,,
19.09809,1,j2-3,,,
19.09809,2,j4-1,,,
19.09809,3,j4-1,,,
19.6647,MOT_mc_stage_color_00,b-flash,,
19.6647,3,j1-2,,,
19.83135,1,j3-4,,,
19.964669999999998,2,j1-2,,,
20.13132,3,2-3,,,
20.29797,1,4-1,,,
20.43129,2,2-3,,,
20.76459,1,j1-2,,,
20.76459,2,j3-4,,,
20.76459,3,j3-4,,,
21.3312,MOT_mc_stage_color_00,y-flash,,
21.3312,1,j2-3,,,
21.49785,2,4-1,l4,,
21.631169999999997,3,j4-1,,,
21.797819999999998,1,3-4,,,
21.96447,2,1-2,l5,,
22.09779,3,1-2,rb1,,
22.431089999999998,1,j4-1,,,
22.431089999999998,2,j2-3,,,
22.431089999999998,3,j2-3,,,
22.86438,1,,,,D40
22.86438,3,,,,D40
22.86438,MOT_mc_stage_color_00,r-flash,,
22.86438,2,j3-4,,,
23.36433,2,,lb4,,
23.49765,3,w3,,,
23.49765,1,w1,,,
23.69763,2,,lb3,,
23.93094,2,w4,,,
24.030929999999998,2,,lb2,,
24.36423,2,,lb1,,
24.36423,1,1-2,,,
24.36423,3,3-4,,,
24.73086,1,,,,L0
24.73086,3,,,,L0
24.73086,MOT_mc_stage_color_00,b-flash,,
24.73086,2,j4-1,,,
24.89751,1,j2-3,,,
25.030829999999998,3,j4-1,,,
25.19748,2,1-2,l2,,
25.36413,1,3-4,,,
25.49745,3,1-2,r2,,
25.83075,1,j4-1,,,
25.83075,2,j2-3,,,
25.83075,3,j2-3,,,
26.39736,3,j3-4,,,
26.43069,MOT_mc_stage_color_00,y-flash,,
26.56401,1,j1-2,,,
26.697329999999997,2,j3-4,,,
26.863979999999998,3,4-1,,,
27.03063,1,2-3,,,
27.16395,2,4-1,,,
27.497249999999998,1,j3-4,,,
27.497249999999998,2,j1-2,,,
27.497249999999998,3,j1-2,,,
28.097189999999998,MOT_mc_stage_color_00,r-flash,,
28.097189999999998,2,2-3,,,
28.26384,1,4-1,,,
28.43049,3,2-3,,,
28.76379,1,1-2,,,
28.76379,2,3-4,,,
28.76379,3,3-4,,,
28.96377,MOT_mc_stage_color_00,b-flash,,
29.19708,1,j2-3,,,
29.19708,2,j4-1,,,
29.19708,3,j4-1,,,
29.6637,2,1-2,,,
29.76369,1,3-4,,,
29.86368,3,1-2,,,
29.997,1,,,,D40
29.997,2,,,,D40
29.997,3,,,,D40
30.19698,3,j2-3,,,
30.26364,1,j4-1,,,
30.330299999999998,2,j2-3,,,
31.26354,3,w3,,,
31.26354,MOT_mc_stage_color_00,y-flash,,
31.330199999999998,1,w1,,,
31.330199999999998,MOT_control_all,zoom_8,,
31.39686,2,w3,,,
31.49685,3,,,,L0
31.49685,3,3-4,,f2,
31.49685,3,sort,-8000,
31.83015,3,j4-1,,,
32.3301,3,1-2,,,
32.53008,1,1-2,,,
32.53008,2,3-4,,,
32.663399999999996,3,j2-3,,,
32.96337,MOT_mc_stage_color_00,r-flash,,
33.16335,3,3-4,,,
33.463319999999996,2,w4,,,
33.463319999999996,1,w2,,,
33.496649999999995,3,4-1,,,
33.496649999999995,1,2-3,,,
33.496649999999995,2,4-1,,,
34.42989,3,w1,,,
34.42989,2,w1,,,
34.42989,1,w3,,,
34.46322,1,,,,L0
34.46322,3,,,,D40
34.46322,MOT_mc_stage_color_00,b-flash,,
34.46322,1,,,f2,
34.46322,1,sort,-8000,
34.46322,3,,,b1,
34.46322,3,sort,-8000,
34.79652,1,3-4,,,
35.26314,1,4-1,l1,,
35.529779999999995,MOT_mc_stage_color_00,y-flash,,
35.86308,1,j1-2,,,
