0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
3.5663099999999996,2,1-2,,f1
3.6662999999999997,MOT_mc_stage_color_00,b-flash,,
3.89961,2,lp2,,
6.166049999999999,2,2-3,,
6.79932,2,3-4,,
7.16595,2,lp4,,
8.165849999999999,2,4-1,,
8.79912,2,j1-2,,
9.23241,2,lp2,,
11.53218,2,2-3,,
11.89881,2,lp3,,
13.531979999999999,2,w3,,b0
13.865279999999998,1,lp1,,f1
16.931639999999998,1,1-2,,
17.564909999999998,1,2-3,,
17.93154,1,lp3,,
18.93144,1,3-4,,
19.564709999999998,1,,,b0
19.86468,1,w4,,
19.997999999999998,2,lp3,,
20.63127,2,3-4,,
20.997899999999998,2,lp4,,
21.96447,1,4-1,,
21.96447,2,4-1,,
22.3311,1,1-2,,
22.3311,2,1-2,,
22.69773,1,lp2,,
22.69773,2,lp2,,
23.630969999999998,1,2-3,,
23.630969999999998,2,2-3,,
24.264239999999997,1,3-4,,
24.264239999999997,2,3-4,,
24.73086,1,hj4,,
24.73086,2,hj4,,
25.264139999999998,MOT_mc_stage_color_00,r-flash,,
25.3308,1,lp4,,
25.3308,2,lp4,,
26.23071,1,4-1,,
26.23071,2,4-1,,
26.59734,1,lp1,,
26.59734,2,lp1,,
27.063959999999998,1,1-2,,
27.063959999999998,2,1-2,,
27.463919999999998,1,hj2,,
27.463919999999998,2,hj2,,
28.06386,1,lp2,,
28.06386,2,lp2,,
29.730359999999997,1,2-3,,
29.730359999999997,2,2-3,,
30.096989999999998,1,3-4,,
30.096989999999998,2,3-4,,
30.46362,1,lp4,,
30.46362,2,lp4,,
31.330199999999998,1,j4-1,,
31.330199999999998,2,j4-1,,
31.730159999999998,1,lp1,,
31.730159999999998,2,lp1,,
33.063359999999996,1,1-2,,
33.72996,2,1-2,,
33.9966,1,w2,,
34.296569999999996,1,2-3,,
34.663199999999996,2,w2,,
35.02983,1,3-4,,
35.02983,2,2-3,,
35.56311,MOT_mc_stage_color_00,r-b,,
35.59644,1,4-1,,f1
35.96307,2,w3,,
36.02973,1,lp1,,
38.329499999999996,1,1-2,,
38.96277,1,2-3,,
39.3294,1,lp3,,
40.329299999999996,1,3-4,,
40.96257,2,3-4,,
40.96257,1,j4-1,,
41.39586,1,lp1,,
41.89581,2,w4,,
43.69563,1,1-2,,
44.062259999999995,1,lp2,,
45.628769999999996,1,2-3,,b0
46.028729999999996,1,w3,,
46.36203,2,4-1,,f1
46.72866,2,lp1,,
49.06176,2,1-2,,
49.06176,1,3-4,,
49.695029999999996,2,2-3,,
49.995,1,w4,,
50.061659999999996,2,lp3,,
51.06156,2,3-4,,
51.694829999999996,2,,,b0
51.9948,2,w4,,
52.42809,1,4-1,,
53.06136,1,1-2,,
53.19468,MOT_control_all,zoom2,,
53.427989999999994,1,lp2,,
54.42789,1,2-3,,
54.42789,2,4-1,,
54.79452,1,lp3,,
54.79452,2,lp1,,
55.761089999999996,1,3-4,,
55.761089999999996,2,1-2,,
56.12772,1,lp4,,
56.12772,2,lp2,,
57.09429,1,4-1,,
57.09429,2,2-3,,
57.49425,1,lp1,,
57.49425,2,lp3,,
58.46082,1,1-2,,
59.094089999999994,1,2-3,,
59.094089999999994,2,3-4,,
59.494049999999994,1,lp3,,
59.494049999999994,2,lp4,,
59.827349999999996,2,4-1,,
60.16065,2,lp1,,
61.16055,2,1-2,,
61.76049,2,j2-3,,
62.42709,1,j3-4,,
62.82705,2,w3,,
62.86038,1,lp4,,
63.79362,1,4-1,,
64.42689,2,j3-4,,
64.72686,1,w1,,
64.79352,2,4-1,,
65.16015,1,1-2,,
65.52678,1,lp2,,
65.52678,2,lp1,,
66.49334999999999,1,2-3,,
66.49334999999999,2,1-2,,
66.85998,1,lp3,,
66.85998,2,lp2,,
67.79321999999999,1,3-4,,
67.79321999999999,2,2-3,,
68.19318,1,lp4,,
68.19318,2,lp3,,
