id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,122,0,0
2,0,91,,,,0,0
3,4.173913,2,4,4,0,0,0
4,6.26087,2,4,4,0,0,0
5,8.347826,2,2,2,0,0,0
6,10.434783,2,2,2,0,0,0
7,12.521739,2,4,4,0,0,0
8,14.608696,2,4,4,0,0,0
9,16.695652,2,2,2,0,0,0
10,18.782609,2,2,2,0,0,0
11,20.869565,1,1,1,0,1,0
12,20.869565,1,5,5,0,1,0
13,22.956522,1,2,2,0,0,0
14,25.043478,1,3,3,0,0,0
15,27.130435,1,2,2,0,0,0
16,29.217391,1,1,1,0,1,0
17,29.217391,1,5,5,0,1,0
18,31.304348,1,4,4,0,0,0
19,33.391304,1,3,3,0,0,0
20,35.478261,1,4,4,0,0,0
21,37.565217,2,1,1,0,1,0
22,37.565217,2,5,5,0,1,0
23,39.652174,2,1,1,0,1,0
24,39.652174,2,5,5,0,1,0
25,41.73913,2,2,2,0,1,0
26,41.73913,2,4,4,0,1,0
27,43.826087,2,2,2,0,1,0
28,43.826087,2,4,4,0,1,0
29,45.913043,2,3,3,0,0,0
30,46.956522,2,3,3,0,0,0
31,48,2,3,3,0,0,0
32,49.043478,2,3,3,0,0,0
33,50.086957,1,3,3,0,0,0
34,51.130435,1,3,3,0,0,0
35,52.173913,1,3,3,0,0,0
36,54.26087,1,3,2,0,1,0
37,54.26087,1,4,5,0,1,0
38,55.304348,1,3,2,0,1,0
39,55.304348,1,4,5,0,1,0
40,56.347826,1,3,4,0,0,0
41,57.391304,1,3,2,0,0,0
42,58.434783,1,2,1,0,1,0
43,58.434783,1,3,4,0,1,0
44,59.478261,1,2,1,0,1,0
45,59.478261,1,3,4,0,1,0
46,60.521739,2,3,3,0,0,0
47,61.565217,2,3,3,0,0,0
48,62.608696,1,3,2,0,1,0
49,62.608696,1,4,5,0,1,0
50,63.652174,1,3,2,0,1,0
51,63.652174,1,4,5,0,1,0
52,64.695652,1,3,4,0,0,0
53,65.73913,1,3,2,0,0,0
54,66.782609,1,2,1,0,1,0
55,66.782609,1,3,4,0,1,0
56,67.826087,1,2,1,0,1,0
57,67.826087,1,3,4,0,1,0
58,68.869565,2,3,3,0,0,0
59,69.913043,2,3,3,0,0,0
60,70.956522,1,1,1,0,0,0
61,73.043478,1,4,4,0,0,0
62,75.130435,1,2,2,0,0,0
63,77.217391,1,5,5,0,0,0
64,79.304348,1,3,3,0,0,0
65,81.391304,1,2,2,0,0,0
66,83.478261,2,4,4,0,0,0
67,85.565217,2,4,4,0,0,0
68,87.652174,2,1,2,0,1,0
69,87.652174,2,5,4,0,1,0
70,88.695652,2,5,4,0,1,0
71,88.695652,2,1,2,0,1,0
72,89.73913,1,4,3,0,1,0
73,89.73913,1,4,5,0,1,0
74,90.782609,1,4,5,0,1,0
75,90.782609,1,4,3,0,1,0
76,91.826087,1,3,4,0,0,0
77,92.869565,1,3,2,0,0,0
78,93.913043,1,2,1,0,1,0
79,93.913043,1,2,3,0,1,0
80,94.956522,1,2,1,0,1,0
81,94.956522,1,2,3,0,1,0
82,96,2,3,2,0,1,0
83,96,2,3,4,0,1,0
84,97.043478,2,3,4,0,1,0
85,97.043478,2,3,2,0,1,0
86,98.086957,1,4,3,0,1,0
87,98.086957,1,4,5,0,1,0
88,99.130435,1,4,5,0,1,0
89,99.130435,1,4,3,0,1,0
90,100.173913,1,3,4,0,0,0
91,101.217391,1,3,2,0,0,0
92,102.26087,1,2,1,0,1,0
93,102.26087,1,2,3,0,1,0
94,103.304348,1,2,1,0,1,0
95,103.304348,1,2,3,0,1,0
96,104.347826,2,3,2,0,1,0
97,104.347826,2,3,4,0,1,0
98,105.391304,2,3,4,0,1,0
99,105.391304,2,3,2,0,1,0
100,106.434783,1,2,1,0,1,0
101,106.434783,1,5,4,0,1,0
102,107.478261,1,2,1,0,1,0
103,107.478261,1,5,4,0,1,0
104,108.521739,1,3,2,0,0,0
105,109.565217,1,3,2,0,0,0
106,110.608696,1,2,1,0,1,0
107,110.608696,1,5,4,0,1,0
108,111.652174,1,5,4,0,1,0
109,111.652174,1,2,1,0,1,0
110,112.695652,1,4,3,0,0,0
111,113.73913,1,4,3,0,0,0
112,114.782609,1,1,2,0,1,0
113,114.782609,1,4,5,0,1,0
114,115.826087,1,1,2,0,1,0
115,115.826087,1,4,5,0,1,0
116,116.869565,1,2,3,0,0,0
117,117.913043,1,2,3,0,0,0
118,118.956522,1,1,2,0,1,0
119,118.956522,1,4,5,0,1,0
120,120,1,4,5,0,1,0
121,120,1,1,2,0,1,0
122,121.043478,1,3,4,0,0,0
123,121.565217,1,3,2,0,0,0
124,122.086957,1,3,4,0,0,0
125,126.521739,92,,,,0,0
