time,lyrics,size
0.00 ,,
2.733,ワイワイみなさん　今夜はようこそ,
5.633,イエイイエイ歌おう　ヒットパレード,
9.817,,
20.367,見のがせないことばかり　まばたきさえも惜しんで,
25.967,メロディやコメディ　飽きさせないフルコース,
31.850,期待していて　応援してね,
34.833,ここへおいで一緒に楽しもう,
37.400,キラキラわちゃわちゃ　にぎやかに,
40.550,くるくるリボンも　まわりだすステージ,
45.083,,
46.467,かけがえのないこの時間は,
49.550,みんなでつくりだすもの,
52.163,上手もどうぞ　下手もどうぞ,
55.017,シンデレラが,
57.267,今宵かぎりのミラクルなショウをおくるよ,
64.000,初見ですぐにのれてしまう,
66.900,素敵すぎる　きみだから,
69.633,ひっぱってください,
72.550,魅惑のゴールデン・ヒットパレード　レジェンド,
79.617,,
87.267,かけがえのないこの時間は,
90.183,みんなでつくりだすもの,
93.053,上手もどうぞ　下手もどうぞ,
95.750,シンデレラが,
98.000,今宵かぎりのミラクルなショウをおくるよ,
104.733,初見ですぐにのれてしまう,
107.633,素敵すぎる　きみだから,
110.400,ひっぱってください,
113.067,あじわってください,
116.000,はりきっていきましょう,
119.083,魅惑のゴールデン・ヒットパレード　レジェンド,
127.650,,
