0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,b80-45,,
2.19978,1,hj1,,
2.19978,2,hj1,,
2.19978,3,hj1,,
2.19978,4,hj1,,
2.19978,5,hj1,,
2.3997599999999997,MOT_mc_bg_black_00,b45-20,,
2.3997599999999997,MOT_mc_light_under_00,l2,,
2.76639,MOT_mc_light_center_00,l2,,
2.7997199999999998,MOT_mc_stage_color_00,y-flash,,
2.7997199999999998,MOT_mc_speaker_00,l2_white,,
2.83305,1,j1-4,,
2.83305,2,j1-2,,
2.83305,3,j1-2,,
2.83305,4,j1-2,,
2.83305,5,j1-2,,
2.96637,1,,rb0,
2.96637,2,,rb1,
2.96637,3,,rb1,
2.96637,4,,rb1,
2.96637,5,,rb1,
3.29967,1,4-2,,
3.29967,2,w2,rb0,
3.29967,3,w2,rb0,
3.29967,4,w2,rb0,
3.29967,5,w2,rb0,
3.93294,1,2-3,,b-1
3.93294,2,2-3,,b-1
3.93294,3,2-3,,b-1
3.93294,4,2-3,,b-1
3.93294,5,2-3,,b-1
4.4328899999999996,1,lp3,,
4.4328899999999996,2,lp3,,
4.4328899999999996,3,lp3,,
4.4328899999999996,4,lp3,,
4.4328899999999996,5,lp3,,
4.63287,1,,,f0
4.63287,2,,,f0
4.63287,3,,,f0
4.63287,4,,,f0
4.63287,5,,,f0
5.3994599999999995,1,3-1,,
5.3994599999999995,2,3-1,,
5.3994599999999995,3,3-1,,
5.3994599999999995,4,3-1,,
5.3994599999999995,5,3-1,,
5.86608,1,lp1,,
5.86608,2,lp1,,
5.86608,3,lp1,,
5.86608,4,lp1,,
5.86608,5,lp1,,
6.83265,1,1-4,,
6.83265,2,1-4,,
6.83265,3,1-4,,
6.83265,4,1-4,,
6.83265,5,1-4,,
7.19928,1,lp4,,
7.19928,2,lp4,,
7.19928,3,lp4,,
7.19928,4,lp4,,
7.19928,5,lp4,,
8.465819999999999,1,,l1,
8.465819999999999,2,,l1,
8.465819999999999,3,,l1,
8.465819999999999,4,,l1,
8.465819999999999,5,,l1,
8.565809999999999,MOT_mc_stage_color_00,b-flash,,
8.63247,MOT_mc_light_center_00,l3,,
8.83245,1,,l2,
8.83245,2,,l2,
8.83245,3,,l2,
8.83245,4,,l2,
8.83245,5,,l2,
9.16575,1,,l3,
9.16575,2,,l3,
9.16575,3,,l3,
9.16575,4,,l3,
9.16575,5,,l3,
9.53238,1,,l4,
9.53238,2,,l4,
9.53238,3,,l4,
9.53238,4,,l4,
9.53238,5,,l4,
9.899009999999999,2,,lb3,
9.899009999999999,3,,lb3,
9.899009999999999,4,,lb3,
9.899009999999999,5,,lb3,
9.899009999999999,1,,lb3,
10.26564,2,,lb2,
10.26564,3,,lb2,
10.26564,4,,lb2,
10.26564,5,,lb2,
10.26564,1,,lb2,
10.598939999999999,2,,lb1,
10.598939999999999,3,,lb1,
10.598939999999999,4,,lb1,
10.598939999999999,5,,lb1,
10.598939999999999,1,,lb1,
10.93224,1,4-1,,
10.93224,2,4-1,,
10.93224,3,4-1,,
10.93224,4,4-1,,
10.93224,5,4-1,,
10.93224,1,,lb0,
10.93224,2,,lb0,
10.93224,3,,lb0,
10.93224,4,,lb0,
10.93224,5,,lb0,
11.298869999999999,1,lp1,,
11.298869999999999,2,lp1,,
11.298869999999999,3,lp1,,
11.298869999999999,4,lp1,,
11.298869999999999,5,lp1,,
11.73216,1,,r1,
11.73216,2,,r1,
11.73216,3,,r1,
11.73216,4,,r1,
11.73216,5,,r1,
12.06546,1,,r2,
12.06546,2,,r2,
12.06546,3,,r2,
12.06546,4,,r2,
12.06546,5,,r2,
12.39876,1,1-3,,
12.39876,2,1-3,,
12.39876,3,1-3,,
12.39876,4,1-3,,
12.39876,5,1-3,,
12.69873,1,lp3,,
12.69873,2,lp3,,
12.69873,3,lp3,,
12.69873,4,lp3,,
12.69873,5,lp3,,
13.9986,1,,rb1,
13.9986,2,,rb1,
13.9986,3,,rb1,
13.9986,4,,rb1,
13.9986,5,,rb1,
14.3319,4,3-1,rb0,
14.53188,2,3-1,rb0,
14.73186,1,3-1,rb0,
14.73186,4,lp1,,
14.93184,3,3-1,rb0,
14.93184,2,lp1,,
15.13182,5,3-1,rb0,
15.13182,1,lp1,,
15.3318,3,lp1,,
15.465119999999999,1,1-3,,b-1
15.465119999999999,2,1-3,,b-1
15.465119999999999,3,1-3,,b-1
15.465119999999999,4,1-3,,b-1
15.465119999999999,5,1-3,,b-1
15.965069999999999,1,lp3,,
15.965069999999999,2,lp3,,
15.965069999999999,3,lp3,,
15.965069999999999,4,lp3,,
15.965069999999999,5,lp3,,
16.16505,1,,,f0
16.16505,2,,,f0
16.16505,3,,,f0
16.16505,4,,,f0
16.16505,5,,,f0
16.86498,1,3-2,,
16.86498,2,3-2,,
16.86498,3,3-2,,
16.86498,4,3-2,,
16.86498,5,3-2,,
17.131619999999998,1,,r1,
17.131619999999998,2,,r1,
17.131619999999998,3,,r1,
17.131619999999998,4,,r1,
17.131619999999998,5,,r1,
17.46492,1,lp2,,
17.46492,2,lp2,,
17.46492,3,lp2,,
17.46492,4,lp2,,
17.46492,5,lp2,,
