time,lyrics,size
0,, 
10.62,ラン　ラララ　この歌が　届くのなら,
17.63,キラ　キララ　お星さま　聞いて欲しいな,
28.9,ふわふわ　スカートゆらして　踊ったら,
34.37,「えへへっ♪」,
35.48,蝶々も　お友達でしょう？　そうあなたも,
42.05,大好きな　おとぎ話の　扉を開けよう,
48.2,世界はすばらしい,
52.38,野いちご摘みも　暖炉そうじも　大変だけど,
58.6,私　めげないわ　ねえ　見ていてね　,
63.37,「がんばります〜 ! 」,
65.22,大好きな　パパとママと　みんなのため,
72.15,その笑顔のために,
77.55,あの雲の向こうで待っている,
80.7,想いを繋ぎ　またたく夢,
83.57,私も　きっと　輝くわ,
87.32,I’m a little Princess!,
90.77,ラン　ラララ　この歌が　響いたなら,
97.17,キラ　キララ　お星さま　叶えて欲しいな,
104.05,優しく　暖かく　みんなを幸せにしたいの,
111.08,『小春は、そんな素敵なお姫様になりたいんです〜 ! 』,
119.28,たまにお日さまにうとうとしちゃっても,
124.77,『ふわぁ〜……ゆるしてください〜……』,
135,,
