 rrrr  ,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,1,1,1,,,,-5,0.54
0,2,2,1,,,,5,0.54
0,3,3,1,,,,0,0.78
25.026,1,1,1,,,,0,0.78
25.026,2,2,1,,,,0,0
54.326,1,1,1,,,,0,0
54.326,2,2,1,,,,0,0.78
75.398,1,1,1,,,,0,0.78
75.398,2,2,1,,,,0,0
77.952,1,1,1,,,,0,0
77.952,2,2,1,,,,0,0.78
80.623,1,1,1,,,,0,0.78
80.623,2,2,1,,,,0,0
85.542,1,1,1,,,,-5,0.54
85.542,2,2,1,,,,5,0.54
106.452,1,1,1,,,,0,0
106.452,2,2,1,,,,0,0.78
107.777,1,1,1,,,,0,0.78
107.777,2,2,1,,,,0,0
109.158,1,1,1,,,,-5,0.54
109.158,2,2,1,,,,5,0.54
