time,lyrics,size
00.0000,,
17.817,閉ざされた闇の中,
20.367,覚醒の時を待つ,
22.783,スキ...キライ...スキ...キライ...キライ,
25.450,占いじゃ未来は見えない Orz...,
27.700,自分らしく前へ踏み出すとか,
30.183,トモダチいなきゃ戦えないとか,
32.817,どんな手段を使おうともとか,
35.250,些細なことはどうでもよくて,
37.917,立ち上がれ孤独な勇者,
40.417,救済はこの先にあり,
42.633,Revolution,
43.833,Salvation,
45.067,Motivation,
45.5945,もうやるっきゃない\nMotivation,
47.400,行くぜBANG BANGぶち抜くから,
49.867,覚悟決めたらいいじゃない,
52.400,全部BANG BANGぶち抜くから,
55.083,治安悪くていいじゃない,
57.183,声をあげて,
59.017,暗闇切り裂いたら,
62.233,革命をこの手で,
68.933,"""Hello everyone, please attention\nNotes of Revolution!!""",
72.467,一つ　努力を怠らず,
74.267,二つ　常に前向きに,
76.000,三つ　チャンスを見逃さず,
77.767,四つ　諦めたりしない,
79.417,五つ　挑戦しつづけて,
80.983,六つ　バーニング燃え尽きるまで,
82.750,七つ　最後に笑うため,
84.600,八つ　とにかくハイテンションで,
87.433,,
88.167,拍手喝采受けたいなら,
90.650,突き進むしかないんじゃない,
93.183,つまり後悔なんてないから,
95.700,後ろ振り向かないっきゃない,
97.750,チャンスは今,
99.733,逃さない,
100.867,掴み取ろう,
102.817,栄光をこの手に,
106.617,手を取りあえアウトサイダー,
109.117,今こそ負を正に変え,
111.617,飛び込んで革命前夜,
114.100,我らの時代,
116.600,立ち上がれ孤独な勇者,
121.167,Evolution,
122.433,Salvation,
123.683,Motivation,
125.233,Notes of Revolution,
131.150,,
