time,lyrics,size
0,,
19.540,あの黄昏も　折り畳めば静寂,
25.002285,僕らの街じゃ　暗がりは合図だ,
30.443759,灯を消して　はじめよう　幕よ開け,
35.971991,見上げ願いを　あなたのように,
40.160889,変わらず在っていたい,
42.927329,きらめきのヴェールを,
45.631,目元に箒星　描いて,
50.404,瞬いた　ソワレ　今だ !,
53.584925,寝息を立てる太陽の目を盗んで,
58.392182,大脱走さ　逃げ出そうぜ,
61.340027,朝未き空を跨ぐ　栞を挟んだら,
66.736853,行かなくちゃ　ソワレ,
69.321887,夜が明けるまでさ,
71.540,もうすこし　このままで,
75.943202,一晩じゃ語り尽くせない悲劇も,
81.427,一晩中　語り明かせたら,
85.693769,喜劇になってゆく,
87.819,Star tail,
89.266459,聞かせてよ,
90.5363,Star tail,
91.987547,一筋の,
93.348091,Star tail,
96.794803,瞬いた　ソワレ　今だ !,
100.006,寝息を立てる太陽の目を盗んで,
104.822014,大脱走さ　逃げ出そうぜ,
107.724509,朝未き空を跨ぐ　栞を挟んだら,
113.121334,約束だ　ソワレ　僕が眠るまでは,
117.92859,何度でも　また明日,
126.363964,拝啓、ソワレ,
127.973,君へ詠み継がれる,
130.183,僕たちの物語,
136.371083,,
