0.03333,MOT_mc_bg_black_00,b65,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
3.26634,4,1-2,,,
3.26634,5,1-2,,,
3.26634,4,,l1,,
3.26634,5,,r1,,
3.3329999999999997,4,,,,L0
3.3329999999999997,5,,,,L0
3.36633,MOT_mc_stage_color_00,y-flash,,
3.39966,MOT_mc_bg_black_00,b65-20,,
3.69963,MOT_mc_stage_color_00,r-flash,,
4.0329299999999995,MOT_mc_stage_color_00,b-flash,,
4.06626,4,sj2,,,
4.06626,5,sj2,,,
4.46622,4,sj2,,,
4.46622,5,sj2,,,
4.86618,4,2-3,,,
4.86618,5,2-3,,,
4.86618,4,,lb0,,
4.86618,5,,rb0,,
5.76609,4,sj3,,,
5.76609,5,sj3,,,
6.19938,4,sj3,,,
6.19938,5,sj3,,,
6.5660099999999995,4,j3-4,,,
6.5660099999999995,5,j3-4,,,
6.69933,MOT_mc_stage_color_00,y-flash,,
6.932639999999999,4,4-1,,,
6.932639999999999,5,4-1,,,
7.032629999999999,MOT_mc_stage_color_00,r-flash,,
7.36593,MOT_mc_stage_color_00,b-flash,,
7.36593,4,1-2,,,
7.36593,5,1-2,,,
7.732559999999999,4,2-3,,,
7.732559999999999,5,2-3,,,
8.19918,4,j3-4,,,
8.19918,5,j3-4,,,
8.565809999999999,4,4-1,,,
8.565809999999999,5,4-1,,,
8.9991,4,1-2,,,
8.9991,5,1-2,,,
9.39906,4,2-3,,,
9.39906,5,2-3,,,
9.93234,2,1-2,l1,,
9.93234,3,1-2,l1,,
9.93234,4,3-4,l1,,
9.93234,5,3-4,l1,,
9.998999999999999,2,,,,L0
9.998999999999999,3,,,,L0
10.13232,MOT_mc_stage_color_00,y-flash,,
10.36563,2,2-3,lb0,,
10.36563,3,2-3,lb0,,
10.36563,4,4-1,lb0,,
10.36563,5,4-1,lb0,,
10.798919999999999,2,j3-4,,,
10.798919999999999,3,j3-4,,,
10.798919999999999,4,j1-2,,,
10.798919999999999,5,j1-2,,,
11.63217,2,4-1,l1,,
11.63217,3,4-1,l1,,
11.63217,4,2-3,l1,,
11.63217,5,2-3,l1,,
12.06546,2,1-2,lb0,,
12.06546,3,1-2,lb0,,
12.06546,4,3-4,lb0,,
12.06546,5,3-4,lb0,,
12.49875,2,j2-3,,,
12.49875,3,j2-3,,,
12.49875,4,j4-1,,,
12.49875,5,j4-1,,,
12.89871,MOT_mc_stage_color_00,r-flash,,
13.26534,MOT_mc_stage_color_00,b-flash,,
13.431989999999999,1,1-2,,f1,
13.431989999999999,2,3-4,,f1,
13.431989999999999,3,3-4,,f1,
13.431989999999999,4,1-2,,f1,
13.431989999999999,5,1-2,,f1,
13.46532,1,,,,L0
13.631969999999999,MOT_mc_stage_color_00,y-flash,,
13.831949999999999,1,2-3,,b0,
13.831949999999999,2,4-1,,b0,
13.831949999999999,3,4-1,,b0,
13.831949999999999,4,2-3,,b0,
13.831949999999999,5,2-3,,b0,
14.23191,1,j3-4,,,
14.23191,2,j1-2,,,
14.23191,3,j1-2,,,
14.23191,4,j3-4,,,
14.23191,5,j3-4,,,
15.09849,1,4-1,,f1,
15.09849,2,2-3,,f1,
15.09849,3,2-3,,f1,
15.09849,4,4-1,,f1,
15.09849,5,4-1,,f1,
15.49845,MOT_mc_stage_color_00,y-flash,,
15.49845,1,1-2,,b0,
15.49845,2,3-4,,b0,
15.49845,3,3-4,,b0,
15.49845,4,1-2,,b0,
15.49845,5,1-2,,b0,
