id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,96,0,0
2,0,91,,,,0,0
3,3.666667,1,3,3,0,0,0
4,6.666667,1,3,3,0,0,0
5,9.333333,1,2,1,0,1,0
6,9.333333,1,4,5,0,1,0
7,10,1,3,3,0,0,0
8,11.333333,1,3,3,0,0,0
9,12.666667,1,3,3,0,0,0
10,14,1,3,3,0,0,0
11,14.666667,1,2,1,0,1,0
12,14.666667,1,4,5,0,1,0
13,15.333333,1,3,3,0,0,0
14,16.666667,1,3,3,0,0,0
15,18,1,3,3,0,0,0
16,20,1,3,2,0,0,0
17,21.333333,1,3,2,0,0,0
18,22.666667,1,4,5,0,0,0
19,24,1,4,3,0,0,0
20,25.333333,1,2,1,0,0,0
21,26.666667,1,2,1,0,0,0
22,28,1,4,5,0,0,0
23,29.333333,1,4,5,0,0,0
24,30.666667,1,3,2,0,0,0
25,32,1,3,2,0,0,0
26,33.333333,1,4,5,0,0,0
27,34.666667,1,4,3,0,0,0
28,36,1,4,5,0,0,0
29,37.333333,1,2,1,0,0,0
30,38.666667,1,1,2,0,0,0
31,40,1,3,4,0,0,0
32,41.333333,2,2,1,0,0,0
33,42.666667,2,2,1,0,0,0
34,44,2,2,1,0,0,0
35,45.333333,2,2,1,0,0,0
36,46.666667,2,1,2,0,0,0
37,48,2,1,2,0,0,0
38,49.333333,2,5,4,0,0,0
39,50.666667,2,5,4,0,0,0
40,52,1,2,1,0,0,0
41,54.666667,1,4,5,0,0,0
42,57.333333,1,3,2,0,0,0
43,60,1,3,4,0,0,0
44,62.666667,1,2,1,0,1,0
45,62.666667,1,4,5,0,1,0
46,64,1,3,4,0,0,0
47,65.333333,1,3,2,0,0,0
48,66.666667,1,4,5,0,0,0
49,68,2,3,3,0,0,0
50,69.333333,2,3,3,0,0,0
51,70.666667,2,3,3,0,0,0
52,72,2,3,3,0,0,0
53,73.333333,1,2,1,0,1,0
54,73.333333,1,4,5,0,1,0
55,74.666667,1,3,4,0,0,0
56,76,1,3,2,0,0,0
57,77.333333,1,4,5,0,0,0
58,78.666667,2,3,3,0,0,0
59,80,2,3,3,0,0,0
60,81.333333,2,3,3,0,0,0
61,82.666667,2,3,3,0,0,0
62,84,2,4,5,0,1,0
63,84,1,2,1,0,1,0
64,85.333333,2,4,5,0,0,0
65,86,1,3,2,0,0,0
66,86.666667,1,3,4,0,0,0
67,89.333333,1,2,1,0,1,0
68,89.333333,1,4,5,0,1,0
69,91.333333,1,3,4,0,0,0
70,92,1,3,2,0,0,0
71,94.666667,1,2,1,0,1,0
72,94.666667,1,4,5,0,1,0
73,96,1,3,4,0,0,0
74,97.333333,1,3,2,0,0,0
75,98.666667,1,2,3,0,0,0
76,100,1,2,1,0,1,0
77,100,1,4,5,0,1,0
78,101.333333,1,3,4,0,0,0
79,102.666667,1,3,3,0,0,0
80,104,1,3,3,0,0,0
81,105.333333,1,2,1,0,1,0
82,105.333333,1,4,5,0,1,0
83,106.666667,1,3,4,0,0,0
84,108,1,3,2,0,0,0
85,109.333333,1,2,3,0,0,0
86,110.666667,1,2,1,0,1,0
87,110.666667,1,4,5,0,1,0
88,112,1,3,4,0,0,0
89,113.333333,1,3,3,0,0,0
90,114.666667,1,3,3,0,0,0
91,116,1,1,2,0,1,0
92,116,1,5,4,0,1,0
93,118.666667,2,3,3,0,0,0
94,120,2,3,3,0,0,0
95,120.666667,1,3,5,0,0,0
96,122,1,3,1,0,0,0
97,123.333333,1,3,5,0,0,0
98,124.666667,1,3,1,0,0,0
99,128,92,,,,0,0
