time,lyrics,size
0.00 ,,
14.250 ,「この中に王子様はいませんかっ!?,
20.517 ,　どうか私とキスを、キスをしてください～っ!!!」,
30.833 ,,
33.683 ,私はどこにでもいる普通の女の子 !,
35.733 ,……だったはずなのに,
36.633 ,悪い魔女に呪いをかけられて,
38.183 ,世界が近々滅亡することに大決定 !,
40.317 ,どうしよ～って困っていたら,
41.733 ,良い魔法使いさんがドロンと登場 !,
43.450 ,チチンプイプイ★,
44.400 ,呪いを弱めてくれたおかげで,
45.967 ,運命の王子様と愛のキスができれば,
48.000 ,呪いは解けることになりました !,
49.617 ,その日から私の私による私のための……,
51.917 ,いや、世界のための !,
53.117 ,王子様探しの日々が始まったのです!!,
55.733 ,クラスメイトのあの子かもだけど,
61.533 ,私の王子様？　なんて聞けない !,
67.367 ,センパイ　センセイ　おさななじみだとか,
72.817 ,属性だけじゃ　わからないよ,
77.367  ,それが運命なの,
81.683 ,見つけて !,
82.767 ,早く　私を,
85.183 ,白馬の王子様,
87.717 ,じゃなきゃ,
88.583 ,世界が終わるの,
91.000 ,恋する前に,
93.367 ,気づいて !,
94.400 ,ほら　私の,
96.817 ,渾身のキス待ち顔,
99.367 ,じゃなきゃ,
100.217 ,恥ずかしいよ,
102.633 ,ねぇ　王子様～,
108.867 ,またもや魔法使いさんが現れてこう言った。,
111.333 ,「王子様は思わぬところにいるかもしれないよ」,
113.500 ,なるほど、レッツアドベンチャー !,
115.050 ,こうして私の旅は続いていく…… !,
118.667 ,,
