0.03333,MOT_mc_speaker_00,m0a,,
0.03333,MOT_mc_special_01,cut1,,
0.03333,MOT_control_all,cut1,,
0.03333,MOT_all,cut1,,
0.03333,1,,,f1
0.03333,4,,,f1
0.03333,5,,,f1
0.8665799999999999,MOT_mc_bg_black_00,b80-45,,
2.36643,MOT_mc_special_01,cut2,,
2.86638,1,j1-2,,
2.86638,2,j1-2,,
2.86638,3,j1-2,,
2.86638,4,j1-2,,
2.86638,5,j1-2,,
3.26634,MOT_mc_light_up_00,l2,,
3.26634,MOT_mc_light_under_00,l2,,
3.26634,MOT_mc_stage_color_00,r-flash,,
3.83295,1,2-3,,
3.83295,2,2-3,,
3.83295,3,2-3,,
3.83295,4,2-3,,
3.83295,5,2-3,,
4.63287,1,lp3,l1,
4.63287,2,lp3,l1,
4.63287,3,lp3,l1,
4.63287,4,lp3,l1,
4.63287,5,lp3,l1,
5.46612,1,,l2,
5.46612,2,,l2,
5.46612,3,,l2,
5.46612,4,,l2,
5.46612,5,,l2,
5.86608,1,3-4,,
5.86608,2,3-4,,
5.86608,3,3-4,,
5.86608,4,3-4,,
5.86608,5,3-4,,
6.166049999999999,1,j4-1,,
6.166049999999999,2,j4-1,,
6.166049999999999,3,j4-1,,
6.166049999999999,4,j4-1,,
6.166049999999999,5,j4-1,,
6.63267,1,lp1,,
6.63267,2,lp1,,
6.63267,3,lp1,,
6.63267,4,lp1,,
6.63267,5,lp1,,
7.96587,1,,lb1,
7.96587,2,,lb1,
7.96587,3,,lb1,
7.96587,4,,lb1,
7.96587,5,,lb1,
8.79912,1,,lb0,
8.79912,2,,lb0,
8.79912,3,,lb0,
8.79912,4,,lb0,
8.79912,5,,lb0,
9.23241,1,1-2,,
9.23241,2,1-2,,
9.23241,3,1-2,,
9.23241,4,1-2,,
9.23241,5,1-2,,
9.73236,1,hj2,,
9.73236,2,hj2,,
9.73236,3,hj2,,
9.73236,4,hj2,,
9.73236,5,hj2,,
10.43229,1,2-3,,
10.43229,2,2-3,,
10.43229,3,2-3,,
10.43229,4,2-3,,
10.43229,5,2-3,,
10.86558,1,lp3,,
10.86558,2,lp3,,
10.86558,3,lp3,,
10.86558,4,lp3,,
10.86558,5,lp3,,
12.132119999999999,1,,r1,
12.132119999999999,2,,r1,
12.132119999999999,3,,r1,
12.132119999999999,4,,r1,
12.132119999999999,5,,r1,
12.49875,1,3-2,r2,
12.49875,2,3-2,r2,
12.49875,3,3-2,r2,
12.49875,4,3-2,r2,
12.49875,5,3-2,r2,
12.96537,1,lp2,rb1,
12.96537,2,lp2,rb1,
12.96537,3,lp2,rb1,
12.96537,4,lp2,rb1,
12.96537,5,lp2,rb1,
13.39866,1,,rb0,
13.39866,2,,rb0,
13.39866,3,,rb0,
13.39866,4,,rb0,
13.39866,5,,rb0,
13.79862,1,2-1,,
13.79862,2,2-1,,
13.79862,3,2-1,,
13.79862,4,2-1,,
13.79862,5,2-1,,
14.13192,1,1-3,,
14.13192,2,1-3,,
14.13192,3,1-3,,
14.13192,4,1-3,,
14.13192,5,1-3,,
14.665199999999999,1,sp3-4,,
14.665199999999999,4,sp3-4,,
14.665199999999999,5,sp3-4,,
14.73186,2,sp3-4,,
14.73186,3,sp3-4,,
15.465119999999999,1,j3-1,,
15.465119999999999,2,j3-1,,
15.465119999999999,3,j3-1,,
15.465119999999999,4,j3-1,,
15.465119999999999,5,j3-1,,
15.89841,1,w1,,
15.89841,2,w1,,
15.89841,3,w1,,
15.89841,4,w1,,
15.89841,5,w1,,
16.19838,2,1-2,,
16.531679999999998,MOT_mc_stage_color_00,r-b,,
16.531679999999998,MOT_mc_light_up_00,l1,,
16.531679999999998,MOT_mc_light_under_00,l1,,
16.63167,2,lp2,,
17.164949999999997,2,2-3,,
17.49825,2,3-4,,
17.86488,2,j4-2,,
18.79812,2,2-1,,
19.13142,2,w1,,
19.49805,3,j1-2,,
19.93134,3,lp2,,
20.46462,3,2-3,,
20.797919999999998,3,3-4,,
21.16455,3,j4-2,,
21.631169999999997,3,sj2,,
22.031129999999997,3,j2-1,,
22.46442,3,w1,,
22.831049999999998,5,j1-2,,
23.26434,5,lp2,,
23.79762,5,2-3,,
24.13092,5,j3-1,,
24.49755,4,j1-2,,
24.56421,5,w1,,
25.43079,4,2-3,,
25.76409,4,3-1,,
26.13072,4,w1,,
26.16405,1,j1-4,,
26.63067,1,j4-2,,
27.13062,1,2-3,,
27.463919999999998,1,j3-4,,
27.463919999999998,4,1-4,,
27.463919999999998,2,1-4,,
27.463919999999998,3,1-4,,
27.463919999999998,5,1-4,,
27.9972,1,sj4,,
27.9972,4,w4,,
28.26384,2,sj4,,
28.26384,5,sj4,,
28.330499999999997,3,sj4,,
28.330499999999997,4,sj4,,
28.697129999999998,1,j4-1,,
28.697129999999998,2,j4-1,,
28.697129999999998,3,j4-1,,
28.697129999999998,4,j4-1,,
28.697129999999998,5,j4-1,,
29.23041,MOT_mc_bg_black_00,b45-65,,
29.43039,2,j1-2,,
29.43039,3,j1-2,,
29.530379999999997,1,1-2,,
29.530379999999997,4,1-2,,
29.530379999999997,5,1-2,,
30.03033,2,sj2,,
30.03033,3,sj2,,
30.03033,1,w2,,
30.03033,4,w2,,
30.03033,5,w2,,
30.49695,2,2-3,,
30.763589999999997,3,2-3,,
31.19688,2,3-4,,
31.19688,3,3-4,,
31.563509999999997,2,4-1,,
31.563509999999997,3,4-1,,
31.963469999999997,2,j1-2,,
31.963469999999997,3,j1-2,,
32.56341,2,lp2,,
32.56341,3,lp2,,
34.46322,1,j2-3,,
34.46322,4,j2-3,,
34.46322,5,j2-3,,
34.52988,2,2-3,,
34.52988,3,2-3,,
34.92984,2,w3,,
34.92984,3,w3,,
34.92984,1,sj3,,
34.92984,4,sj3,,
34.92984,5,sj3,,
35.3298,1,sj3,,
35.3298,4,sj3,,
35.3298,5,sj3,,
35.76309,2,3-4,,
35.76309,3,3-4,,
35.76309,1,3-4,,
35.76309,4,3-4,,
35.76309,5,3-4,,
36.12972,2,j4-1,,
36.12972,3,j4-1,,
36.363029999999995,1,4-1,r1,
36.363029999999995,4,4-1,r1,
36.363029999999995,5,4-1,r1,
36.59634,2,w1,,
36.59634,3,w1,,
36.762989999999995,1,lp1,rb0,
36.762989999999995,4,lp1,rb0,
36.762989999999995,5,lp1,rb0,
37.22961,1,,l1,
37.22961,4,,l1,
37.22961,5,,l1,
37.69623,1,,lb0,
37.69623,4,,lb0,
37.69623,5,,lb0,
37.962869999999995,1,1-2,,
37.962869999999995,2,1-2,,
37.962869999999995,3,1-2,,
37.962869999999995,4,1-2,,
37.962869999999995,5,1-2,,
38.329499999999996,2,w2,,
38.329499999999996,3,w2,,
38.329499999999996,1,2-3,,
38.329499999999996,4,2-3,,
38.329499999999996,5,2-3,,
38.6628,1,j3-4,,
38.6628,4,j3-4,,
38.6628,5,j3-4,,
39.06276,1,lp4,,
39.06276,4,lp4,,
39.06276,5,lp4,,
39.46272,1,4-2,,
39.46272,4,4-2,,
39.46272,5,4-2,,
39.46272,2,2-2,,
39.46272,3,2-2,,
39.89601,1,w2,,
39.89601,4,w2,,
39.89601,5,w2,,
40.29597,1,sp2-3,,
40.29597,2,sp2-3,,
40.29597,3,sp2-3,,
40.29597,4,sp2-3,,
40.29597,5,sp2-3,,
41.12922,1,j3-4,,
41.12922,2,j3-4,,
41.12922,3,j3-4,,
41.12922,4,j3-4,,
41.12922,5,j3-4,,
41.39586,MOT_mc_bg_black_00,b65-20,,
41.39586,MOT_mc_stage_color_00,b-flash,,
41.39586,MOT_mc_light_up_00,l3,,
41.39586,MOT_mc_light_under_00,l3,,
41.76249,1,hj4,,
41.76249,2,hj4,,
41.76249,3,hj4,,
41.76249,4,hj4,,
41.76249,5,hj4,,
42.46242,1,4-1,,
42.46242,2,4-1,,
42.46242,3,4-1,,
42.46242,4,4-1,,
42.46242,5,4-1,,
42.762389999999996,1,j1-2,,
42.762389999999996,2,j1-2,,
42.762389999999996,3,j1-2,,
42.762389999999996,4,j1-2,,
42.762389999999996,5,j1-2,,
43.42899,1,lp2,,
43.42899,2,lp2,,
43.42899,3,lp2,,
43.42899,4,lp2,,
43.42899,5,lp2,,
43.76229,1,,l1,
43.76229,2,,l1,
43.76229,3,,l1,
43.76229,4,,l1,
43.76229,5,,l1,
44.59554,1,,l2,
44.59554,2,,l2,
44.59554,3,,l2,
44.59554,4,,l2,
44.59554,5,,l2,
45.16215,1,hj2,,
45.16215,2,hj2,,
45.16215,3,hj2,,
45.16215,4,hj2,,
45.16215,5,hj2,,
45.79542,1,2-3,,
45.79542,2,2-3,,
45.79542,3,2-3,,
45.79542,4,2-3,,
45.79542,5,2-3,,
46.095389999999995,1,j3-4,,
46.095389999999995,2,j3-4,,
46.095389999999995,3,j3-4,,
46.095389999999995,4,j3-4,,
46.095389999999995,5,j3-4,,
47.06196,1,4-1,,
47.06196,2,4-1,,
47.06196,3,4-1,,
47.06196,4,4-1,,
47.06196,5,4-1,,
47.42859,1,1-2,,
47.42859,2,1-2,,
47.42859,3,1-2,,
47.42859,4,1-2,,
47.42859,5,1-2,,
47.79522,1,sj2,,
47.79522,2,sj2,,
47.79522,3,sj2,,
47.79522,4,sj2,,
47.79522,5,sj2,,
48.22851,1,sj2,,
48.22851,2,sj2,,
48.22851,3,sj2,,
48.22851,4,sj2,,
48.22851,5,sj2,,
48.69513,1,sj2,,
48.69513,2,sj2,,
48.69513,3,sj2,,
48.69513,4,sj2,,
48.69513,5,sj2,,
48.82845,MOT_mc_bg_black_00,b20-45,,
49.12842,1,2-3,,
49.12842,2,2-3,,
49.12842,3,2-3,,
49.12842,4,2-3,,
49.12842,5,2-3,,
