0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_control_all,colors,,
0.03333,MOT_all,cut1,,
0.03333,3,,,b-1
0.03333,4,,,b-1
0.03333,5,,,b-1
0.03333,1,,,f1
0.03333,2,,,f1
3.4329899999999998,1,1-2,,
3.4329899999999998,2,1-2,,
3.4329899999999998,3,1-2,,
3.4329899999999998,4,1-2,,
3.4329899999999998,5,1-2,,
3.73296,MOT_mc_special_01,sp1_colors01,,
3.73296,1,sp2-3,,
3.73296,2,sp2-3,,
3.73296,3,sp2-3,,
3.73296,4,sp2-3,,
3.73296,5,sp2-3,,
4.83285,1,sj3,,
4.83285,2,sj3,,
4.83285,3,sj3,,
4.83285,4,sj3,,
4.83285,5,sj3,,
5.13282,MOT_mc_light_center_00,l1,,
5.13282,MOT_mc_light_under_00,l1,,
5.199479999999999,1,lp3,,
5.199479999999999,2,lp3,,
5.199479999999999,3,lp3,,
5.199479999999999,4,lp3,,
5.199479999999999,5,lp3,,
6.63267,1,j3-4,,
6.63267,2,j3-4,,
6.63267,3,j3-4,,
6.63267,4,j3-4,,
6.63267,5,j3-4,,
6.9993,1,lp4,,
6.9993,2,lp4,,
6.9993,3,lp4,,
6.9993,4,lp4,,
6.9993,5,lp4,,
8.365829999999999,1,j4-1,,
8.365829999999999,2,j4-1,,
8.365829999999999,3,j4-1,,
8.365829999999999,4,j4-1,,
8.365829999999999,5,j4-1,,
8.73246,1,lp1,,
8.73246,2,lp1,,
8.73246,3,lp1,,
8.73246,4,lp1,,
8.73246,5,lp1,,
10.23231,4,1-2,,
10.23231,2,1-2,,
10.46562,1,1-2,,
10.46562,5,1-2,,
10.6656,3,1-2,,
10.93224,1,sj2,,
10.93224,2,sj2,,
10.93224,3,sj2,,
10.93224,4,sj2,,
10.93224,5,sj2,,
11.26554,1,w2,,
11.26554,2,w2,,
11.26554,3,w2,,
11.26554,4,w2,,
11.26554,5,w2,,
11.36553,1,2-3,,
11.36553,2,2-3,,
11.49885,MOT_mc_bg_black_00,b80-45,,
11.6655,1,hj3,,
11.6655,2,hj3,,
11.6655,3,hj2,,
11.6655,4,hj2,,
11.6655,5,hj2,,
12.19878,MOT_mc_stage_color_00,b-flash,,
12.26544,MOT_mc_light_center_00,l2,,
12.26544,MOT_mc_light_up_00,l2,,
12.26544,MOT_mc_light_under_00,l2,,
12.26544,3,lp2,,
12.26544,4,lp2,,
12.26544,5,lp2,,
12.332099999999999,1,3-4,,
12.332099999999999,2,3-4,,
12.76539,1,j4-1,,
12.76539,2,j4-1,,
13.19868,1,lp1,,
13.19868,2,lp1,,
14.565209999999999,3,2-3,,
14.565209999999999,4,2-3,,
14.565209999999999,5,2-3,,
14.965169999999999,3,lp3,,
14.965169999999999,4,lp3,,
14.965169999999999,5,lp3,,
14.965169999999999,1,1-2,,
14.965169999999999,2,1-2,,
15.39846,1,jlp2,,
15.39846,2,jlp2,,
16.26504,3,3-4,,
16.26504,4,3-4,,
16.26504,5,3-4,,
17.131619999999998,3,j4-1,,
17.131619999999998,4,j4-1,,
17.131619999999998,5,j4-1,,
17.164949999999997,1,2-3,,
17.164949999999997,2,2-3,,
17.564909999999998,3,lp1,,
