id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,152,0,0
2,0,91,,,,0,0
3,3.609023,1,4,5,0,1,0
4,3.609023,1,1,3,0,1,0
5,4.962406,1,5,3,0,1,0
6,4.962406,1,2,1,0,1,0
7,7.218045,1,2,1,0,1,0
8,7.218045,1,5,3,0,1,0
9,8.571429,1,1,3,0,1,0
10,8.571429,1,4,5,0,1,0
11,10.827068,1,1,2,0,1,0
12,10.827068,1,3,4,0,1,0
13,12.180451,1,2,1,0,1,0
14,12.180451,1,5,3,0,1,0
15,14.43609,1,2,1,0,1,0
16,14.43609,1,5,4,0,1,0
17,15.789474,2,2,1,0,1,0
18,15.789474,2,5,4,0,1,0
19,19.849624,2,5,4,0,1,0
20,19.849624,2,2,1,0,1,0
21,20.75188,1,4,4,0,0,0
22,21.654135,1,2,2,0,0,0
23,22.556391,1,5,5,0,0,0
24,23.458647,1,1,1,0,0,0
25,24.360902,1,3,3,0,0,0
26,25.263158,2,4,5,0,0,0
27,26.165414,2,4,5,0,0,0
28,27.067669,1,4,4,0,0,0
29,27.969925,1,2,2,0,0,0
30,28.87218,1,5,5,0,0,0
31,29.774436,1,1,1,0,0,0
32,30.676692,1,3,3,0,0,0
33,31.578947,1,4,4,0,0,0
34,32.481203,2,2,1,0,0,0
35,33.383459,2,2,1,0,0,0
36,34.285714,1,2,1,0,1,0
37,34.285714,1,4,5,0,1,0
38,35.18797,1,3,2,0,0,0
39,36.090226,1,3,4,0,0,0
40,36.992481,1,3,2,0,0,0
41,37.894737,1,3,4,0,0,0
42,38.796992,1,3,2,0,0,0
43,39.699248,1,4,5,0,0,0
44,40.601504,1,2,1,0,0,0
45,41.503759,2,1,2,0,0,0
46,42.406015,2,1,2,0,0,0
47,43.308271,1,2,3,0,0,0
48,44.210526,1,4,5,0,0,0
49,45.112782,1,2,1,0,1,0
50,45.112782,1,4,5,0,1,0
51,46.015038,1,5,4,0,0,0
52,46.917293,1,2,1,0,0,0
53,47.819549,1,2,1,0,0,0
54,48.721805,1,3,4,0,0,0
55,49.62406,1,3,2,0,0,0
56,50.526316,1,3,4,0,0,0
57,51.428571,1,2,1,0,0,0
58,52.330827,1,2,3,0,0,0
59,53.233083,1,3,4,0,0,0
60,54.135338,2,4,5,0,0,0
61,55.037594,2,4,5,0,0,0
62,55.93985,2,3,4,0,0,0
63,56.390977,2,3,4,0,0,0
64,56.842105,2,3,2,0,0,0
65,57.293233,2,3,2,0,0,0
66,57.744361,2,2,3,0,0,0
67,58.195489,2,2,3,0,0,0
68,58.646617,2,2,1,0,0,0
69,59.097744,2,2,1,0,0,0
70,59.548872,1,2,2,0,1,0
71,59.548872,1,4,5,0,1,0
72,60.451128,1,2,1,0,1,0
73,60.451128,1,4,4,0,1,0
74,61.353383,2,2,1,0,1,0
75,61.353383,1,4,4,0,1,0
76,62.255639,2,2,1,0,0,0
77,63.157895,2,4,5,0,1,0
78,63.157895,1,2,2,0,1,0
79,64.06015,2,4,5,0,0,0
80,64.962406,1,2,1,0,1,0
81,64.962406,1,3,4,0,1,0
82,65.864662,1,1,2,0,0,0
83,66.766917,1,4,5,0,0,0
84,67.669173,1,2,1,0,0,0
85,68.571429,1,4,5,0,0,0
86,69.022556,1,3,2,0,0,0
87,69.473684,1,3,2,0,0,0
88,70.37594,1,3,4,0,0,0
89,70.827068,1,2,1,0,0,0
90,71.278195,1,2,1,0,0,0
91,72.180451,2,2,1,0,0,0
92,73.082707,2,2,1,0,1,0
93,73.082707,1,4,3,0,1,0
94,73.984962,2,4,5,0,0,0
95,74.887218,2,4,5,0,1,0
96,74.887218,1,2,3,0,1,0
97,75.789474,1,5,4,0,0,0
98,76.691729,1,3,2,0,0,0
99,77.593985,2,2,3,0,0,0
100,78.496241,2,2,3,0,0,0
101,79.398496,1,1,2,0,0,0
102,80.300752,1,2,3,0,0,0
103,81.203008,1,3,4,0,0,0
104,82.105263,1,4,3,0,0,0
105,83.007519,1,4,3,0,1,0
106,83.007519,1,4,5,0,1,0
107,83.909774,1,2,1,0,1,0
108,83.909774,1,2,3,0,1,0
109,84.81203,1,2,3,0,0,0
110,85.714286,1,2,1,0,0,0
111,86.616541,1,1,2,0,0,0
112,87.518797,1,3,4,0,0,0
113,88.421053,1,4,5,0,1,0
114,88.421053,1,4,3,0,1,0
115,89.323308,1,3,2,0,1,0
116,89.323308,1,3,4,0,1,0
117,90.225564,1,4,5,0,0,0
118,90.902256,1,3,2,0,0,0
119,91.578947,1,2,1,0,1,0
120,91.578947,1,2,3,0,1,0
121,92.932331,1,4,5,0,0,0
122,93.834586,2,3,2,0,0,0
123,95.639098,2,3,2,0,0,0
124,96.541353,1,3,4,0,0,0
125,97.443609,2,3,4,0,0,0
126,98.120301,2,3,4,0,0,0
127,98.796992,1,2,1,0,0,0
128,101.052632,2,3,2,0,0,0
129,101.729323,2,3,2,0,0,0
130,102.406015,1,4,5,0,0,0
131,104.661654,2,4,5,0,0,0
132,105.338346,2,4,5,0,0,0
133,106.015038,1,3,2,0,0,0
134,108.270677,2,3,4,0,0,0
135,108.947368,2,3,4,0,0,0
136,109.62406,1,2,1,0,0,0
137,111.879699,1,2,2,0,0,0
138,112.556391,1,3,4,0,0,0
139,113.233083,1,4,5,0,0,0
140,115.488722,1,3,3,0,0,0
141,116.165414,1,3,2,0,0,0
142,116.842105,1,3,4,0,0,0
143,119.097744,1,3,3,0,0,0
144,119.774436,1,3,4,0,0,0
145,120.451128,1,2,1,0,0,0
146,122.255639,1,5,5,0,0,0
147,122.706767,1,4,3,0,0,0
148,123.383459,1,5,4,0,0,0
149,124.06015,2,3,2,0,0,0
150,125.864662,2,3,2,0,0,0
151,126.315789,2,3,4,0,0,0
152,128.120301,2,3,4,0,0,0
153,128.571429,2,3,3,0,0,0
154,130.37594,2,3,3,0,0,0
155,133.984962,92,,,,0,0
