0.03333,9,sort,-500,
0.03333,8,sort,-500,
0.03333,4,sort,-500,
0.03333,5,sort,-500,
0.03333,13,sort,-500,
0.03333,14,sort,-500,
0.03333,10,sort,-800,
0.03333,15,sort,-800,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.73326,MOT_mc_bg_black_00,b80-65,,
2.23311,1,1-2,,
2.23311,2,1-2,,
2.23311,3,1-2,,
2.23311,4,1-2,,
2.23311,5,1-2,,
2.23311,6,1-2,,
2.23311,7,1-2,,
2.23311,8,1-2,,
2.23311,9,1-2,,
2.23311,10,1-2,,
2.23311,11,1-2,,
2.23311,12,1-2,,
2.23311,13,1-2,,
2.23311,14,1-2,,
2.23311,15,1-2,,
2.3331,MOT_mc_bg_black_00,b65-45,,
2.56641,MOT_mc_stage_color_00,b-flash,,
2.63307,MOT_mc_light_center_00,l1,,
2.63307,MOT_mc_light_up_00,l3,,
2.63307,MOT_mc_light_under_00,l1,,
2.63307,MOT_mc_speaker_00,l1,,
2.63307,1,lp2,,
2.63307,2,lp2,,
2.63307,3,lp2,,
2.63307,4,lp2,,
2.63307,5,lp2,,
2.63307,6,lp2,,
2.63307,7,lp2,,
2.63307,8,lp2,,
2.63307,9,lp2,,
2.63307,10,lp2,,
2.63307,11,lp2,,
2.63307,12,lp2,,
2.63307,13,lp2,,
2.63307,14,lp2,,
2.63307,15,lp2,,
3.53298,1,j2-3,,
3.53298,2,j2-3,,
3.53298,3,j2-3,,
3.53298,4,j2-3,,
3.53298,5,j2-3,,
3.53298,6,j2-3,,
3.53298,7,j2-3,,
3.53298,8,j2-3,,
3.53298,9,j2-3,,
3.53298,10,j2-3,,
3.53298,11,j2-3,,
3.53298,12,j2-3,,
3.53298,13,j2-3,,
3.53298,14,j2-3,,
3.53298,15,j2-3,,
3.9996,1,lp3,,
3.9996,2,lp3,,
3.9996,3,lp3,,
3.9996,4,lp3,,
3.9996,5,lp3,,
3.9996,6,lp3,,
3.9996,7,lp3,,
3.9996,8,lp3,,
3.9996,9,lp3,,
3.9996,10,lp3,,
3.9996,11,lp3,,
3.9996,12,lp3,,
3.9996,13,lp3,,
3.9996,14,lp3,,
3.9996,15,lp3,,
5.06616,1,3-4,,
5.06616,2,3-4,,
5.06616,3,3-4,,
5.06616,4,3-4,,
5.06616,5,3-4,,
5.06616,6,3-4,,
5.06616,7,3-4,,
5.06616,8,3-4,,
5.06616,9,3-4,,
5.06616,10,3-4,,
5.06616,11,3-4,,
5.06616,12,3-4,,
5.06616,13,3-4,,
5.06616,14,3-4,,
5.06616,15,3-4,,
5.43279,1,j4-1,,
5.43279,2,j4-1,,
5.43279,3,j4-1,,
5.43279,4,j4-1,,
5.43279,5,j4-1,,
5.43279,6,j4-1,,
5.43279,7,j4-1,,
5.43279,8,j4-1,,
5.43279,9,j4-1,,
5.43279,10,j4-1,,
5.43279,11,j4-1,,
5.43279,12,j4-1,,
5.43279,13,j4-1,,
5.43279,14,j4-1,,
5.43279,15,j4-1,,
5.86608,1,lp1,,
5.86608,2,lp1,,
5.86608,3,lp1,,
5.86608,4,lp1,,
5.86608,5,lp1,,
5.86608,6,lp1,,
5.86608,7,lp1,,
5.86608,8,lp1,,
5.86608,9,lp1,,
5.86608,10,lp1,,
5.86608,11,lp1,,
5.86608,12,lp1,,
5.86608,13,lp1,,
5.86608,14,lp1,,
5.86608,15,lp1,,
6.39936,1,1-2,,
6.39936,2,1-2,,
6.39936,3,1-2,,
6.39936,4,1-2,,
6.39936,5,1-2,,
6.39936,6,1-2,,
6.39936,7,1-2,,
6.39936,8,1-2,,
6.39936,9,1-2,,
6.39936,10,1-2,,
6.39936,11,1-2,,
6.39936,12,1-2,,
6.39936,13,1-2,,
6.39936,14,1-2,,
6.39936,15,1-2,,
6.9659699999999996,1,sj2,,
6.9659699999999996,2,sj2,,
6.9659699999999996,3,sj2,,
6.9659699999999996,4,sj2,,
6.9659699999999996,5,sj2,,
6.9659699999999996,6,sj2,,
6.9659699999999996,7,sj2,,
6.9659699999999996,8,sj2,,
6.9659699999999996,9,sj2,,
6.9659699999999996,10,sj2,,
6.9659699999999996,11,sj2,,
6.9659699999999996,12,sj2,,
6.9659699999999996,13,sj2,,
6.9659699999999996,14,sj2,,
6.9659699999999996,15,sj2,,
7.39926,1,w2,,
7.39926,2,w2,,
7.39926,3,w2,,
7.39926,4,w2,,
7.39926,5,w2,,
7.39926,6,w2,,
7.39926,7,w2,,
7.39926,8,w2,,
