time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.2,,
0,,4,,MasterOut,0,1,,
0,,4,,BUS_0007,0,0.2,,
0,,5,,MasterOut,0,1,,
0,,5,,BUS_0007,0,0.2,,
0,1,1,1,,,,0,0.7
0,4,4,1,,,,-10,0.7
0,5,5,1,,,,10,0.7
29,,1,,MasterOut,0.05,0,,
29,,1,,BUS_0007,0.2,0,,
29,,2,,MasterOut,0.05,0,,
29,,2,,BUS_0007,0.2,0,,
29,,3,,MasterOut,0.05,0,,
29,,3,,BUS_0007,0.2,0,,
44.535,,1,,MasterOut,0,1,,
44.535,,1,,BUS_0007,0,0.1,,
44.535,1,1,1,,,,0,0.78
52.932,,1,,MasterOut,0.05,0,,
52.932,,1,,BUS_0007,0.2,0,,
52.985,,2,,MasterOut,0,1,,
52.985,,2,,BUS_0007,0,0.1,,
52.985,2,2,1,,,,0,0.78
58.209,,2,,MasterOut,0.05,0,,
58.209,,2,,BUS_0007,0.2,0,,
58.26,,3,,MasterOut,0,1,,
58.26,,3,,BUS_0007,0,0.1,,
58.26,3,3,1,,,,0,0.78
63.322,,3,,MasterOut,0.05,0,,
63.322,,3,,BUS_0007,0.2,0,,
63.373,,1,,MasterOut,0,1,,
63.373,,1,,BUS_0007,0,0.1,,
64.989,,1,,MasterOut,0.05,0,,
64.989,,1,,BUS_0007,0.2,0,,
65.04,,2,,MasterOut,0,1,,
65.04,,2,,BUS_0007,0,0.1,,
66.303,,2,,MasterOut,0.05,0,,
66.303,,2,,BUS_0007,0.2,0,,
66.355,,3,,MasterOut,0,1,,
66.355,,3,,BUS_0007,0,0.1,,
69.863,,1,,MasterOut,0,1,,
69.863,,1,,BUS_0007,0,0.1,,
69.863,,2,,MasterOut,0,1,,
69.863,,2,,BUS_0007,0,0.1,,
69.863,1,1,1,,,,0,0.53
69.863,2,2,1,,,,-18,0.39
69.863,3,3,1,,,,18,0.39
83.486,,1,,MasterOut,0.01,0,,
83.486,,1,,BUS_0007,0.2,0,,
83.486,,2,,MasterOut,0.01,0,,
83.486,,2,,BUS_0007,0.2,0,,
83.486,,3,,MasterOut,0.01,0,,
83.486,,3,,BUS_0007,0.2,0,,
83.497,,1,,MasterOut,0,1,,
83.497,,1,,BUS_0007,0,0.1,,
83.497,1,1,1,,,,0,0.78
84.467,,1,,MasterOut,0.05,0,,
84.467,,1,,BUS_0007,0.2,0,,
84.52,,2,,MasterOut,0,1,,
84.52,,2,,BUS_0007,0,0.1,,
84.52,2,2,1,,,,0,0.78
85.836,,2,,MasterOut,0.05,0,,
85.836,,2,,BUS_0007,0.2,0,,
85.888,,3,,MasterOut,0,1,,
85.888,,3,,BUS_0007,0,0.1,,
85.888,3,3,1,,,,0,0.78
87.933,,1,,MasterOut,0,1,,
87.933,,1,,BUS_0007,0,0.1,,
87.933,,2,,MasterOut,0,1,,
87.933,,2,,BUS_0007,0,0.1,,
87.933,1,1,1,,,,0,0.53
87.933,2,2,1,,,,-18,0.39
87.933,3,3,1,,,,18,0.39
105.907,,2,,MasterOut,0.05,0,,
105.907,,2,,BUS_0007,0.2,0,,
105.907,,3,,MasterOut,0.05,0,,
105.907,,3,,BUS_0007,0.2,0,,
105.954,1,1,1,,,,0,0.78
107.207,,1,,MasterOut,0.05,0,,
107.207,,1,,BUS_0007,0.2,0,,
107.258,,2,,MasterOut,0,1,,
107.258,,2,,BUS_0007,0,0.1,,
107.258,2,2,1,,,,0,0.78
108.488,,2,,MasterOut,0.05,0,,
108.488,,2,,BUS_0007,0.2,0,,
108.565,,3,,MasterOut,0,1,,
108.565,,3,,BUS_0007,0,0.1,,
108.565,3,3,1,,,,0,0.78
112.33,,1,,MasterOut,0,1,,
112.33,,1,,BUS_0007,0,0.1,,
112.33,,2,,MasterOut,0,1,,
112.33,,2,,BUS_0007,0,0.1,,
112.33,1,1,1,,,,0,0.53
112.33,2,2,1,,,,-18,0.39
112.33,3,3,1,,,,18,0.39
