time,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.1,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.1,,
0,,4,,MasterOut,0,1,,
0,,4,,BUS_0007,0,0.1,,
0,,5,,MasterOut,0,1,,
0,,5,,BUS_0007,0,0.1,,
0,,6,,MasterOut,0,1,,
0,,6,,BUS_0007,0,0.1,,
0,4,1,1,,,,-18,0.27
0,2,2,1,,,,-9,0.35
0,1,3,1,,,,0,0.5
0,3,4,1,,,,9,0.35
0,5,5,1,,,,18,0.27
0,6,6,1,,,,0,0
0,7,6,1,,,,0,0
0,8,6,1,,,,0,0
0,9,6,1,,,,0,0
0,10,6,1,,,,0,0
0,11,6,1,,,,0,0
14.27,,1,,MasterOut,0.05,0,,
14.27,,1,,BUS_0007,0.2,0,,
14.27,,2,,MasterOut,0.05,0,,
14.27,,2,,BUS_0007,0.2,0,,
14.27,,3,,MasterOut,0.05,0,,
14.27,,3,,BUS_0007,0.2,0,,
14.27,,4,,MasterOut,0.05,0,,
14.27,,4,,BUS_0007,0.2,0,,
14.27,,5,,MasterOut,0.05,0,,
14.27,,5,,BUS_0007,0.2,0,,
24.648,,2,,MasterOut,0,1,,
24.648,,2,,BUS_0007,0,0.1,,
24.648,2,,,,,,0,0.78
24.648,9,,,,,,0,0.78
34.054,,2,,MasterOut,0.05,0,,
34.054,,2,,BUS_0007,0.2,0,,
36.947,,1,,MasterOut,0,1,,
36.947,,1,,BUS_0007,0,0.1,,
36.947,4,,,,,,0,0.78
38.918,7,,,,,,18,0.7
38.918,9,,,,,,0,0
40.298,,1,,MasterOut,0.05,0,,
40.298,,1,,BUS_0007,0.2,0,,
40.298,,5,,MasterOut,0,1,,
40.298,,5,,BUS_0007,0,0.1,,
40.298,5,,,,,,-18,0.7
41.488,,4,,MasterOut,0,1,,
41.488,,4,,BUS_0007,0,0.1,,
41.488,,5,,MasterOut,0.05,0,,
41.488,,5,,BUS_0007,0.2,0,,
41.488,3,,,,,,0,0.78
41.488,6,,,,,,0,0.78
41.488,7,,,,,,0,0
44.315,,1,,MasterOut,0,1,,
44.315,,1,,BUS_0007,0,0.1,,
44.315,,2,,MasterOut,0,1,,
44.315,,2,,BUS_0007,0,0.1,,
44.315,,4,,MasterOut,0,1,,
44.315,,4,,BUS_0007,0,0.1,,
44.315,,5,,MasterOut,0,1,,
44.315,,5,,BUS_0007,0,0.1,,
44.315,4,,,,,,-18,0.34
44.315,2,,,,,,7,0.46
44.315,3,,,,,,7,0.46
44.315,5,,,,,,18,0.34
50.799,,1,,MasterOut,0,1,,
50.799,,1,,BUS_0007,0,0.1,,
50.799,,2,,MasterOut,0,1,,
50.799,,2,,BUS_0007,0,0.1,,
50.799,,3,,MasterOut,0,1,,
50.799,,3,,BUS_0007,0,0.1,,
50.799,,4,,MasterOut,0,1,,
50.799,,4,,BUS_0007,0,0.1,,
50.799,,5,,MasterOut,0,1,,
50.799,,5,,BUS_0007,0,0.1,,
50.799,4,,,,,,-18,0.27
50.799,2,,,,,,-9,0.35
50.799,1,,,,,,0,0.5
50.799,3,,,,,,9,0.35
50.799,5,,,,,,18,0.27
54.486,6,,,,,,0,0
54.486,8,,,,,,0,0.78
64.121,,1,,MasterOut,0,1,,
64.121,,1,,BUS_0007,0,0.1,,
64.121,,2,,MasterOut,0.05,0,,
64.121,,2,,BUS_0007,0.2,0,,
64.121,,3,,MasterOut,0,1,,
64.121,,3,,BUS_0007,0,0.1,,
64.121,,4,,MasterOut,0,1,,
64.121,,4,,BUS_0007,0,0.1,,
64.121,,5,,MasterOut,0,1,,
64.121,,5,,BUS_0007,0,0.1,,
64.121,4,,,,,,-18,0.34
64.121,1,,,,,,7,0.46
64.121,3,,,,,,7,0.46
64.121,5,,,,,,18,0.34
64.121,11,,,,,,0,0.78
67.352,,1,,MasterOut,0,1,,
67.352,,1,,BUS_0007,0,0.1,,
67.352,,2,,MasterOut,0,1,,
67.352,,2,,BUS_0007,0,0.1,,
67.352,,3,,MasterOut,0,1,,
67.352,,3,,BUS_0007,0,0.1,,
67.352,,4,,MasterOut,0,1,,
67.352,,4,,BUS_0007,0,0.1,,
67.352,,5,,MasterOut,0,1,,
67.352,,5,,BUS_0007,0,0.1,,
67.352,4,,,,,,-18,0.27
67.352,2,,,,,,-9,0.35
67.352,1,,,,,,0,0.5
67.352,3,,,,,,9,0.35
67.352,5,,,,,,18,0.27
67.352,8,,,,,,0,0
67.352,9,,,,,,0,0.78
72.648,,1,,MasterOut,0,1,,
72.648,,1,,BUS_0007,0,0.1,,
72.648,,2,,MasterOut,0.05,0,,
72.648,,2,,BUS_0007,0.2,0,,
72.648,,3,,MasterOut,0.05,0,,
72.648,,3,,BUS_0007,0.2,0,,
72.648,,4,,MasterOut,0.05,0,,
72.648,,4,,BUS_0007,0.2,0,,
72.648,,5,,MasterOut,0.05,0,,
72.648,,5,,BUS_0007,0.2,0,,
72.648,4,,,,,,0,0.78
75.891,,1,,MasterOut,0,1,,
75.891,,1,,BUS_0007,0,0.1,,
75.891,,2,,MasterOut,0,1,,
75.891,,2,,BUS_0007,0,0.1,,
75.891,,3,,MasterOut,0.05,0,,
75.891,,3,,BUS_0007,0.2,0,,
75.891,,4,,MasterOut,0,1,,
75.891,,4,,BUS_0007,0,0.1,,
75.891,,5,,MasterOut,0,1,,
75.891,,5,,BUS_0007,0,0.1,,
75.891,4,,,,,,-18,0.34
75.891,2,,,,,,7,0.46
75.891,3,,,,,,7,0.46
75.891,5,,,,,,18,0.34
75.891,10,,,,,,0,0.78
75.891,11,,,,,,0,0
80.432,,1,,MasterOut,0.05,0,,
80.432,,1,,BUS_0007,0.2,0,,
80.432,,2,,MasterOut,0.05,0,,
80.432,,2,,BUS_0007,0.2,0,,
80.432,,3,,MasterOut,0.05,0,,
80.432,,3,,BUS_0007,0.2,0,,
80.432,,4,,MasterOut,0,1,,
80.432,,4,,BUS_0007,0,0.1,,
80.432,,5,,MasterOut,0.05,0,,
80.432,,5,,BUS_0007,0.2,0,,
80.432,3,,,,,,0,0.78
94.054,,4,,MasterOut,0.05,0,,
94.054,,4,,BUS_0007,0.2,0,,
94.641,,1,,MasterOut,0,1,,
94.641,,1,,BUS_0007,0,0.1,,
94.641,4,,,,,,0,0.78
94.641,10,,,,,,0,0
94.641,11,,,,,,0,0.78
97.945,,1,,MasterOut,0,1,,
97.945,,1,,BUS_0007,0,0.1,,
97.945,,2,,MasterOut,0,1,,
97.945,,2,,BUS_0007,0,0.1,,
97.945,,4,,MasterOut,0,1,,
97.945,,4,,BUS_0007,0,0.1,,
97.945,,5,,MasterOut,0,1,,
97.945,,5,,BUS_0007,0,0.1,,
97.945,4,,,,,,-18,0.34
97.945,2,,,,,,7,0.46
97.945,3,,,,,,7,0.46
97.945,5,,,,,,18,0.34
99.792,,1,,MasterOut,0,1,,
99.792,,1,,BUS_0007,0,0.1,,
99.792,,2,,MasterOut,0,1,,
99.792,,2,,BUS_0007,0,0.1,,
99.792,,3,,MasterOut,0,1,,
99.792,,3,,BUS_0007,0,0.1,,
99.792,,4,,MasterOut,0,1,,
99.792,,4,,BUS_0007,0,0.1,,
99.792,,5,,MasterOut,0,1,,
99.792,,5,,BUS_0007,0,0.1,,
99.792,4,,,,,,-18,0.27
99.792,2,,,,,,-9,0.35
99.792,1,,,,,,0,0.5
99.792,3,,,,,,9,0.35
99.792,5,,,,,,18,0.27
99.792,6,,,,,,0,0.78
99.792,9,,,,,,0,0
