0.03333,MOT_mc_bg_black_00,b45,,
0.03333,1,,,,D100
0.03333,2,,,,D100
0.03333,MOT_mc_speaker_00,l1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
1.79982,1,1-2,,,
1.79982,2,1-2,,,
2.09979,MOT_mc_stage_color_00,b-flash,,
2.1664499999999998,1,lp2,,,
2.1664499999999998,2,lp2,,,
4.1329199999999995,1,2-3,,,
4.1329199999999995,2,2-3,,,
4.49955,1,lp3,,,
4.49955,2,lp3,,,
5.89941,1,3-4,,,
5.89941,2,3-4,,,
6.3327,1,j4-1,,,
6.3327,2,j4-1,,,
6.6659999999999995,1,,,,L80
6.6659999999999995,2,,,,L80
6.7659899999999995,1,lp1,,,
6.7659899999999995,2,lp1,,,
8.665799999999999,1,1-2,,,
8.665799999999999,2,1-2,,,
8.9991,1,hj2,,,
9.46572,2,hj2,,,
9.998999999999999,1,2-3,,,
9.998999999999999,2,2-3,,,
10.3323,1,3-4,,,
10.3323,2,3-4,,,
10.6656,1,4-1,,,
10.6656,2,4-1,,,
11.03223,1,1-2,l1,,
11.03223,2,1-2,l1,,
11.26554,MOT_mc_stage_color_00,b-flash,,
11.298869999999999,1,,,,L0
11.298869999999999,2,,,,L0
11.36553,1,lp2,,,
11.36553,2,lp2,,,
11.73216,1,2-3,,,
11.73216,2,2-3,,,
12.132119999999999,1,3-4,lb0,,
12.132119999999999,2,3-4,lb0,,
12.46542,1,lp4,,,
12.46542,2,lp4,,,
12.832049999999999,1,4-1,,,
12.832049999999999,2,4-1,,,
13.29867,1,1-2,r1,,
13.29867,2,1-2,r1,,
13.631969999999999,1,2-3,,,
13.631969999999999,2,2-3,,,
14.03193,1,3-4,,,
14.03193,2,3-4,,,
14.39856,1,4-1,rb0,,
14.39856,2,4-1,rb0,,
14.73186,1,1-2,,,
14.73186,2,1-2,,,
15.09849,1,2-3,,,
15.09849,2,2-3,,,
15.43179,1,3-4,,,
15.43179,2,3-4,,,
15.765089999999999,MOT_mc_stage_color_00,b-flash,,
15.79842,1,hj4,,,
15.79842,2,hj4,,,
16.39836,1,,l1,,
16.39836,2,,r1,,
16.69833,1,,lb0,,
16.69833,2,,rb0,,
17.03163,2,w4,,,
17.03163,1,sp4-1,,,
17.03163,2,sp4-1,,,
17.564909999999998,1,1-2,,,
17.564909999999998,2,1-2,,,
17.93154,1,hj2,,,
17.93154,2,hj2,,,
18.59814,1,sj2,,,
18.59814,2,sj2,,,
19.03143,1,sp2-3,,,
19.03143,2,sp2-3,,,
19.86468,1,j3-4,,,
19.86468,2,j3-4,,,
20.29797,1,4-1,,,
20.29797,1,,,f1,
20.46462,MOT_mc_stage_color_00,r-flash,,
20.46462,MOT_mc_bg_black_00,b0-45,,
20.46462,1,,,,Lred
20.46462,2,,,,Lred
20.53128,MOT_mc_speaker_00,stay,,
20.6646,1,lp1,,,
20.93124,2,w4,,,
21.29787,1,1-2,,,
21.86448,1,2-3,,,
22.197779999999998,1,lp3,,,
22.631069999999998,1,j3-4,,,
22.9977,1,4-1,,,
23.49765,1,j1-2,,,
24.09759,1,j2-3,,,
24.464219999999997,1,lp3,,,
24.76419,1,j3-4,,,
25.264139999999998,1,4-1,l1,,
25.897409999999997,1,1-2,lb0,,
25.897409999999997,2,4-1,,,
26.297369999999997,1,lp2,,,
26.36403,2,1-2,,,
26.76399,1,2-3,,,
27.063959999999998,1,3-4,,,
27.23061,MOT_mc_stage_color_00,y-flash,,
27.297269999999997,2,w2,,,
27.297269999999997,MOT_mc_speaker_00,l1,,
27.36393,1,lp4,,,
28.130519999999997,1,4-1,,,
28.43049,1,lp1,,,
29.097089999999998,1,1-2,,b0,
29.23041,MOT_mc_speaker_00,l1_end,,
29.43039,2,2-3,,,
29.43039,2,,,f1,
29.76369,MOT_mc_stage_color_00,r-flash,,
29.79702,2,lp3,,,
30.03033,1,w2,,,
30.43029,2,3-4,,,
30.9969,2,4-1,,,
31.330199999999998,2,lp1,,,
31.763489999999997,2,j1-2,,,
32.13012,2,2-3,,,
32.630069999999996,2,j3-4,,,
33.23001,2,j4-1,,,
33.59664,2,lp1,,,
33.896609999999995,2,j1-2,,,
34.39656,2,2-3,r1,,
34.56321,1,2-3,,,
35.02983,2,3-4,rb0,,
35.22981,MOT_mc_stage_color_00,y-flash,,
35.29647,MOT_mc_speaker_00,l1,,
35.42979,2,lp4,,,
35.496449999999996,1,w3,,,
35.896409999999996,2,4-1,,,
36.19638,2,1-2,,,
36.49635,2,lp2,,,
37.26294,2,2-3,,,
37.562909999999995,2,lp3,,,
38.06286,MOT_mc_speaker_00,l1_end,,
38.06286,2,3-4,,b0,
38.362829999999995,1,3-4,,f1,
38.56281,MOT_mc_stage_color_00,b-flash,,
38.62947,MOT_mc_bg_black_00,b45-0,,
38.62947,MOT_mc_back_00,bg2,,
38.729459999999996,1,4-1,,,
38.9961,2,w4,,,
39.06276,1,hj1,,,
39.62937,1,lp1,,,
40.59594,1,1-2,,,
41.02923,1,sj2,,,
41.49585,1,sj2,,,
41.995799999999996,1,w2,,,
42.09579,1,2-3,,,
42.429089999999995,1,,,b0,
42.92904,2,4-1,,f1,
43.02903,1,w3,,,
43.29567,2,1-2,,,
43.628969999999995,2,hj2,,,
44.19558,2,lp2,,,
45.16215,2,2-3,,,
45.595439999999996,2,sj3,,,
