time,lyrics,size
0,, 
2.00,始まるよジュビリー,
5.42,ねえ超新星と行進しよう,
16.17,合図を待っている,
18.77,フレーズを確かめて,
21.80,目を合わせた,
23.85,きっと太陽はいまごろ夢の中,
31.23,ようこそパレードへ,
35.03,チケットはいらない,
38.50,君がそこにいる,
41.03,音楽が始まる,
49.57,高らかにホーンズアップ,
51.43,めくるめくようなフレーズは,
54.20,一夜(いちや)のトロイメライ,
56.93,艶やかなトランペット,
58.85,夜空を渡って,
60.78,照れ屋の月さえ顔を出すんだ,
64.55,さながら僕らは天の川,
68.22,宇宙までよろしくドラムメジャー,
71.88,星の街　恋の風,
75.57,出会いは音楽になってまた咲く,
79.68,銀河系の隅っこで,
83.13,同じ呼吸と同じハーモニー,
88.30,ほら　ほら　奇跡はここにある,
94.10,始まるよジュビリー,
96.62,さあ朝夕　薄暮　薄明,
98.5,Let the music swing and swing,
101.52,星屑のチューニングキーで,
104.47,電光石火ドラムライン,
105.95,もっと遠く　遠く,
108.97,終わらないジュビリー,
111.52,さあ十人十色ベルアップ,
113.40,Let the music sing and sing,
116.43,探してよ Who is me?,
118.95,ねえ超新星と行進しよう,
121.05,ずっと遠く　遠く,
123.88,君と遠くまで,
135,,
