 ,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.1,,
0,,6,,MasterOut,0,1,,
0,,6,,BUS_0007,0,0.1,,
0.1,1,1,1,,,,0,0
0.2,2,1,1,,,,0,0
0.3,3,1,1,,,,0,0
0.4,4,1,1,,,,0,0
0.5,5,1,1,,,,0,0
0.6,6,1,1,,,,0,0
0.7,7,1,1,,,,0,0
0.8,8,1,1,,,,0,0
0.9,9,1,1,,,,0,0.76
1,10,6,1,,,,0,0
1.1,11,6,1,,,,0,0
1.2,12,6,1,,,,0,0.76
26.456,9,1,1,,,,0,0
26.456,7,1,1,,,,0,0.76
35.436,7,1,1,,,,0,0
35.436,8,1,1,,,,0,0.76
37.561,8,1,1,,,,0,0
37.561,1,1,1,,,,0,0.76
39.703,1,1,1,,,,0,0
39.703,6,1,1,,,,0,0.76
41.758,6,1,1,,,,12,0.34
41.758,2,1,1,,,,22,0.34
41.758,4,1,1,,,,-12,0.46
41.758,3,1,1,,,,-22,0.46
43.414,2,1,1,,,,-26.4,0.2
43.414,4,1,1,,,,-18,0.2
43.414,1,1,1,,,,-9.6,0.24
43.414,7,1,1,,,,-3,0.28
43.414,9,1,1,,,,0,0.3
43.414,8,1,1,,,,3,0.28
43.414,6,1,1,,,,9.6,0.24
43.414,5,1,1,,,,18,0.2
43.414,3,1,1,,,,26.4,0.2
47.945,2,1,1,,,,0,0
47.945,4,1,1,,,,0,0.76
47.945,1,1,1,,,,0,0
47.945,7,1,1,,,,0,0
47.945,9,1,1,,,,0,0
47.945,8,1,1,,,,0,0
47.945,6,1,1,,,,0,0
47.945,5,1,1,,,,0,0
47.945,3,1,1,,,,0,0
52.507,2,1,1,,,,-26.4,0.2
52.507,4,1,1,,,,-18,0.2
52.507,1,1,1,,,,-9.6,0.24
52.507,7,1,1,,,,-3,0.28
52.507,9,1,1,,,,0,0.3
52.507,8,1,1,,,,3,0.28
52.507,6,1,1,,,,9.6,0.24
52.507,5,1,1,,,,18,0.2
52.507,3,1,1,,,,26.4,0.2
56.699,2,1,1,,,,0,0
56.699,4,1,1,,,,0,0
56.699,1,1,1,,,,0,0
56.699,7,1,1,,,,0,0
56.699,9,1,1,,,,0,0
56.699,8,1,1,,,,0,0
56.699,6,1,1,,,,0,0
56.699,5,1,1,,,,0,0.76
56.699,3,1,1,,,,0,0
61.145,5,1,1,,,,0,0
61.145,2,1,1,,,,0,0.76
64.996,2,1,1,,,,0,0
64.996,3,1,1,,,,0,0.76
70.458,12,6,1,,,,0,0
70.458,10,6,1,,,,0,0.76
72.638,10,6,1,,,,0,0
72.638,11,6,1,,,,0,0.76
74.799,11,6,1,,,,0,0
74.799,12,6,1,,,,0,0.76
75.776,2,1,1,,,,-27,0.21
75.776,4,1,1,,,,-23,0.21
75.776,1,1,1,,,,-20,0.26
75.776,7,1,1,,,,-18,0.3
75.776,9,1,1,,,,0,0.31
75.776,8,1,1,,,,18,0.3
75.776,6,1,1,,,,20,0.26
75.776,5,1,1,,,,23,0.21
75.776,3,1,1,,,,27,0.21
83.661,2,1,1,,,,0,0
83.661,4,1,1,,,,0,0
83.661,1,1,1,,,,10,0.51
83.661,7,1,1,,,,0,0
83.661,9,1,1,,,,0,0
83.661,8,1,1,,,,0,0
83.661,6,1,1,,,,-10,0.51
83.661,5,1,1,,,,0,0
83.661,3,1,1,,,,0,0
89.736,1,1,1,,,,0,0
89.736,6,1,1,,,,0,0
89.736,4,1,1,,,,-10,0.51
89.736,5,1,1,,,,10,0.51
91.929,4,1,1,,,,0,0
91.929,5,1,1,,,,0,0
91.929,2,1,1,,,,-10,0.51
91.929,3,1,1,,,,10,0.51
94.392,2,1,1,,,,0,0
94.392,3,1,1,,,,0,0
94.392,9,1,1,,,,0,0.54
94.392,7,1,1,,,,-18,0.4
94.392,8,1,1,,,,18,0.4
98.573,2,1,1,,,,-26.4,0.2
98.573,4,1,1,,,,-18,0.2
98.573,1,1,1,,,,-9.6,0.24
98.573,7,1,1,,,,-3,0.28
98.573,9,1,1,,,,0,0.3
98.573,8,1,1,,,,3,0.28
98.573,6,1,1,,,,9.6,0.24
98.573,5,1,1,,,,18,0.2
98.573,3,1,1,,,,26.4,0.2
102.934,2,1,1,,,,0,0
102.934,4,1,1,,,,0,0
102.934,1,1,1,,,,10,0.51
102.934,7,1,1,,,,0,0
102.934,9,1,1,,,,0,0
102.934,8,1,1,,,,0,0
102.934,6,1,1,,,,-10,0.51
102.934,5,1,1,,,,0,0
102.934,3,1,1,,,,0,0
106.824,1,1,1,,,,0,0
106.824,6,1,1,,,,0,0
106.824,4,1,1,,,,-10,0.51
106.824,5,1,1,,,,10,0.51
112.088,4,1,1,,,,0,0
112.088,5,1,1,,,,0,0
112.088,2,1,1,,,,-10,0.51
112.088,3,1,1,,,,10,0.51
115.642,2,1,1,,,,-26.4,0.2
115.642,4,1,1,,,,-18,0.2
115.642,1,1,1,,,,-9.6,0.24
115.642,7,1,1,,,,-3,0.28
115.642,9,1,1,,,,0,0.3
115.642,8,1,1,,,,3,0.28
115.642,6,1,1,,,,9.6,0.24
115.642,5,1,1,,,,18,0.2
115.642,3,1,1,,,,26.4,0.2
