0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
2.4997499999999997,1,1-2,,
2.4997499999999997,2,1-2,,
2.4997499999999997,3,1-2,,
2.4997499999999997,1,,,f1
2.73306,MOT_mc_stage_color_00,b-flash,,
2.73306,MOT_mc_light_up_00,l1,,
2.9997,1,j2-3,,
3.3329999999999997,1,lp3,,
3.4329899999999998,3,w2,,
3.4329899999999998,2,w2,,
4.09959,1,j3-4,,
4.4328899999999996,1,lp4,,
5.3328,1,4-1,,
5.3328,2,2-3,,
5.3328,3,2-3,,
5.89941,1,1-2,,
6.266039999999999,3,w3,,
6.266039999999999,2,w3,,
6.43269,1,j2-3,,
6.79932,1,lp3,,
7.59924,2,3-4,,
7.59924,3,3-4,,
7.732559999999999,1,,l1,
8.29917,1,,l2,
8.53248,3,w4,,
8.53248,2,w4,,
8.79912,1,3-4,lb1,
9.36573,1,4-1,lb0,
9.899009999999999,1,1-2,,
10.26564,1,lp2,,
11.03223,1,2-3,,
11.59884,1,3-4,,
11.89881,1,hj4,,
12.69873,1,4-1,,b0
12.69873,2,j4-1,,
12.69873,3,j4-1,,
12.9987,MOT_mc_stage_color_00,b-flash,,
12.9987,MOT_mc_light_up_00,l2,,
13.06536,1,lp1,,
13.06536,2,lp1,,
13.06536,3,lp1,,
14.53188,1,,r1,
15.63177,1,1-2,rb0,
16.26504,1,,l1,
16.56501,1,w2,,
16.731659999999998,1,2-3,lb0,
17.131619999999998,1,hj3,,
17.131619999999998,2,hj1,,
17.131619999999998,3,hj1,,
17.69823,1,sj3,,
17.69823,2,sj1,,
17.69823,3,sj1,,
17.93154,1,3-4,,
17.93154,2,1-2,,
17.93154,3,1-2,,
18.23151,1,lp4,,
18.23151,2,lp2,,
18.23151,3,lp2,,
19.06476,1,4-1,,
19.06476,2,2-3,,
19.06476,3,2-3,,
19.6647,1,1-2,,
19.6647,2,3-4,,
19.6647,3,3-4,,
20.03133,1,j2-3,,
20.03133,2,j4-1,,
20.03133,3,j4-1,,
20.46462,1,sj3,,
20.46462,2,sj1,,
20.46462,3,sj1,,
20.96457,3,w1,,
20.96457,2,w1,,
20.96457,1,w3,,
21.06456,3,1-2,,f1
21.3312,3,j2-3,,
21.6645,3,lp3,,
22.431089999999998,3,j3-4,,
22.73106,3,lp4,,
22.9977,3,sj4,,
23.49765,3,w4,,
23.56431,3,j4-1,,
23.89761,3,lp1,,
24.76419,3,1-2,,
25.264139999999998,3,2-3,,
25.56411,3,3-4,,
25.864079999999998,1,3-4,,
25.864079999999998,2,1-2,,
25.864079999999998,3,j4-1,,
26.16405,3,lp1,,
26.79732,2,w2,,
26.79732,1,w4,,
26.9973,3,1-2,,
27.3306,3,lp2,,
28.06386,3,j2-3,,
28.46382,3,lp3,,
29.26374,3,j3-4,,
29.86368,2,j2-3,,
29.86368,2,,,f1
29.86368,3,,,b0
30.330299999999998,3,w4,,
30.39696,2,3-4,,
30.730259999999998,2,lp4,,
31.59684,2,4-1,,
31.89681,2,lp1,,
32.696729999999995,2,j1-2,,
33.29667,2,j2-3,,
33.62997,2,lp3,,
33.92994,2,3-4,,
34.329899999999995,2,4-1,,
34.59654,2,1-2,,
34.96317,2,j2-3,,
34.96317,1,4-1,,
34.96317,3,4-1,,
35.29647,2,lp3,,
35.896409999999996,3,w1,,
35.896409999999996,1,w1,,
36.12972,2,3-4,,
36.696329999999996,2,4-1,,
37.22961,2,sj1,,
37.72956,2,w1,,
37.86288,2,sj1,,
38.362829999999995,2,j1-2,,
38.729459999999996,2,lp2,,
39.09609,2,,,b0
39.62937,1,j1-2,,
39.62937,2,j2-3,,
39.62937,3,j1-2,,
40.06266,1,j2-3,,
40.06266,2,j3-4,,
40.06266,3,j2-3,,
40.62927,1,3-4,,
40.92924,1,4-1,,
40.92924,3,3-4,,
41.12922,2,w4,,
41.29587,1,j1-2,,
41.29587,2,j4-1,,
41.29587,3,j4-1,,
41.82915,2,1-2,,
42.029129999999995,3,1-2,,
42.22911,1,2-3,,
42.49575,1,3-4,,
42.49575,2,2-3,,
42.49575,3,2-3,,
42.795719999999996,1,j4-1,,
42.795719999999996,2,j3-4,,
