time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,1,0
1.518987,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,158,0
40.792,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,50.66666667,0
42.151899,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
42.531646,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
43.670886,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
44.050633,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
45.189873,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
45.56962,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
46.708861,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
47.088608,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
48.227848,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
48.607595,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
49.746835,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
50.126582,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
51.265823,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
51.64557,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
52.78481,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
53.164557,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
54.303797,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
54.683544,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
55.822785,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
56.202532,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
57.341772,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
57.721519,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,52.66666667,0
58.860759,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
59.240506,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,158,0
80.506329,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,158,0
83.544304,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,45.14285714,0
84.873418,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Uhoi,158,8
85.063291,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,79,0
103.291139,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Bye,500,0
125.791139,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,316,2
125.886076,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Pause,1,2
126.170886,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,316,2
126.265823,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Pause,1,2
126.360759,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,316,2
126.455696,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Pause,1,2
126.550633,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,316,2
126.64557,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Pause,1,2
127.120253,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,316,2
127.21519,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Pause,1,2
127.310127,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Oioi,316,2
127.405063,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Pause,1,2
133.670886,Uhoi,5,Random5,Blue01,Pink01,Blue01,Yellow01,Blue01,,,,,,Bye,350,0
