time,lyrics,size
0,,
16.81,無礼禁断　徹頭徹尾　為す,
25.11,ある者は挑む,
27.83,（Just Just　毅然　立つ）,
29.7,君は　何を　貫く ,
36.13,蝋燭の灯りで ,
38.86,（Just Just　依然　賭す）,
40.74,進め　やがて　焼き尽くせ,
47.17,蟻か　亡者か　瞬く星か,
52.63,残された全てを　懸けて　足掻け,
62.12,宿命など　喰らい,
64.23,走れ　生の実感　喰らうように,
66.99,誰がどう奪っても （走れ）,
69.75,二度と （要らない）,
71.13,諦めは金輪際,
73.19,溢れ出すぐらい　いつか共に泣いてくれ,
78.05,篝火は朧月, 
79.76,来世など当てにするものか,
82.49,心に応えて生まれ変われ,
86.14,熱く SAGA SAGA SAGA,
92.53,宿命など　喰らい,
94.58,走れ　生の実感　喰らうように,
97.35,誰がどう奪っても （走れ）,
100.11,二度と （要らない）,
101.45,諦めは金輪際,
103.54,溢れ出すぐらい　いつか共に泣いてくれ,
108.33,篝火は朧月,
110.11,来世など当てにするものか,
112.86,心に応えて生まれ変われ,
116.48,永遠に,
118.54,SAGA SAGA SAGA SAGA SAGA SAGA,
124.1,,
