0.03333,MOT_mc_bg_black_00,seat100-0,,
2.03313,MOT_mc_bg_black_00,b80-45,,
2.03313,MOT_mc_stage_color_00,y,,
2.03313,MOT_mc_light_center_00,l1,,
2.03313,MOT_mc_light_up_00,l1,,
2.03313,MOT_mc_light_under_00,l2,,
2.03313,MOT_speaker_00,temp4,,
2.1664499999999998,1,1-3,,
2.1664499999999998,2,1-3,,
2.1664499999999998,3,1-3,,
2.1664499999999998,4,1-3,,
2.1664499999999998,5,1-3,,
2.46642,1,w3,,
2.46642,2,w3,,
2.46642,3,w3,,
2.46642,4,w3,,
2.46642,5,w3,,
4.06626,1,3-2,,
4.06626,2,3-2,,
4.06626,3,3-2,,
4.06626,4,3-2,,
4.06626,5,3-2,,
4.36623,1,w2,,
4.36623,2,w2,,
4.36623,3,w2,,
4.36623,4,w2,,
4.36623,5,w2,,
5.86608,1,2-3,,
6.166049999999999,1,w3,,
6.8659799999999995,2,2-3,,
6.8659799999999995,3,2-3,,
7.16595,2,w3,,
7.16595,3,w3,,
7.59924,4,2-3,,
7.59924,5,2-3,,
7.89921,4,w3,,
7.89921,5,w3,,
8.79912,1,3-4,,
8.79912,2,3-4,,
8.79912,3,3-4,,
8.79912,4,3-4,,
8.79912,5,3-4,,
9.13242,1,w4,,
9.13242,2,w4,,
9.13242,3,w4,,
9.13242,4,w4,,
9.13242,5,w4,,
9.96567,1,j4-2,,
9.96567,2,j4-2,,
9.96567,3,j4-2,,
9.96567,4,j4-2,,
9.96567,5,j4-2,,
10.76559,1,2-3,,
10.76559,2,2-3,,
10.76559,3,2-3,,
10.76559,4,2-3,,
10.76559,5,2-3,,
11.098889999999999,1,w3,,
11.098889999999999,2,w3,,
11.098889999999999,3,w3,,
11.098889999999999,4,w3,,
11.098889999999999,5,w3,,
11.3322,MOT_mc_stage_color_00,y-flash,,
11.3322,MOT_mc_bg_black_00,b45-20,,
11.398859999999999,1,3-2,,f1
11.56551,2,,l1,
11.56551,3,,r1,
11.76549,4,,l1,
11.76549,5,,r1,
11.76549,1,lp2,,
12.49875,1,2-1,r1,
12.89871,1,lp1,r2,
13.49865,1,sj1,,
13.6653,2,sj3,,
13.6653,3,sj3,,
13.831949999999999,4,sj3,,
13.831949999999999,5,sj3,,
13.865279999999998,1,lp1,,
14.03193,2,w3,,
14.03193,3,w3,,
14.19858,4,w3,,
14.19858,5,w3,,
14.59854,2,3-1,,
14.59854,3,3-1,,
14.59854,4,3-1,,
14.59854,5,3-1,,
14.9985,2,w1,,
14.9985,3,w1,,
14.9985,4,w1,,
14.9985,5,w1,,
15.73176,4,,l2,
15.73176,5,,r2,
15.83175,2,,l2,
15.83175,3,,r2,
15.83175,1,1-2,rb1,
16.131719999999998,1,lp2,,
16.531679999999998,1,2-3,,
16.86498,1,sj3,,
17.19828,1,lp3,,
17.49825,1,hj3,,
17.49825,2,1-4,lb1,
17.49825,3,1-4,rb1,
17.49825,4,1-4,lb1,
17.49825,5,1-4,rb1,
17.83155,2,w4,,
17.83155,3,w4,,
17.83155,4,w4,,
17.83155,5,w4,,
18.39816,1,lp3,rb0,
18.93144,1,3-4,r1,
18.93144,2,,lb0,
18.93144,3,,rb0,
18.93144,4,,lb0,
18.93144,5,,rb0,
19.23141,1,lp4,,
19.997999999999998,MOT_mc_stage_color_00,y-flash,,
20.23131,1,4-2,,
20.23131,2,4-2,,
20.23131,3,4-2,,
20.23131,4,4-2,,
20.23131,5,4-2,,
20.23131,1,,rb0,
20.23131,2,,l1,
20.23131,3,,l1,
20.23131,4,,l1,
20.23131,5,,l1,
20.597939999999998,1,lp2,l1,
20.597939999999998,2,w2,,
20.597939999999998,3,w2,,
20.597939999999998,4,w2,,
20.597939999999998,5,w2,,
21.69783,1,2-3,l2,
21.69783,2,2-3,l2,
21.69783,3,2-3,l2,
21.69783,4,2-3,l2,
21.69783,5,2-3,l2,
22.06446,1,lp3,,
22.06446,2,w3,,
22.06446,3,w3,,
22.06446,4,w3,,
22.06446,5,w3,,
22.73106,1,3-4,lb1,
22.73106,2,3-4,lb1,
22.73106,3,3-4,lb1,
22.73106,4,3-4,lb1,
22.73106,5,3-4,lb1,
23.09769,1,lp4,,
23.09769,2,lp4,,
23.09769,3,lp4,,
23.09769,4,lp4,,
23.09769,5,lp4,,
23.76429,1,sp3-4,,
23.76429,2,sp3-4,,
23.76429,3,sp3-4,,
23.76429,4,sp3-4,,
23.76429,5,sp3-4,,
24.53088,1,4-1,lb0,
24.53088,2,4-1,lb0,
24.53088,3,4-1,lb0,
24.53088,4,4-1,lb0,
24.53088,5,4-1,lb0,
24.864179999999998,1,lp1,,
24.864179999999998,2,w1,,
24.864179999999998,3,w1,,
24.864179999999998,4,w1,,
24.864179999999998,5,w1,,
25.53078,1,1-4,,
25.93074,2,1-2,l1,
25.93074,4,1-2,l1,
25.93074,1,lp4,,
26.36403,3,1-2,l1,
26.36403,5,1-2,l1,
