 ,charapos,busid,busvalue,effectname,effecttime,effectvalue,panning,volume
0,,1,,MasterOut,0,1,,
0,,1,,BUS_0007,0,0.2,,
0,,2,,MasterOut,0,1,,
0,,2,,BUS_0007,0,0.2,,
0,,3,,MasterOut,0,1,,
0,,3,,BUS_0007,0,0.2,,
0,,4,,MasterOut,0,1,,
0,,4,,BUS_0007,0,0.2,,
0,,5,,MasterOut,0,1,,
0,,5,,BUS_0007,0,0.2,,
0,1,1,1,,,,0,0
0,2,2,1,,,,0,0
0,3,3,1,,,,0,0.78
0,4,4,1,,,,0,0
0,5,5,1,,,,0,0
43.758,3,3,1,,,,0,0
43.758,2,2,1,,,,0,0.78
53.057,2,2,1,,,,0,0
53.057,1,1,1,,,,0,0.78
61.971,1,1,1,,,,0,0
61.971,5,5,1,,,,0,0.78
64.379,5,5,1,,,,0,0
64.379,4,4,1,,,,0,0.78
66.795,4,4,1,,,,0,0
66.795,1,1,1,,,,0,0.78
70.506,1,1,1,,,,0,0.53
70.506,2,2,1,,,,-9,0.39
70.506,3,3,1,,,,9,0.39
70.506,4,4,1,,,,-18,0.3
70.506,5,5,1,,,,18,0.3
85.455,1,1,1,,,,0,0
85.455,2,2,1,,,,0,0
85.455,3,3,1,,,,0,0.78
85.455,4,4,1,,,,0,0
85.455,5,5,1,,,,0,0
90.152,3,3,1,,,,0,0
90.152,2,2,1,,,,0,0.78
94.743,1,1,1,,,,0,0.53
94.743,2,2,1,,,,-9,0.39
94.743,3,3,1,,,,9,0.39
94.743,4,4,1,,,,-18,0.3
94.743,5,5,1,,,,18,0.3
103.433,1,1,1,,,,0,0
103.433,2,2,1,,,,0,0
103.433,3,3,1,,,,0,0
103.433,4,4,1,,,,0,0
103.433,5,5,1,,,,0,0.78
105.615,5,5,1,,,,0,0
105.615,4,4,1,,,,0,0.78
108.013,4,4,1,,,,0,0
108.013,1,1,1,,,,0,0.78
112.248,1,1,1,,,,0,0.53
112.248,2,2,1,,,,-9,0.39
112.248,3,3,1,,,,9,0.39
112.248,4,4,1,,,,-18,0.3
112.248,5,5,1,,,,18,0.3
